Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) USTAZ AIREROSHAIRI BIN ROSLAN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) CIKGU ADNAN @ CIKGU ALANG,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) USTAZ SYED IBRAHIM BIN SYED AHMAD,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
1,UNDI POS,,,219,48,14,94,156,27,36,UNDI POS,UNDI POS
2,087/28/00,BILIK MAKLUMAT BALAI POLIS KERDAU,1.0,12,0,0,12,12,0,0,UNDI AWAL,UNDI AWAL
3,087/28/01,DEWAN PUSPA RUMPUN MAKMUR,1.0,304,85,7,205,297,7,0,RUMPUN MAKMUR ,UNDI BIASA
3,087/28/01,DEWAN PUSPA RUMPUN MAKMUR,2.0,447,154,32,255,441,6,0,RUMPUN MAKMUR ,UNDI BIASA
4,087/28/02,SK LKTP JENGKA 25,1.0,307,14,60,231,305,2,0,FELDA JENGKA 25 ,UNDI BIASA
4,087/28/02,SK LKTP JENGKA 25,2.0,277,107,25,145,277,0,0,FELDA JENGKA 25 ,UNDI BIASA
5,087/28/03,SK LKTP JENGKA 22,1.0,325,96,26,195,317,8,0,FELDA JENGKA 22 ,UNDI BIASA
5,087/28/03,SK LKTP JENGKA 22,2.0,415,123,50,240,413,2,0,FELDA JENGKA 22 ,UNDI BIASA
5,087/28/03,SK LKTP JENGKA 22,3.0,438,184,51,200,435,3,0,FELDA JENGKA 22 ,UNDI BIASA
6,087/28/04,SK BATU SAWAR,1.0,256,78,22,150,250,6,0,KAMPUNG BATU SAWAR ,UNDI BIASA
6,087/28/04,SK BATU SAWAR,2.0,262,112,35,113,260,2,0,KAMPUNG BATU SAWAR ,UNDI BIASA
7,087/28/05,SK LKTP JENGKA 23,1.0,323,101,21,195,317,6,0,FELDA JENGKA 23 ,UNDI BIASA
7,087/28/05,SK LKTP JENGKA 23,2.0,489,171,45,269,485,4,0,FELDA JENGKA 23 ,UNDI BIASA
7,087/28/05,SK LKTP JENGKA 23,3.0,418,183,38,193,414,4,0,FELDA JENGKA 23 ,UNDI BIASA
7,087/28/05,SK LKTP JENGKA 23,4.0,466,222,50,189,461,5,0,FELDA JENGKA 23 ,UNDI BIASA
8,087/28/06,SK KUALA TEKAL,1.0,346,90,36,212,338,8,0,KUALA TEKAL ,UNDI BIASA
9,087/28/07,SK PULAU PASIR MANDI,1.0,113,59,5,49,113,0,0,BUKIT LADA ,UNDI BIASA
10,087/28/08,BALAI RAYA KERAI,1.0,244,41,32,166,239,5,0,KERAI ,UNDI BIASA
10,087/28/08,BALAI RAYA KERAI,2.0,302,47,32,210,289,13,0,KERAI ,UNDI BIASA
11,087/28/09,SK LIPAT KAJANG,1.0,463,150,38,271,459,4,0,LIPAT KAJANG ,UNDI BIASA
12,087/28/10,SBPI TEMERLOH,1.0,292,83,26,174,283,9,0,DESA MURNI ,UNDI BIASA
12,087/28/10,SBPI TEMERLOH,2.0,548,176,97,269,542,6,0,DESA MURNI ,UNDI BIASA
12,087/28/10,SBPI TEMERLOH,3.0,510,191,94,222,507,3,0,DESA MURNI ,UNDI BIASA
13,087/28/11,SK PAYA TARAM,1.0,276,35,102,132,269,7,0,KERDAU ,UNDI BIASA
13,087/28/11,SK PAYA TARAM,2.0,345,53,148,141,342,3,0,KERDAU ,UNDI BIASA
13,087/28/11,SK PAYA TARAM,3.0,320,101,104,114,319,1,0,KERDAU ,UNDI BIASA
14,087/28/12,SK KERDAU,1.0,490,214,38,235,487,3,0,KUALA KERDAU ,UNDI BIASA
15,087/28/13,SK TELUK SENTANG,1.0,293,111,27,153,291,2,0,TELUK SENTANG ,UNDI BIASA
15,087/28/13,SK TELUK SENTANG,2.0,558,292,43,221,556,2,0,TELUK SENTANG ,UNDI BIASA
