Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) LEONG YU MAN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) TAN TIN LOON,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
1,UNDI POS,,,200,36,96,132,16,52,UNDI POS,UNDI POS
2,090/38/00,DEWAN SERBAGUNA IBU PEJABAT POLIS DAERAH BERA (ZON A),1.0,221,29,189,218,3,0,UNDI AWAL,UNDI AWAL
3,090/38/01,SJK(C) LADANG MENTERI,1.0,343,248,86,334,8,1,LADANG MENTERI ,UNDI BIASA
4,090/38/02,SMK BANDAR KERAYONG,1.0,278,183,90,273,5,0,KERAYONG ,UNDI BIASA
4,090/38/02,SMK BANDAR KERAYONG,2.0,529,368,151,519,10,0,KERAYONG ,UNDI BIASA
4,090/38/02,SMK BANDAR KERAYONG,3.0,509,375,124,499,10,0,KERAYONG ,UNDI BIASA
4,090/38/02,SMK BANDAR KERAYONG,4.0,483,370,102,472,11,0,KERAYONG ,UNDI BIASA
4,090/38/02,SMK BANDAR KERAYONG,5.0,468,360,100,460,8,0,KERAYONG ,UNDI BIASA
4,090/38/02,SMK BANDAR KERAYONG,6.0,490,362,123,485,5,0,KERAYONG ,UNDI BIASA
5,090/38/03,SJK(C) TRIANG 2,1.0,259,177,69,246,13,0,TAMAN SENTOSA ,UNDI BIASA
5,090/38/03,SJK(C) TRIANG 2,2.0,564,413,141,554,10,0,TAMAN SENTOSA ,UNDI BIASA
5,090/38/03,SJK(C) TRIANG 2,3.0,565,437,120,557,8,0,TAMAN SENTOSA ,UNDI BIASA
5,090/38/03,SJK(C) TRIANG 2,4.0,534,445,86,531,3,0,TAMAN SENTOSA ,UNDI BIASA
5,090/38/03,SJK(C) TRIANG 2,5.0,561,476,80,556,5,0,TAMAN SENTOSA ,UNDI BIASA
5,090/38/03,SJK(C) TRIANG 2,6.0,559,481,71,552,7,0,TAMAN SENTOSA ,UNDI BIASA
5,090/38/03,SJK(C) TRIANG 2,7.0,570,497,68,565,5,0,TAMAN SENTOSA ,UNDI BIASA
5,090/38/03,SJK(C) TRIANG 2,8.0,556,472,71,543,13,0,TAMAN SENTOSA ,UNDI BIASA
6,090/38/04,SMK TRIANG,1.0,303,246,54,300,2,1,BANDAR TRIANG ,UNDI BIASA
6,090/38/04,SMK TRIANG,2.0,370,320,48,368,2,0,BANDAR TRIANG ,UNDI BIASA
6,090/38/04,SMK TRIANG,3.0,347,307,38,345,2,0,BANDAR TRIANG ,UNDI BIASA
6,090/38/04,SMK TRIANG,4.0,365,344,21,365,0,0,BANDAR TRIANG ,UNDI BIASA
6,090/38/04,SMK TRIANG,5.0,363,344,19,363,0,0,BANDAR TRIANG ,UNDI BIASA
7,090/38/05,SJK(C) TRIANG 1,1.0,278,204,65,269,9,0,KAMPUNG BARU TRIANG ,UNDI BIASA
7,090/38/05,SJK(C) TRIANG 1,2.0,398,317,76,393,5,0,KAMPUNG BARU TRIANG ,UNDI BIASA
7,090/38/05,SJK(C) TRIANG 1,3.0,398,336,60,396,2,0,KAMPUNG BARU TRIANG ,UNDI BIASA
7,090/38/05,SJK(C) TRIANG 1,4.0,386,335,49,384,1,1,KAMPUNG BARU TRIANG ,UNDI BIASA
7,090/38/05,SJK(C) TRIANG 1,5.0,371,318,51,369,2,0,KAMPUNG BARU TRIANG ,UNDI BIASA
7,090/38/05,SJK(C) TRIANG 1,6.0,377,353,24,377,0,0,KAMPUNG BARU TRIANG ,UNDI BIASA
8,090/38/06,SK SRI BUNTAR,1.0,271,140,123,263,8,0,SRI BUNTAR ,UNDI BIASA
8,090/38/06,SK SRI BUNTAR,2.0,274,118,145,263,11,0,SRI BUNTAR ,UNDI BIASA
9,090/38/07,SJK(C) MENGKUANG,1.0,284,212,65,277,7,0,MENGKUANG ,UNDI BIASA
9,090/38/07,SJK(C) MENGKUANG,2.0,431,264,151,415,16,0,MENGKUANG ,UNDI BIASA
9,090/38/07,SJK(C) MENGKUANG,3.0,391,339,48,387,4,0,MENGKUANG ,UNDI BIASA
9,090/38/07,SJK(C) MENGKUANG,4.0,398,261,125,386,12,0,MENGKUANG ,UNDI BIASA
10,090/38/08,SK LKTP BUKIT PUCHONG,1.0,305,34,258,292,13,0,FELDA BUKIT PUCHONG ,UNDI BIASA
10,090/38/08,SK LKTP BUKIT PUCHONG,2.0,541,148,362,510,31,0,FELDA BUKIT PUCHONG ,UNDI BIASA
10,090/38/08,SK LKTP BUKIT PUCHONG,3.0,515,195,301,496,19,0,FELDA BUKIT PUCHONG ,UNDI BIASA
11,090/38/09,SK LKTP BUKIT MENDI,1.0,291,33,241,274,17,0,FELDA BUKIT MENDI ,UNDI BIASA
11,090/38/09,SK LKTP BUKIT MENDI,2.0,385,91,273,364,21,0,FELDA BUKIT MENDI ,UNDI BIASA
11,090/38/09,SK LKTP BUKIT MENDI,3.0,352,94,231,325,27,0,FELDA BUKIT MENDI ,UNDI BIASA
11,090/38/09,SK LKTP BUKIT MENDI,4.0,331,140,173,313,18,0,FELDA BUKIT MENDI ,UNDI BIASA
