Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DR. ABDUL RASID ALI,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) ABDUL KARIM BIN NOR,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) MAT NOR AYAT,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO' SRI WAN ROSDY BIN WAN ISMAIL,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
1,UNDI POS,,,143,4,6,0,24,34,6,103,UNDI POS,UNDI POS
2,078/02/00,BILIK MAKLUMAT BALAI POLIS SUNGAI KOYAN,1.0,12,1,2,0,9,12,0,0,UNDI AWAL,UNDI AWAL
3,078/02/01,SK LANAI,1.0,351,3,0,74,242,319,32,0,POS LANAI ,UNDI BIASA
4,078/02/02,SK KUALA MEDANG,1.0,306,64,51,1,185,301,5,0,KUALA MEDANG ,UNDI BIASA
4,078/02/02,SK KUALA MEDANG,2.0,505,157,83,0,259,499,6,0,KUALA MEDANG ,UNDI BIASA
5,078/02/03,SK TANJUNG GAHAI,1.0,310,17,80,2,196,295,15,0,TANJUNG GAHAI ,UNDI BIASA
5,078/02/03,SK TANJUNG GAHAI,2.0,363,33,34,2,280,349,14,0,TANJUNG GAHAI ,UNDI BIASA
6,078/02/04,SK BATU YON,1.0,301,19,113,1,155,288,13,0,BUKIT KOTA ,UNDI BIASA
6,078/02/04,SK BATU YON,2.0,482,19,223,0,236,478,4,0,BUKIT KOTA ,UNDI BIASA
7,078/02/05,SK KAMPUNG KELEDEK,1.0,308,10,166,0,131,307,1,0,KAMPUNG KELEDEK ,UNDI BIASA
7,078/02/05,SK KAMPUNG KELEDEK,2.0,319,12,187,0,117,316,3,0,KAMPUNG KELEDEK ,UNDI BIASA
7,078/02/05,SK KAMPUNG KELEDEK,3.0,302,19,178,0,103,300,2,0,KAMPUNG KELEDEK ,UNDI BIASA
8,078/02/06,SK LUBOK KULIT,1.0,312,7,99,0,186,292,20,0,LUBUK KULIT ,UNDI BIASA
8,078/02/06,SK LUBOK KULIT,2.0,497,26,162,2,301,491,6,0,LUBUK KULIT ,UNDI BIASA
9,078/02/07,SK LKTP SUNGAI KOYAN,1.0,303,24,113,1,160,298,5,0,FELDA SUNGAI KOYAN SATU ,UNDI BIASA
9,078/02/07,SK LKTP SUNGAI KOYAN,2.0,491,62,168,0,257,487,4,0,FELDA SUNGAI KOYAN SATU ,UNDI BIASA
9,078/02/07,SK LKTP SUNGAI KOYAN,3.0,449,61,166,0,220,447,2,0,FELDA SUNGAI KOYAN SATU ,UNDI BIASA
10,078/02/08,SMK  SUNGAI KOYAN,1.0,269,21,54,0,189,264,5,0,FELDA SUNGAI KOYAN DUA & TIGA ,UNDI BIASA
10,078/02/08,SMK  SUNGAI KOYAN,2.0,371,56,82,0,225,363,8,0,FELDA SUNGAI KOYAN DUA & TIGA ,UNDI BIASA
10,078/02/08,SMK  SUNGAI KOYAN,3.0,356,65,105,2,181,353,3,0,FELDA SUNGAI KOYAN DUA & TIGA ,UNDI BIASA
10,078/02/08,SMK  SUNGAI KOYAN,4.0,332,79,95,0,156,330,2,0,FELDA SUNGAI KOYAN DUA & TIGA ,UNDI BIASA
10,078/02/08,SMK  SUNGAI KOYAN,5.0,317,81,78,0,158,317,0,0,FELDA SUNGAI KOYAN DUA & TIGA ,UNDI BIASA
11,078/02/09,SK BETAU,1.0,281,30,15,8,170,223,58,0,POS BETAU ,UNDI BIASA
11,078/02/09,SK BETAU,2.0,426,50,4,19,317,390,36,0,POS BETAU ,UNDI BIASA
11,078/02/09,SK BETAU,3.0,422,43,8,5,340,396,26,0,POS BETAU ,UNDI BIASA
12,078/02/10,SK SENDERUT,1.0,307,72,19,2,181,274,33,0,POS SINDERUT ,UNDI BIASA
12,078/02/10,SK SENDERUT,2.0,430,113,12,2,283,410,20,0,POS SINDERUT ,UNDI BIASA
12,078/02/10,SK SENDERUT,3.0,358,94,9,4,238,345,13,0,POS SINDERUT ,UNDI BIASA
13,078/02/11,SK LENJANG,1.0,236,25,18,35,111,189,47,0,POS LENJANG ,UNDI BIASA
13,078/02/11,SK LENJANG,2.0,239,22,7,25,135,189,50,0,POS LENJANG ,UNDI BIASA
14,078/02/12,SK TITOM,1.0,212,9,14,44,113,180,32,0,POS TITUM ,UNDI BIASA
