Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) USTAZ MUJIBUR RAHMAN BIN ISHAK,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO' ARIFIN BIN AWANG ISMAIL,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) ZULIANA BINTI MOHAMED,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
1,UNDI POS,,,340,84,141,16,241,28,71,UNDI POS,UNDI POS
2,086/26/00,BILIK MAKLUMAT BALAI POLIS CHENOR,1.0,26,7,19,0,26,0,0,UNDI AWAL,UNDI AWAL
3,086/26/01,SMK LKTP JENGKA 6,1.0,295,117,163,5,285,10,0,FELDA JENGKA 6 ,UNDI BIASA
3,086/26/01,SMK LKTP JENGKA 6,2.0,395,183,184,23,390,5,0,FELDA JENGKA 6 ,UNDI BIASA
3,086/26/01,SMK LKTP JENGKA 6,3.0,348,176,149,23,348,0,0,FELDA JENGKA 6 ,UNDI BIASA
3,086/26/01,SMK LKTP JENGKA 6,4.0,384,218,130,34,382,2,0,FELDA JENGKA 6 ,UNDI BIASA
4,086/26/02,SK LKTP JENGKA 7,1.0,313,73,220,12,305,8,0,FELDA JENGKA 7 ,UNDI BIASA
4,086/26/02,SK LKTP JENGKA 7,2.0,417,161,235,16,412,5,0,FELDA JENGKA 7 ,UNDI BIASA
4,086/26/02,SK LKTP JENGKA 7,3.0,373,188,156,27,371,2,0,FELDA JENGKA 7 ,UNDI BIASA
4,086/26/02,SK LKTP JENGKA 7,4.0,384,206,145,31,382,2,0,FELDA JENGKA 7 ,UNDI BIASA
5,086/26/03,SK PAYA PASIR,1.0,298,113,151,20,284,14,0,PAYA PASIR ,UNDI BIASA
5,086/26/03,SK PAYA PASIR,2.0,505,251,205,42,498,7,0,PAYA PASIR ,UNDI BIASA
6,086/26/04,SK PESAGI,1.0,228,123,99,3,225,3,0,PESAGI ,UNDI BIASA
7,086/26/05,BALAI RAYA KAMPUNG PEJING,1.0,117,48,64,3,115,2,0,PEJING ,UNDI BIASA
8,086/26/06,SK KERTAU,1.0,229,64,138,22,224,5,0,KERTAU ,UNDI BIASA
8,086/26/06,SK KERTAU,2.0,333,134,127,55,316,17,0,KERTAU ,UNDI BIASA
9,086/26/07,SK SEKARA,1.0,308,159,126,16,301,7,0,SEKARA ,UNDI BIASA
9,086/26/07,SK SEKARA,2.0,358,213,118,24,355,3,0,SEKARA ,UNDI BIASA
9,086/26/07,SK SEKARA,3.0,345,198,115,30,343,2,0,SEKARA ,UNDI BIASA
10,086/26/08,SK CHENOR,1.0,288,142,132,10,284,4,0,CHENOR SEBERANG ,UNDI BIASA
10,086/26/08,SK CHENOR,2.0,291,156,117,15,288,3,0,CHENOR SEBERANG ,UNDI BIASA
11,086/26/09,SMK TENGKU AMPUAN AFZAN,1.0,276,112,121,30,263,13,0,BANDAR CHENOR ,UNDI BIASA
11,086/26/09,SMK TENGKU AMPUAN AFZAN,2.0,481,246,196,39,481,0,0,BANDAR CHENOR ,UNDI BIASA
11,086/26/09,SMK TENGKU AMPUAN AFZAN,3.0,477,291,133,52,476,1,0,BANDAR CHENOR ,UNDI BIASA
12,086/26/10,SK TANJUNG PERANG,1.0,273,93,140,32,265,8,0,BUKIT SEGUMPAL ,UNDI BIASA
12,086/26/10,SK TANJUNG PERANG,2.0,463,226,184,46,456,7,0,BUKIT SEGUMPAL ,UNDI BIASA
12,086/26/10,SK TANJUNG PERANG,3.0,430,224,152,53,429,1,0,BUKIT SEGUMPAL ,UNDI BIASA
12,086/26/10,SK TANJUNG PERANG,4.0,420,213,149,57,419,1,0,BUKIT SEGUMPAL ,UNDI BIASA
13,086/26/11,SK RKTP KAMPUNG AWAH,1.0,283,72,168,31,271,12,0,FELDA KAMPUNG AWAH ,UNDI BIASA
13,086/26/11,SK RKTP KAMPUNG AWAH,2.0,439,206,191,39,436,3,0,FELDA KAMPUNG AWAH ,UNDI BIASA
13,086/26/11,SK RKTP KAMPUNG AWAH,3.0,388,180,142,66,388,0,0,FELDA KAMPUNG AWAH ,UNDI BIASA
14,086/26/12,SK LKTP SUNGAI NEREK,1.0,298,80,197,12,289,9,0,FELDA SUNGAI NEREK ,UNDI BIASA
14,086/26/12,SK LKTP SUNGAI NEREK,2.0,476,223,217,34,474,2,0,FELDA SUNGAI NEREK ,UNDI BIASA
14,086/26/12,SK LKTP SUNGAI NEREK,3.0,434,229,149,56,434,0,0,FELDA SUNGAI NEREK ,UNDI BIASA
15,086/26/13,SK BUKIT LADA,1.0,537,324,171,35,530,7,0,BUKIT LADA ,UNDI BIASA
16,086/26/14,SK JENGKA BATU 13,1.0,261,112,136,7,255,6,0,KAMPUNG JENGKA ,UNDI BIASA
16,086/26/14,SK JENGKA BATU 13,2.0,312,171,122,19,312,0,0,KAMPUNG JENGKA ,UNDI BIASA
