Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) FAUZI BIN ABDUL RAHMAN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO' HJ MD SOHAIMI BIN HJ MOHAMED SHAH,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) USTAZ MOHAMAD HAZMI DIBOK,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
1,UNDI POS,,,212,12,83,46,141,1,70,UNDI POS,UNDI POS
2,084/17/00,BILIK MESYUARAT BALAI POLIS SUNGAI LEMBING,1.0,16,0,16,0,16,0,0,UNDI AWAL,UNDI AWAL
3,084/17/01,SK NADAK,1.0,299,40,180,73,293,6,0,KAMPUNG NADAK ,UNDI BIASA
3,084/17/01,SK NADAK,2.0,461,99,175,181,455,6,0,KAMPUNG NADAK ,UNDI BIASA
4,084/17/02,SMK SUNGAI LEMBING,1.0,213,112,78,7,197,16,0,PEKAN SUNGAI LEMBING ,UNDI BIASA
4,084/17/02,SMK SUNGAI LEMBING,2.0,398,253,126,11,390,8,0,PEKAN SUNGAI LEMBING ,UNDI BIASA
4,084/17/02,SMK SUNGAI LEMBING,3.0,360,227,108,21,356,4,0,PEKAN SUNGAI LEMBING ,UNDI BIASA
4,084/17/02,SMK SUNGAI LEMBING,4.0,384,249,114,20,383,1,0,PEKAN SUNGAI LEMBING ,UNDI BIASA
4,084/17/02,SMK SUNGAI LEMBING,5.0,388,258,95,35,388,0,0,PEKAN SUNGAI LEMBING ,UNDI BIASA
5,084/17/03,SK SUNGAI LEMBING,1.0,242,37,154,42,233,9,0,KUALA KENAU ,UNDI BIASA
5,084/17/03,SK SUNGAI LEMBING,2.0,320,48,211,49,308,12,0,KUALA KENAU ,UNDI BIASA
6,084/17/04,SK LKTP BUKIT SAGU 1,1.0,317,17,199,93,309,8,0,FELDA BUKIT SAGU ,UNDI BIASA
6,084/17/04,SK LKTP BUKIT SAGU 1,2.0,593,56,340,187,583,10,0,FELDA BUKIT SAGU ,UNDI BIASA
6,084/17/04,SK LKTP BUKIT SAGU 1,3.0,523,49,287,183,519,4,0,FELDA BUKIT SAGU ,UNDI BIASA
6,084/17/04,SK LKTP BUKIT SAGU 1,4.0,490,81,230,178,489,1,0,FELDA BUKIT SAGU ,UNDI BIASA
6,084/17/04,SK LKTP BUKIT SAGU 1,5.0,493,67,206,217,490,3,0,FELDA BUKIT SAGU ,UNDI BIASA
6,084/17/04,SK LKTP BUKIT SAGU 1,6.0,479,55,218,204,477,2,0,FELDA BUKIT SAGU ,UNDI BIASA
7,084/17/05,SK LKTP BUKIT KUANTAN,1.0,297,28,156,86,270,27,0,FELDA BUKIT KUANTAN ,UNDI BIASA
7,084/17/05,SK LKTP BUKIT KUANTAN,2.0,493,71,267,144,482,11,0,FELDA BUKIT KUANTAN ,UNDI BIASA
7,084/17/05,SK LKTP BUKIT KUANTAN,3.0,453,69,199,182,450,3,0,FELDA BUKIT KUANTAN ,UNDI BIASA
7,084/17/05,SK LKTP BUKIT KUANTAN,4.0,449,73,159,216,448,1,0,FELDA BUKIT KUANTAN ,UNDI BIASA
8,084/17/06,SMK BUKIT GOH,1.0,285,41,185,50,276,9,0,FELDA BUKIT GOH ,UNDI BIASA
8,084/17/06,SMK BUKIT GOH,2.0,568,86,334,136,556,12,0,FELDA BUKIT GOH ,UNDI BIASA
8,084/17/06,SMK BUKIT GOH,3.0,560,125,238,196,559,1,0,FELDA BUKIT GOH ,UNDI BIASA
8,084/17/06,SMK BUKIT GOH,4.0,518,113,220,184,517,1,0,FELDA BUKIT GOH ,UNDI BIASA
8,084/17/06,SMK BUKIT GOH,5.0,508,128,186,189,503,5,0,FELDA BUKIT GOH ,UNDI BIASA
8,084/17/06,SMK BUKIT GOH,6.0,494,116,191,183,490,4,0,FELDA BUKIT GOH ,UNDI BIASA
9,084/17/07,SK BUKIT KUIN,1.0,302,54,170,72,296,6,0,BUKIT KUIN ,UNDI BIASA
9,084/17/07,SK BUKIT KUIN,2.0,362,76,155,122,353,9,0,BUKIT KUIN ,UNDI BIASA
9,084/17/07,SK BUKIT KUIN,3.0,365,47,156,161,364,1,0,BUKIT KUIN ,UNDI BIASA
