Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO' NAZRI NGAH,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) USTAZ AHMAD NAAWI,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DR JAMALUDDIN HJ ABD RAHIM,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
1,UNDI POS,,,476,188,123,37,348,25,103,UNDI POS,UNDI POS
2,081/11/00,BILIK KETUA CAWANGAN TRAFIK IBU PEJABAT POLIS DAERAH JERANTUT,1.0,2,2,0,0,2,0,0,UNDI AWAL,UNDI AWAL
3,081/11/01,SK LKTP KOTA GELANGGI 2,1.0,303,191,68,35,294,9,0,FELDA KOTA GELANGGI 2 ,UNDI BIASA
3,081/11/01,SK LKTP KOTA GELANGGI 2,2.0,477,304,114,46,464,13,0,FELDA KOTA GELANGGI 2 ,UNDI BIASA
3,081/11/01,SK LKTP KOTA GELANGGI 2,3.0,402,160,164,75,399,3,0,FELDA KOTA GELANGGI 2 ,UNDI BIASA
3,081/11/01,SK LKTP KOTA GELANGGI 2,4.0,375,178,142,52,372,3,0,FELDA KOTA GELANGGI 2 ,UNDI BIASA
3,081/11/01,SK LKTP KOTA GELANGGI 2,5.0,396,167,154,74,395,1,0,FELDA KOTA GELANGGI 2 ,UNDI BIASA
4,081/11/02,SK LKTP LEPAR UTARA 8,1.0,325,164,124,33,321,4,0,FELDA LEPAR UTARA TIGA ,UNDI BIASA
4,081/11/02,SK LKTP LEPAR UTARA 8,2.0,372,190,117,63,370,2,0,FELDA LEPAR UTARA TIGA ,UNDI BIASA
4,081/11/02,SK LKTP LEPAR UTARA 8,3.0,363,136,156,71,363,0,0,FELDA LEPAR UTARA TIGA ,UNDI BIASA
