id,n,a,c,i
1,BARISAN NASIONAL,BN,#004080,BN.png
2,PARTI ISLAM SE MALAYSIA,PAS,#6CB332,PAS.png
37,PARTI KEADILAN RAKYAT,PKR,#04A0D1,PKR.png
3,PARTI TINDAKAN DEMOKRATIK,DAP,#E70024,DAP.png
81,PARTI AMANAH NEGARA,AMANAH,#fff,AMANAH.png
7,PARTI KONGRES INDIAN MUSLIM MALAYSIA,KIMMA,#DE8801,KIMMA.png
9,PARTI RAKYAT MALAYSIA,PRM,#FE8591,PRM.png
15,PARTI REFORMASI NEGERI SARAWAK,STAR,#CC3399,STAR.png
19,PARTI PUNJABI MALAYSIA,PPM,#CC9900,PPM.png
27,PARTI MAJU SABAH,SAPP,#FBFD0B,SAPP.png
28,PARTI BARISAN INDIA SE-MALAYSIA,AMIPF,#E30300,AMIPF.png
4,BARISAN JEMAAH ISLAMIAH SE MALAYSIA,BERJASA,#005121,BERJASA.png
41,PENANG FRONT PARTY,PFP,#fff,PFP.png
43,PARTI GENERASI BARU,NEWGEN,#fff,NEWGEN.png
52,PARTI PERTUBUHAN KEBANGSAAN SABAH BERSATU,USNO,#fff,USNO.png
73,PARTI RAKYAT BERSATU,UPP,#fff,UPP.png
74,PARTI MAKKALSAKTI MALAYSIA,MMSP,#fff,MMSP.png
75,PARTI KESEJAHTERAAN INSAN TANAH AIR,KITA,#F58220,KITA.png
77,PARTI CINTA MALAYSIA,PCM,#F4E50E,PCM.png
78,PARTI PEKERJA SARAWAK,SWP,#FCF9A8,SWP.png
79,PARTI SOSIALIS MALAYSIA,PSM,#C0110D,PSM.png
80,PARTI KONGRES CEYLONESE MALAYSIA,MCC,#fff,MCC.png
83,PARTI KERJASAMA ANAK NEGERI,ANAKNEGERI,#fff,ANAKNEGERI.png
82,PARTI PERPADUAN RAKYAT SABAH,PPRS,#fff,PPRS.png
85,PARTI TENAGA RAKYAT SARAWAK,TERAS,#fff,TERAS.png
84,PARTI RAKYAT GABUNGAN JAKSA PENDAMAI,PEACE,#fff,PEACE.png
87,PARTI SEJAHTERA ANGKATAN PERPADUAN SABAH,SAPU,#fff,SAPU.png
86,PARTI KEBANGSAAN SABAH,PKS,#fff,PKS.png
95,PARTI BUMI KENYALANG,PBK,#fff,PBK.png
88,PARTI BANSA DAYAK SARAWAK BARU,PBDSB,#fff,PBDSB.png
89,PARTI ALTERNATIF RAKYAT ,PAP,#fff,PAP.png
90,PARTI CINTA SABAH,PCS,#fff,PCS.png
91,PARTI WARISAN SABAH ,WARISAN,#fff,WARISAN.png
92,PARTI PRIBUMI BERSATU MALAYSIA,PPBM,#fff,PPBM.png
93,PARTI SOLIDARITI TANAH AIRKU,SOLIDARITI,#fff,SOLIDARITI.png
94,PARTI HARAPAN RAKYAT SABAH,HR,#fff,HR.png
96,PARTI IKATAN BANGSA MALAYSIA,IKATAN,#fff,IKATAN.png
97,PARTI BERSAMA MALAYSIA ,MU,#fff,MU.png
98,PERTUBUHAN PERPADUAN RAKYAT KEBANGSAAN SABAH,PERPADUAN,#fff,PERPADUAN.png
99,PARTI DAMAI SABAH,SPP,#fff,SPP.png
20,BEBAS,BEBAS,#993300,BEBAS.png
