Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi(A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DR AZMAN ISMAIL,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) PAK TUAN AL IDRUS,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) ULYA HUSAMUDIN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DR. AHMAD FAKHRUDDIN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DATO DR MASHITAH BINTI IBRAHIM,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi(D)
1,UNDI POS,,,2486,410,3,49,1417,309,2188,85,213
2,UNDI AWAL 010/15/00,DEWAN SERBAGUNA PERUMAHAN POLIS JALAN KOLAM AIR,1,30,3,0,0,17,10,30,0,0
3,UNDI AWAL 010/16/00,DEWAN SERBAGUNA PERUMAHAN POLIS JALAN KOLAM AIR,1,21,1,0,0,13,7,21,0,0
4,UNDI AWAL 010/17/00,DEWAN SERBAGUNA PERUMAHAN POLIS JALAN KOLAM AIR,1,21,3,0,1,10,7,21,0,0
5,TITI GAJAH 010/15/01,"SEKOLAH KEBANGSAAN TITI GAJAH, TITI GAJAH",1,329,56,3,17,175,72,323,6,0
5,TITI GAJAH 010/15/01,"SEKOLAH KEBANGSAAN TITI GAJAH, TITI GAJAH",2,379,60,2,21,231,63,377,2,0
5,TITI GAJAH 010/15/01,"SEKOLAH KEBANGSAAN TITI GAJAH, TITI GAJAH",3,443,59,0,23,304,56,442,1,0
5,TITI GAJAH 010/15/01,"SEKOLAH KEBANGSAAN TITI GAJAH, TITI GAJAH",4,398,57,0,15,277,49,398,0,0
5,TITI GAJAH 010/15/01,"SEKOLAH KEBANGSAAN TITI GAJAH, TITI GAJAH",5,389,55,0,6,290,37,388,1,0
5,TITI GAJAH 010/15/01,"SEKOLAH KEBANGSAAN TITI GAJAH, TITI GAJAH",6,452,65,0,12,348,27,452,0,0
6,ALOR GANU 010/15/02,"SEKOLAH JENIS KEBANGSAAN (TAMIL) THIRUVALLUVAR, ANAK BUKIT",1,246,17,0,8,167,50,242,4,0
6,ALOR GANU 010/15/02,"SEKOLAH JENIS KEBANGSAAN (TAMIL) THIRUVALLUVAR, ANAK BUKIT",2,255,23,1,8,203,20,255,0,0
"HELAIAN MATA (SCORE SHEET)                                                        (BORANG SPR 760 Pin. 1/99) BAHAGIAN PILIHAN RAYA NEGERI: P.010 KUALA KEDAH
JUMLAH PEMILIH: 132,500                                                                                                                                                                                             MUKASURAT: 2/14",ALOR GANU 010/15/02,"SEKOLAH JENIS KEBANGSAAN (TAMIL) THIRUVALLUVAR, ANAK BUKIT",2,255,23,1,8,203,20,255,0,0
Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),"Jumlah kertas undi yang patut berada di dalam peti undi
(A)","Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding
(B)",1,8,203,20,255,Bilangan kertas undi yang ditolak (C),"Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi
(D)"
Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),"Jumlah kertas undi yang patut berada di dalam peti undi
(A)",DR AZMAN ISMAIL,PAK TUAN AL IDRUS,ULYA HUSAMUDIN,DR. AHMAD FAKHRUDDIN,DATO DR MASHITAH BINTI IBRAHIM,Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),"Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi
(D)"
7,ALOR MADI 010/15/03,"SEKOLAH JENIS KEBANGSAAN (TAMIL) THIRUVALLUVAR, ANAK BUKIT",3,297,42,4,9,187,50,292,5,0
7,ALOR MADI 010/15/03,"SEKOLAH JENIS KEBANGSAAN (TAMIL) THIRUVALLUVAR, ANAK BUKIT",4,310,26,0,3,242,39,310,0,0
8,KOTA RENTANG 010/15/04,"SEKOLAH KEBANGSAAN KOTA RENTANG, JITRA",1,374,23,5,7,253,81,369,5,0
8,KOTA RENTANG 010/15/04,"SEKOLAH KEBANGSAAN KOTA RENTANG, JITRA",2,494,23,1,3,407,59,493,1,0
9,PERMATANG KONG 010/15/05,SEKOLAH KEBANGSAAN SERI MUDA,1,366,48,4,7,244,56,359,7,0
9,PERMATANG KONG 010/15/05,SEKOLAH KEBANGSAAN SERI MUDA,2,405,29,0,9,330,37,405,0,0
9,PERMATANG KONG 010/15/05,SEKOLAH KEBANGSAAN SERI MUDA,3,394,43,0,3,310,38,394,0,0
10,KUBANG RAJA 010/15/06,"SEKOLAH KEBANGSAAN SIMPANG TIGA, PADANG HANG",1,372,60,3,1,239,67,370,2,0
10,KUBANG RAJA 010/15/06,"SEKOLAH KEBANGSAAN SIMPANG TIGA, PADANG HANG",2,458,56,0,4,338,43,441,17,0
11,PADANG HANG 010/15/07,"SEKOLAH KEBANGSAAN SIMPANG TIGA, PADANG HANG",3,356,58,3,10,239,37,347,9,0
11,PADANG HANG 010/15/07,"SEKOLAH KEBANGSAAN SIMPANG TIGA, PADANG HANG",4,421,71,1,6,294,48,420,1,0
11,PADANG HANG 010/15/07,"SEKOLAH KEBANGSAAN SIMPANG TIGA, PADANG HANG",5,388,42,0,4,314,25,385,3,0
11,PADANG HANG 010/15/07,"SEKOLAH KEBANGSAAN SIMPANG TIGA, PADANG HANG",6,431,41,0,3,355,28,427,4,0
12,PADANG LALANG 010/15/08,"SEKOLAH MENENGAH KEBANGSAAN ALOR JANGGUS,
ALOR JANGGUS",1,319,105,2,6,128,78,319,0,0
12,PADANG LALANG 010/15/08,"SEKOLAH MENENGAH KEBANGSAAN ALOR JANGGUS,
ALOR JANGGUS",2,388,94,0,14,188,89,385,3,0
12,PADANG LALANG 010/15/08,"SEKOLAH MENENGAH KEBANGSAAN ALOR JANGGUS,
ALOR JANGGUS",3,449,99,1,9,275,64,448,1,0
12,PADANG LALANG 010/15/08,"SEKOLAH MENENGAH KEBANGSAAN ALOR JANGGUS,
ALOR JANGGUS",4,422,68,0,18,280,55,421,1,0
12,PADANG LALANG 010/15/08,"SEKOLAH MENENGAH KEBANGSAAN ALOR JANGGUS,
ALOR JANGGUS",5,443,53,0,2,343,43,441,2,0
12,PADANG LALANG 010/15/08,"SEKOLAH MENENGAH KEBANGSAAN ALOR JANGGUS,
ALOR JANGGUS",6,500,54,0,11,388,47,500,0,0
"HELAIAN MATA (SCORE SHEET)                                                        (BORANG SPR 760 Pin. 1/99) BAHAGIAN PILIHAN RAYA NEGERI: P.010 KUALA KEDAH
JUMLAH PEMILIH: 132,500                                                                                                                                                                                             MUKASURAT: 3/14",PADANG LALANG 010/15/08,"SEKOLAH MENENGAH KEBANGSAAN ALOR JANGGUS,
ALOR JANGGUS",6,500,54,0,11,388,47,500,0,0
Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),"Jumlah kertas undi yang patut berada di dalam peti undi
(A)","Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding
(B)",0,11,388,47,500,Bilangan kertas undi yang ditolak (C),"Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi
(D)"
Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),"Jumlah kertas undi yang patut berada di dalam peti undi
(A)",DR AZMAN ISMAIL,PAK TUAN AL IDRUS,ULYA HUSAMUDIN,DR. AHMAD FAKHRUDDIN,DATO DR MASHITAH BINTI IBRAHIM,Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),"Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi
(D)"
13,GUNONG 010/15/09,"SEKOLAH MENENGAH KEBANGSAAN SERI GUNONG, GUNUNG KERIANG",1,312,63,2,7,144,93,309,3,0
13,GUNONG 010/15/09,"SEKOLAH MENENGAH KEBANGSAAN SERI GUNONG, GUNUNG KERIANG",2,360,68,2,12,192,82,356,4,0
13,GUNONG 010/15/09,"SEKOLAH MENENGAH KEBANGSAAN SERI GUNONG, GUNUNG KERIANG",3,555,106,0,11,338,98,553,2,0
13,GUNONG 010/15/09,"SEKOLAH MENENGAH KEBANGSAAN SERI GUNONG, GUNUNG KERIANG",4,547,71,0,13,381,82,547,0,0
13,GUNONG 010/15/09,"SEKOLAH MENENGAH KEBANGSAAN SERI GUNONG, GUNUNG KERIANG",5,566,40,0,6,445,74,565,1,0
14,KUBANG TEDOH 010/15/10,"SEKOLAH JENIS KEBANGSAAN (CINA) YIH CHOON, GUNUNG KERIANG",1,341,40,4,5,212,75,336,5,0
14,KUBANG TEDOH 010/15/10,"SEKOLAH JENIS KEBANGSAAN (CINA) YIH CHOON, GUNUNG KERIANG",2,385,47,2,7,270,54,380,5,0
