"HELAIAN MATA (SCORE SHEET)                                                        (BORANG SPR 760 Pin. 1/99) BAHAGIAN PILIHAN RAYA NEGERI: P.005 JERLUN
JUMLAH PEMILIH: 67,601                                                                                                                                                                                                 MUKASURAT: 1/7",,,,,,,,,,,
Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),"Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding
(B)",,,,,"Bilangan kertas undi yang ditolak
(C)","Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi
(D)"
,,,,,DR. ABD GHANI AHMAD,DATO' SERI UTAMA MUKHRIZ MAHATHIR,DR. MOHAMED FADZIL MOHD ALI,OTHMAN BIN AZIZ,Jumlah undian oleh pemilih,,
,,,,,,,,,,,
1,UNDI POS,,,"1,150",660,83,71,202,"1,016",50,84
UNDI AWAL,,,,,,,,,,,
2,UNDI AWAL 005/03/00,"BILIK PERKEP, BALAI POLIS AYER HITAM",1,15,6,0,0,9,15,0,0
3,UNDI AWAL 005/04/00,"BILIK PERKEP, BALAI POLIS AYER HITAM",1,16,5,0,1,10,16,0,0
UNDI BIASA,,,,,,,,,,,
4,KAMPUNG BAHAGIA 005/03/01,"SEKOLAH MENENGAH KEBANGSAAN TUNKU BENDAHARA, KODIANG",1,337,134,27,55,111,327,10,0
,,,2,479,299,34,70,72,475,4,0
,,,3,551,390,26,63,65,544,7,0
5,KAMPUNG PERING 005/03/02,"SEKOLAH KEBANGSAAN SIPUTEH, PADANG SERA",1,358,150,52,15,129,346,12,0
,,,2,320,215,25,23,49,312,8,0
6,KAMPUNG KANDIS 005/03/03,"SEKOLAH KEBANGSAAN KODIANG (BARU), KODIANG",1,356,106,24,84,138,352,4,0
,,,2,325,181,30,39,70,320,5,0
,,,3,341,220,15,46,57,338,3,0
7,PEKAN KODIANG 005/03/04,"SEKOLAH JENIS KEBANGSAAN (CINA) CHOONG HWA, KODIANG",1,294,104,21,98,63,286,8,0
,,,2,366,167,26,81,89,363,3,0
,,,3,441,248,28,113,49,438,3,0
,,,4,450,298,21,79,50,448,2,0
,,,5,493,314,17,98,63,492,1,0
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"HELAIAN MATA (SCORE SHEET)                                                        (BORANG SPR 760 Pin. 1/99) BAHAGIAN PILIHAN RAYA NEGERI: P.005 JERLUN
JUMLAH PEMILIH: 67,601                                                                                                                                                                                                 MUKASURAT: 2/7",,,,,,,,,,,
Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),"Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding
(B)",,,,,"Bilangan kertas undi yang ditolak
(C)","Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi
(D)"
,,,,,DR. ABD GHANI AHMAD,DATO' SERI UTAMA MUKHRIZ MAHATHIR,DR. MOHAMED FADZIL MOHD ALI,OTHMAN BIN AZIZ,Jumlah undian oleh pemilih,,
,,,,,,,,,,,
8,KAMPUNG KODIANG 005/03/05,"SEKOLAH KEBANGSAAN TUNKU BENDAHARA, KODIANG",1,307,151,26,33,88,298,9,0
,,,2,388,200,20,48,116,384,4,0
,,,3,453,291,32,37,91,451,2,0
,,,4,436,285,35,35,77,432,4,0
,,,5,411,290,25,31,64,410,1,0
,,,6,481,370,13,38,59,480,1,0
9,KAMPUNG SIPUTEH 005/03/06,"SEKOLAH MENENGAH KEBANGSAAN AGAMA JERLUN, KODIANG",1,333,117,30,35,146,328,5,0
,,,2,327,186,32,19,86,323,4,0
,,,3,340,220,16,24,79,339,1,0
10,MEGAT DEWA 005/03/07,"SEKOLAH KEBANGSAAN MEGAT DEWA, KODIANG",1,346,179,16,80,64,339,7,0
,,,2,387,227,18,83,52,380,7,0
,,,3,406,294,23,50,36,403,3,0
,,,4,437,344,14,53,25,436,1,0
11,BUKIT HANTU 005/03/08,"SEKOLAH KEBANGSAAN DATO SYED NAHAR, KODIANG",1,319,181,19,31,80,311,8,0
,,,2,363,212,26,43,78,359,4,0
,,,3,391,268,26,29,65,388,3,0
,,,4,385,310,15,17,42,384,1,0
,,,5,423,349,9,14,46,418,5,0
12,MESJID PAYA 005/03/09,"SEKOLAH KEBANGSAAN DATO SYED NAHAR, KODIANG",6,325,259,11,16,33,319,6,0
,,,7,347,269,11,20,44,344,3,0
,,,8,356,306,7,16,27,356,0,0
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"HELAIAN MATA (SCORE SHEET)                                                        (BORANG SPR 760 Pin. 1/99) BAHAGIAN PILIHAN RAYA NEGERI: P.005 JERLUN
JUMLAH PEMILIH: 67,601                                                                                                                                                                                                 MUKASURAT: 3/7",,,,,,,,,,,
Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),"Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding
(B)",,,,,"Bilangan kertas undi yang ditolak
(C)","Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi
(D)"
,,,,,DR. ABD GHANI AHMAD,DATO' SERI UTAMA MUKHRIZ MAHATHIR,DR. MOHAMED FADZIL MOHD ALI,OTHMAN BIN AZIZ,Jumlah undian oleh pemilih,,
,,,,,,,,,,,
13,BATU 4 JALAN SANGLANG 005/03/10,"PERTUBUHAN PELADANG KAWASAN B-2 SANGLANG, BATU 4, JALAN SANGLANG, KODIANG",1,381,204,32,37,104,377,4,0
,,,2,532,325,23,49,132,529,3,0
,,,3,517,349,17,43,107,516,1,0
14,MANGGOL 005/03/11,"SEKOLAH KEBANGSAAN MANGGOL BONGOR, MEGAT DEWA",1,370,210,23,22,115,370,0,0
,,,2,463,323,36,16,86,461,2,0
,,,3,483,354,33,26,70,483,0,0
15,TOK KEPAK 005/03/12,"SEKOLAH KEBANGSAAN TOK KEPAK, MEGAT DEWA",1,318,153,12,25,121,311,7,0
,,,2,308,195,9,18,83,305,3,0
,,,3,337,228,11,15,76,330,7,0
16,SG KOROK 2 MK SANGLANG 005/03/13,"SEKOLAH KEBANGSAAN HAJI WAN YAHYA, JALAN SANGLANG",1,332,152,22,27,125,326,6,0
,,,2,372,196,26,35,112,369,3,0
,,,3,523,361,34,35,93,523,0,0
,,,4,565,415,26,34,88,563,2,0
17,SG KOROK 005/03/14,"SEKOLAH KEBANGSAAN HAJI WAN YAHYA, JALAN SANGLANG",5,194,100,21,12,47,180,14,0
,,,6,221,133,15,17,56,221,0,0
18,KAMPUNG SANGLANG 005/03/15,"SEKOLAH KEBANGSAAN SANGLANG, AYER HITAM",1,315,118,35,60,95,308,7,0
,,,2,345,162,29,71,75,337,8,0
,,,3,376,210,28,60,73,371,5,0
,,,4,413,268,24,47,71,410,3,0
19,KERPAN 005/03/16,"SEKOLAH JENIS KEBANGSAAN (CINA) LAM MIN, KERPAN",1,360,126,26,64,137,353,7,0
,,,2,509,243,32,81,147,503,6,0
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"HELAIAN MATA (SCORE SHEET)                                                        (BORANG SPR 760 Pin. 1/99) BAHAGIAN PILIHAN RAYA NEGERI: P.005 JERLUN
JUMLAH PEMILIH: 67,601                                                                                                                                                                                                 MUKASURAT: 4/7",,,,,,,,,,,
Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),"Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding
(B)",,,,,"Bilangan kertas undi yang ditolak
(C)","Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi
(D)"
,,,,,DR. ABD GHANI AHMAD,DATO' SERI UTAMA MUKHRIZ MAHATHIR,DR. MOHAMED FADZIL MOHD ALI,OTHMAN BIN AZIZ,Jumlah undian oleh pemilih,,
,,,,,,,,,,,
20,KUALA SANGLANG 005/03/17,"SEKOLAH MENENGAH KEBANGSAAN SANGLANG, AYER HITAM",1,337,84,16,105,118,323,14,0
,,,2,481,242,26,102,106,476,5,0
,,,3,455,259,11,107,77,454,1,0
21,PADANG SERA 005/04/01,"SEKOLAH JENIS KEBANGSAAN (CINA) PEI MIN, PADANG SERA",1,340,74,30,176,54,334,6,0
,,,2,419,175,34,157,51,417,2,0
22,KAMPUNG MELELE 005/04/02,"SEKOLAH MENENGAH AGAMA NAHDHAH HASANAH MELELE, PADANG SERA",1,291,85,30,37,134,286,5,0
,,,2,374,113,46,85,121,365,9,0
,,,3,589,236,79,125,146,586,3,0
,,,4,528,275,60,104,81,520,7,1
,,,5,492,270,42,104,74,490,2,0
,,,6,539,310,37,107,85,539,0,0
23,KAMPUNG PUTAT 005/04/03,"SEKOLAH KEBANGSAAN PUTAT, JITRA",1,349,137,18,42,145,342,7,0
,,,2,361,163,26,39,130,358,3,0
,,,3,352,214,19,26,88,347,5,0
,,,4,406,265,18,33,84,400,6,0
24,KAMPUNG IMAM 005/04/04,"SEKOLAH MENENGAH KEBANGSAAN MEGAT DEWA, KODIANG",1,367,156,48,28,129,361,6,0
,,,2,447,263,57,25,100,445,2,0
,,,3,444,293,32,41,77,443,1,0
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"HELAIAN MATA (SCORE SHEET)                                                        (BORANG SPR 760 Pin. 1/99) BAHAGIAN PILIHAN RAYA NEGERI: P.005 JERLUN
JUMLAH PEMILIH: 67,601                                                                                                                                                                                                 MUKASURAT: 5/7",,,,,,,,,,,
