

HELAIAN MATA (SCORE SHEET)
BAHAGIAN PILIHAN RAYA NEGERI: P.221 LIMBANG


(BORANG SPR 760 Pin. 1/99)


M UKMUKASURAT: 1/6
Nombor Jumlah kertas Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding Bilangan kertas Jumlah ah kertasas
Tempat undi yang patut (B) undi yang ditolak undi undiyang yang
Jumlah kertas
MengundiNombor berada di dalam RACHA BALANG HASBI BIN HABIBOLLAH Jumlah undian (C) dikeluarkanarkan
undi yang patut Bilangan kertas
T (saluran)empat peti undi RACHA BALANG HASBI BIN HABIBOLLAH oleh pemilih kepada da pengundi
berada di dalam undi yang ditolak
Mengundi (A) Jumlah undian tetapi tatidakpi tidak
peti undi (C)
(saluran) oleh pemilih dimasukkan kan ke ke


|1||UNDI POS||718|66|494|560|52|106|
|---|---|---|---|---|---|---|---|---|---|
|||AWAL||||||||
|||||||||||
|||||||||||
|||||||||||
|||||||||||
|||||||||||
|||'C' PGA LIMBANG||||||||
|||||||||||
|3|221/80/00|LAMA LIMBANG||||||||
|||BIASA||||||||
|||||||||||
|4|221/79/01|LIMPAKU PINANG||||||||
|||SEKOLAH KEBANGSAAN|1|195|67|127|194|1|0|
|||||||||||
|||||||||||
|||||||||||
||||3 3|172 172|8181|9191|172 172|0 0|0 0|
|||DEWAN KPG. PATIAMBUN|1 1|21215|3131|18184|21215|0 0|0 0|
|||DEWAN KPG. PATIAMBUN|2 2|16160|3232|12128|16160|0 0|0 0|
||SEBUKANG|||||||||
||221/79/02|||||||||
|||TADIKA KEMAS LIMBANG|1|222|76|145|221|1|0|
||||2 2|22221|79 79|140 140|21219|2 2|0 0|
|||TADIKA KEMAS LIMBANG|3 3|16163|49 49|114 114|16163|0 0|0 0|
||||4 4|179 179|70 70|10109|179 179|0 0|0 0|
||||5|200|68|131|199|1|0|


(A)
dalam dalam peti peti undiundi
(D) (D)


JUMLAH PEMILIH: 41,999
Bil No. Kod Daerah Mengundi Nama Pusat Mengundi


Bil No. Kod Daerah Mengundi


Nama Pusat Mengundi


PILIHAN RAYA UMUM KE-15


Tarikh Cetak: 19/11/2022




HELAIAN MATA (SCORE SHEET)
BAHAGIAN PILIHAN RAYA NEGERI: P.221 LIMBANG


(BORANG SPR 760 Pin. 1/99)


M UKMUKASURAT: 2/6
Nombor Jumlah kertas Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding Bilangan kertas Jumlah ah kertasas
Tempat undi yang patut (B) undi yang ditolak undi undiyang yang
Jumlah kertas
MengundiNombor berada di dalam RACHA BALANG HASBI BIN HABIBOLLAH Jumlah undian (C) dikeluarkanarkan
undi yang patut Bilangan kertas
T (saluran)empat peti undi RACHA BALANG HASBI BIN HABIBOLLAH oleh pemilih kepada da pengundi
berada di dalam undi yang ditolak
Mengundi (A) Jumlah undian tetapi tatidakpi tidak
peti undi (C)
(saluran) oleh pemilih dimasukkan kan ke ke
(A)
dalam dalam peti peti undiundi
(D) (D)


|5|SEBUKANG|DEWAN KPG. PABAHANAN|1 1|21219|40 40|177 177|21217|2 2|0 0|
|---|---|---|---|---|---|---|---|---|---|
|5|221/79/02|DEWAN PABAHANAN||||||||
|||||||||||
|6|TABAHAN|SEKOLAH KEBANGSAAN|1 1|150 150|8 8|13138|146 146|4 4|0 0|
||221/79/03|KAMPUNG PAHLAWAN||||||||
|||||||||||
|||||||||||
||||3||||256|5|0|
||TABAHAN|||||||||
||221/79/03|SEKOLAH KEBANGSAAN||||||||
|||||||||||
|||SEKOLAH|1 1|178 178|15 15|16160|175 175|3 3|0 0|
|||||||||||
|||||||||||
|7|BANGKITA|SEKOLAH KEBANGSAAN|1|200|49|151|200|0|0|
|||||||||||
||||2|247|67|179|246|1|0|
|||||||||||
|||||||||||
||||4 4|18183|3838|145 145|18183|0 0|0 0|
|8|LIMBANG|SEKOLAH JENIS KEBANGSAAN|1||42|45|87|1|0|
||221/79/05|CHUNG HWA LIMBANG||||||||
||||2|||||2|0|
||LIMBANG|SEKOLAH JENIS KEBANGSAAN||||||||
|||||||||||
||||4 4|20207|144 144|6363|20207|0 0|0 0|
||||5 5|19190|12121|65 65|18186|4 4|0 0|
|||SEKOLAH KEBANGSAAN|1 1|179 179|10102|76 76|178 178|1 1|0 0|
|||||||||||
|||||||||||
|||||||||||
||||3|153|110|43|153|0|0|
||||4 4|157 157|117 117|37 37|154 154|3 3|0 0|


JUMLAH PEMILIH: 41,999
Bil No. Kod Daerah Mengundi Nama Pusat Mengundi


Bil No. Kod Daerah Mengundi


Nama Pusat Mengundi


PILIHAN RAYA UMUM KE-15


Tarikh Cetak: 19/11/2022




# HELAIAN MATA (SCORE SHEET) BAHAGIAN PILIHAN RAYA NEGERI: P.221 LIMBANG


## (BORANG SPR 760 Pin. 1/99)


## M UKMUKASURAT: 3/6


Nombor Jumlah kertas Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding Bilangan kertas Jumlah ah kertasas
Tempat undi yang patut (B) undi yang ditolak undi undiyang yang
Jumlah kertas
MengundiNombor berada di dalam RACHA BALANG HASBI BIN HABIBOLLAH Jumlah undian (C) dikeluarkanarkan
undi yang patut Bilangan kertas
T (saluran)empat peti undi RACHA BALANG HASBI BIN HABIBOLLAH oleh pemilih kepada da pengundi
berada di dalam undi yang ditolak
Mengundi (A) Jumlah undian tetapi tatidakpi tidak
peti undi (C)
(saluran) oleh pemilih dimasukkan kan ke ke


|9||PIBG, SEKOLAH|1 1|21217|8 8|20209|21217|0 0|0 0|
|---|---|---|---|---|---|---|---|---|---|
|||||||||||
|||||||||||
|10|BUKIT KOTA|DEWAN KPG. BUANGSIOL|1 1|251 251|2020|20209|22229|2222|0 0|
|||||||||||
|||||||||||
|||||||||||
||||3 3|22221|1313|20206|21219|2 2|0 0|
||||4 4|242 242|2020|22222|242 242|0 0|0 0|
|11|PENDAM|SEKOLAH KEBANGSAAN||||||||
|||||||||||
|11||GADONG|2||8|||0|0|
|||||||||||
|||DEWAN KPG. PENDAM|1 1|276 276|2 2|273 273|275 275|1 1|0 0|
|12|TELAHAK|SEKOLAH|1||5|||0|0|
|||||||||||
||||2|209|0|208|208|1|0|
||TELAHAK|||||||||
|||||||||||
|||SEKOLAH KEBANGSAAN|1 1|278 278|2929|22225|254 254|24 24|0 0|
|||||||||||
|||||||||||
|||DEWAN INSPIRASI SEKOLAH|1|||155||0|0|
|||AN I NSPIRASI||||||||
|||M KE ENENGAHKUBONGBANGSAAN|2|143|48|95|143|0|0|
|||||||||||
|||||||||||
||BERAWAN|R.||||||||
|||||||||||
||||2 2|19196|64 64|12127|19191|5 5|0 0|
|||KPG. BATU|1||65|||0|0|
|||||||||||
||||||44|||||


(A)
dalam dalam peti peti undiundi
(D) (D)


## JUMLAH PEMILIH: 41,999 Bil No. Kod Daerah Mengundi Nama Pusat Mengundi


Bil No. Kod Daerah Mengundi


Nama Pusat Mengundi


PILIHAN RAYA UMUM KE-15


Tarikh Cetak: 19/11/2022




HELAIAN MATA (SCORE SHEET)
BAHAGIAN PILIHAN RAYA NEGERI: P.221 LIMBANG


(BORANG SPR 760 Pin. 1/99)


M UKMUKASURAT: 4/6
Nombor Jumlah kertas Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding Bilangan kertas Jumlah ah kertasas
Tempat undi yang patut (B) undi yang ditolak undi undiyang yang
Jumlah kertas
MengundiNombor berada di dalam RACHA BALANG HASBI BIN HABIBOLLAH Jumlah undian (C) dikeluarkanarkan
undi yang patut Bilangan kertas
T (saluran)empat peti undi RACHA BALANG HASBI BIN HABIBOLLAH oleh pemilih kepada da pengundi
berada di dalam undi yang ditolak
Mengundi (A) Jumlah undian tetapi tatidakpi tidak
peti undi (C)
(saluran) oleh pemilih dimasukkan kan ke ke
(A)
dalam dalam peti peti undiundi
(D) (D)


|13 BERAWAN|SEKOLAH|1 1|252 252|3131|22220|251 251|1 1|0 0|
|---|---|---|---|---|---|---|---|---|
||||||||||
||||||||||
|BERAWAN|||||||||
|221/79/10|MERAMBUT||||||||
||SURAU (HALAMAN) KPG.|1|||||1|0|
||PANGKALAN REJAB||||||||
|14 DANAU|SEKOLAH KEBANGSAAN BATU|1 1|22222|49 49|171 171|22220|2 2|0 0|
|221/80/01|DANAU||||||||
||||||||||
||||||||||
|||3|167|31|136|167|0|0|
||DEWAN KPG. BIDANG|1|321|54|266|320|1|0|
|DANAU|||||||||
|221/80/01|DEWAN PENGKALAN MADANG||||||||
||SEKOLAH KEBANGSAAN|1|251|47|204|251|0|0|
||||||||||
||SEKOLAH KEBANGSAAN|1|179|32|145|177|2|0|
||||||||||
||||||||||
||SEKOLAH KEBANGSAAN|1 1|31312|10100|20209|30309|3 3|0 0|
||||||||||
||||||||||
||SEKOLAH KEBANGSAAN|1 1|198 198|63 63|129 129|192 192|6 6|0 0|


JUMLAH PEMILIH: 41,999
Bil No. Kod Daerah Mengundi Nama Pusat Mengundi


Bil No. Kod Daerah Mengundi


Nama Pusat Mengundi


SEKOLAH KEBANGSAAN
NANGA MERIT


|221/80/02|RH. LUTA ENGKASING LUBAI|1 1|20204|3333|16168|20201|3 3|0 0|
|---|---|---|---|---|---|---|---|---|
||SEKOLAH KEBANGSAAN|1 1|33330|9191|23238|32329|1 1|0 0|
||||||||||
||MENUANG||||||||
|||3 3|22228|6666|16161|22227|1 1|0 0|


LUBAI
221/80/02


15


PILIHAN RAYA UMUM KE-15


Tarikh Cetak: 19/11/2022




# HELAIAN MATA (SCORE SHEET) BAHAGIAN PILIHAN RAYA NEGERI: P.221 LIMBANG


## (BORANG SPR 760 Pin. 1/99)


## M UKMUKASURAT: 5/6


Nombor Jumlah kertas Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding Bilangan kertas Jumlah ah kertasas
Tempat undi yang patut (B) undi yang ditolak undi undiyang yang
Jumlah kertas
MengundiNombor berada di dalam RACHA BALANG HASBI BIN HABIBOLLAH Jumlah undian (C) dikeluarkanarkan
undi yang patut Bilangan kertas
T (saluran)empat peti undi RACHA BALANG HASBI BIN HABIBOLLAH oleh pemilih kepada da pengundi
berada di dalam undi yang ditolak
Mengundi (A) Jumlah undian tetapi tatidakpi tidak
peti undi (C)
(saluran) oleh pemilih dimasukkan kan ke ke


|15|LUBAI|RH. DAMPIN AK LAYAN|1|45|7|38|45|0|0|
|---|---|---|---|---|---|---|---|---|---|
|||||||||||
|||||||||||
|||||||||||
|||||||||||
|16|UKONG|RH. LIBAN, TERUSAN LUBAI|1 1|144 144|43 43|10100|143 143|1 1|0 0|
|||||||||||
|||DEWAN KPG. LUBOK LASAS|1|116||85|116|0|0|
|||DEWAN KPG. UKONG|1||27|||0|0|
|||||||||||
||||2|170|||170|0|0|
||UKONG|||||||||
||221/80/03|DEWAN SERBAGUNA KPG.||||||||
|||||||||||
|||SEKOLAH KEBANGSAAN|1 1|21217|3333|18183|21216|1 1|0 0|
|||||||||||
|||||||||||
|||DEWAN KPG. RANGGU|1 1|145 145|24 24|12121|145 145|0 0|0 0|
|17|MEDIHIT|SEKOLAH KEBANGSAAN LONG|1|84|23|60|83|1|0|
|||||||||||
|||||||||||
|||RH. LAWAI, SELIDONG|1 1|13131|2828|9999|12127|4 4|0 0|
|||RH. BRAIN, MERUYU|1 1|9090|6363|2626|8989|1 1|0 0|
||MEDIHIT|||||||||
||221/80/04|||||||||
|||||||||||
|||SEKOLAH KEBANGSAAN|1 1|16162|52 52|10103|155 155|7 7|0 0|
|||||||||||
|||||||||||
|||SEKOLAH KEBANGSAAN|1|227|121|104|225|2|0|
|||||||||||
|18|MEDAMIT|RH. EKOM SEPANGAH|1 1|274 274|64 64|20207|271 271|3 3|0 0|


(A)
dalam dalam peti peti undiundi
(D) (D)


## JUMLAH PEMILIH: 41,999 Bil No. Kod Daerah Mengundi Nama Pusat Mengundi


Bil No. Kod Daerah Mengundi


Nama Pusat Mengundi


## 18 MEDAMIT 221/80/05


PILIHAN RAYA UMUM KE-15


Tarikh Cetak: 19/11/2022




HELAIAN MATA (SCORE SHEET)
BAHAGIAN PILIHAN RAYA NEGERI: P.221 LIMBANG


(BORANG SPR 760 Pin. 1/99)


M UKMUKASURAT: 6/6
Nombor Jumlah kertas Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding Bilangan kertas Jumlah ah kertasas
Tempat undi yang patut (B) undi yang ditolak undi undiyang yang
Jumlah kertas
MengundiNombor berada di dalam RACHA BALANG HASBI BIN HABIBOLLAH Jumlah undian (C) dikeluarkanarkan
undi yang patut Bilangan kertas


|18 MEDAMIT|DEWAN MASYARAKAT||1|||||1|0|
|---|---|---|---|---|---|---|---|---|---|
||DEWAN MASYARAKAT|||||||||
|||||||||||
||RH. AKOH KARANGAN||1||47|||0|0|
|||||||||||
|||||||||||
||KIRAN|||||||||
