Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) KHAIRUDDIN ABU HASSAN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) ABD. ALIM SHAPIE,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATUK SERI HAJI AHMAD HAMZAH,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
1,UNDI POS,,,1519,262,177,685,1124,178,217,UNDI POS,UNDI POS
2,139/24/00,DEWAN SERBAGUNA IBU PEJABAT POLIS DAERAH JASIN,1.0,307,45,12,246,303,4,0,UNDI AWAL ,UNDI AWAL
3,139/25/00,BILIK TAKLIMAT BALAI POLIS SIMPANG BEKOH,1.0,18,2,2,14,18,0,0,UNDI AWAL ,UNDI AWAL
4,139/27/00,BILIK PENERANGAN BALAI POLIS MERLIMAU,1.0,28,4,0,23,27,1,0,UNDI AWAL ,UNDI AWAL
5,139/28/00,DEWAN SERBAGUNA BALAI POLIS SUNGAI RAMBAI,1.0,18,2,2,13,17,1,0,UNDI AWAL ,UNDI AWAL
6,139/24/01,BALAI RAYA DESA KESANG,1.0,290,90,15,176,281,9,0,PONDOK KEMPAS ,UNDI BIASA
6,139/24/01,BALAI RAYA DESA KESANG,2.0,314,161,24,128,313,1,0,PONDOK KEMPAS ,UNDI BIASA
7,139/24/02,SEK. REN. AGAMA (JAIM) FELDA TUN GHAFFAR AYER KANGKONG,1.0,477,187,47,234,468,9,0,AYER KANGKONG ,UNDI BIASA
8,139/24/03,SEKOLAH KEBANGSAAN KESANG TUA,1.0,274,96,37,138,271,3,0,KESANG TUA ,UNDI BIASA
8,139/24/03,SEKOLAH KEBANGSAAN KESANG TUA,2.0,510,206,63,237,506,4,0,KESANG TUA ,UNDI BIASA
8,139/24/03,SEKOLAH KEBANGSAAN KESANG TUA,3.0,486,236,53,186,475,11,0,KESANG TUA ,UNDI BIASA
8,139/24/03,SEKOLAH KEBANGSAAN KESANG TUA,4.0,458,254,62,140,456,2,0,KESANG TUA ,UNDI BIASA
8,139/24/03,SEKOLAH KEBANGSAAN KESANG TUA,5.0,448,256,43,146,445,3,0,KESANG TUA ,UNDI BIASA
9,139/24/04,SEK. REN. AGAMA (JAIM) KESANG TUA,1.0,317,130,31,154,315,2,0,KESANG JAYA ,UNDI BIASA
9,139/24/04,SEK. REN. AGAMA (JAIM) KESANG TUA,2.0,549,299,69,176,544,5,0,KESANG JAYA ,UNDI BIASA
9,139/24/04,SEK. REN. AGAMA (JAIM) KESANG TUA,3.0,524,300,69,152,521,3,0,KESANG JAYA ,UNDI BIASA
10,139/24/05,SEKOLAH KEBANGSAAN AYER BAROK,1.0,239,120,17,99,236,3,0,AYER BAROK ,UNDI BIASA
10,139/24/05,SEKOLAH KEBANGSAAN AYER BAROK,2.0,425,224,47,147,418,7,0,AYER BAROK ,UNDI BIASA
10,139/24/05,SEKOLAH KEBANGSAAN AYER BAROK,3.0,417,237,40,138,415,2,0,AYER BAROK ,UNDI BIASA
10,139/24/05,SEKOLAH KEBANGSAAN AYER BAROK,4.0,395,227,51,114,392,3,0,AYER BAROK ,UNDI BIASA
11,139/24/06,SEKOLAH MENENGAH KEBANGSAAN TAN SRI HAJI ABDUL AZIZ TAPA,1.0,292,146,15,123,284,8,0,TAMAN MAJU ,UNDI BIASA
11,139/24/06,SEKOLAH MENENGAH KEBANGSAAN TAN SRI HAJI ABDUL AZIZ TAPA,2.0,534,284,41,200,525,9,0,TAMAN MAJU ,UNDI BIASA
11,139/24/06,SEKOLAH MENENGAH KEBANGSAAN TAN SRI HAJI ABDUL AZIZ TAPA,3.0,513,301,33,175,509,4,0,TAMAN MAJU ,UNDI BIASA
11,139/24/06,SEKOLAH MENENGAH KEBANGSAAN TAN SRI HAJI ABDUL AZIZ TAPA,4.0,474,313,38,119,470,4,0,TAMAN MAJU ,UNDI BIASA
11,139/24/06,SEKOLAH MENENGAH KEBANGSAAN TAN SRI HAJI ABDUL AZIZ TAPA,5.0,499,332,62,105,499,0,0,TAMAN MAJU ,UNDI BIASA
11,139/24/06,SEKOLAH MENENGAH KEBANGSAAN TAN SRI HAJI ABDUL AZIZ TAPA,6.0,457,303,48,101,452,5,0,TAMAN MAJU ,UNDI BIASA
11,139/24/06,SEKOLAH MENENGAH KEBANGSAAN TAN SRI HAJI ABDUL AZIZ TAPA,7.0,483,322,44,116,482,1,0,TAMAN MAJU ,UNDI BIASA
12,139/24/07,SEKOLAH MENENGAH KEBANGSAAN SERI BEMBAN,1.0,300,130,26,136,292,8,0,AYER PANAS ,UNDI BIASA
12,139/24/07,SEKOLAH MENENGAH KEBANGSAAN SERI BEMBAN,2.0,410,212,46,149,407,3,0,AYER PANAS ,UNDI BIASA
13,139/24/08,SEKOLAH KEBANGSAAN SERI BEMBAN,1.0,289,159,10,110,279,10,0,SERI BEMBAN ,UNDI BIASA
13,139/24/08,SEKOLAH KEBANGSAAN SERI BEMBAN,2.0,577,274,35,259,568,9,0,SERI BEMBAN ,UNDI BIASA
13,139/24/08,SEKOLAH KEBANGSAAN SERI BEMBAN,3.0,575,318,41,206,565,10,0,SERI BEMBAN ,UNDI BIASA
13,139/24/08,SEKOLAH KEBANGSAAN SERI BEMBAN,4.0,551,345,41,156,542,9,0,SERI BEMBAN ,UNDI BIASA
13,139/24/08,SEKOLAH KEBANGSAAN SERI BEMBAN,5.0,522,315,56,147,518,3,1,SERI BEMBAN ,UNDI BIASA
13,139/24/08,SEKOLAH KEBANGSAAN SERI BEMBAN,6.0,525,290,56,177,523,2,0,SERI BEMBAN ,UNDI BIASA
14,139/24/09,SEKOLAH KEBANGSAAN TEHEL,1.0,291,92,25,160,277,14,0,TEHEL ,UNDI BIASA
14,139/24/09,SEKOLAH KEBANGSAAN TEHEL,2.0,538,236,28,268,532,6,0,TEHEL ,UNDI BIASA
14,139/24/09,SEKOLAH KEBANGSAAN TEHEL,3.0,530,259,67,202,528,2,0,TEHEL ,UNDI BIASA
14,139/24/09,SEKOLAH KEBANGSAAN TEHEL,4.0,513,257,66,189,512,1,0,TEHEL ,UNDI BIASA
15,139/25/01,SEKOLAH KEBANGSAAN KEMENDOR,1.0,300,149,19,128,296,4,0,KEMENDOR ,UNDI BIASA
15,139/25/01,SEKOLAH KEBANGSAAN KEMENDOR,2.0,550,240,72,233,545,5,0,KEMENDOR ,UNDI BIASA
15,139/25/01,SEKOLAH KEBANGSAAN KEMENDOR,3.0,506,257,50,196,503,3,0,KEMENDOR ,UNDI BIASA
16,139/25/02,BALAI RAYA SERI KESANG,1.0,571,247,59,245,551,20,0,SERI KESANG ,UNDI BIASA
17,139/25/03,SEKOLAH KEBANGSAAN SRI LANANG,1.0,311,109,29,171,309,2,0,KELUBI ,UNDI BIASA
17,139/25/03,SEKOLAH KEBANGSAAN SRI LANANG,2.0,528,260,55,213,528,0,0,KELUBI ,UNDI BIASA
18,139/25/04,SEKOLAH MENENGAH KEBANGSAAN ISKANDAR SHAH,1.0,291,112,11,159,282,9,0,KG RIM ,UNDI BIASA
18,139/25/04,SEKOLAH MENENGAH KEBANGSAAN ISKANDAR SHAH,2.0,417,202,22,190,414,3,0,KG RIM ,UNDI BIASA
18,139/25/04,SEKOLAH MENENGAH KEBANGSAAN ISKANDAR SHAH,3.0,413,252,28,126,406,6,1,KG RIM ,UNDI BIASA
18,139/25/04,SEKOLAH MENENGAH KEBANGSAAN ISKANDAR SHAH,4.0,389,234,26,128,388,1,0,KG RIM ,UNDI BIASA
19,139/25/05,SEKOLAH JENIS KEBANGSAAN (CINA) PAY CHUIN,1.0,296,189,11,88,288,8,0,BUKIT KATONG ,UNDI BIASA
19,139/25/05,SEKOLAH JENIS KEBANGSAAN (CINA) PAY CHUIN,2.0,349,285,3,58,346,3,0,BUKIT KATONG ,UNDI BIASA
20,139/25/06,SEKOLAH JENIS KEBANGSAAN (TAMIL) LADANG DIAMOND JUBILEE,1.0,277,153,11,104,268,9,0,LADANG DIAMOND ,UNDI BIASA
21,139/25/07,SEKOLAH MENENGAH KEBANGSAAN SIMPANG BEKOH,1.0,278,98,28,146,272,6,0,SIMPANG BEKOH ,UNDI BIASA
21,139/25/07,SEKOLAH MENENGAH KEBANGSAAN SIMPANG BEKOH,2.0,448,192,47,204,443,5,0,SIMPANG BEKOH ,UNDI BIASA
21,139/25/07,SEKOLAH MENENGAH KEBANGSAAN SIMPANG BEKOH,3.0,414,216,42,150,408,6,0,SIMPANG BEKOH ,UNDI BIASA
21,139/25/07,SEKOLAH MENENGAH KEBANGSAAN SIMPANG BEKOH,4.0,420,194,62,162,418,2,0,SIMPANG BEKOH ,UNDI BIASA
22,139/25/08,SEKOLAH KEBANGSAAN CHOHONG,1.0,293,62,61,170,293,0,0,CHOHONG ,UNDI BIASA
22,139/25/08,SEKOLAH KEBANGSAAN CHOHONG,2.0,291,84,79,126,289,2,0,CHOHONG ,UNDI BIASA
23,139/25/09,SEKOLAH KEBANGSAAN CHINCHIN,1.0,265,61,18,181,260,5,0,CHINCHIN ,UNDI BIASA
23,139/25/09,SEKOLAH KEBANGSAAN CHINCHIN,2.0,490,164,55,265,484,6,0,CHINCHIN ,UNDI BIASA
23,139/25/09,SEKOLAH KEBANGSAAN CHINCHIN,3.0,478,158,85,229,472,6,0,CHINCHIN ,UNDI BIASA
23,139/25/09,SEKOLAH KEBANGSAAN CHINCHIN,4.0,459,217,83,157,457,2,0,CHINCHIN ,UNDI BIASA
23,139/25/09,SEKOLAH KEBANGSAAN CHINCHIN,5.0,446,217,62,166,445,1,0,CHINCHIN ,UNDI BIASA
24,139/25/10,MAKTAB RENDAH SAINS MARA TUN GHAFAR BABA,1.0,271,70,51,137,258,4,9,SIMPANG KERAYONG ,UNDI BIASA
24,139/25/10,MAKTAB RENDAH SAINS MARA TUN GHAFAR BABA,2.0,501,168,85,245,498,3,0,SIMPANG KERAYONG ,UNDI BIASA
24,139/25/10,MAKTAB RENDAH SAINS MARA TUN GHAFAR BABA,3.0,491,225,75,187,487,4,0,SIMPANG KERAYONG ,UNDI BIASA
24,139/25/10,MAKTAB RENDAH SAINS MARA TUN GHAFAR BABA,4.0,481,220,90,169,479,2,0,SIMPANG KERAYONG ,UNDI BIASA
25,139/26/01,SEKOLAH KEBANGSAAN BUKIT TEMBAKAU,1.0,294,94,54,138,286,8,0,BUKIT TEMBAKAU ,UNDI BIASA
25,139/26/01,SEKOLAH KEBANGSAAN BUKIT TEMBAKAU,2.0,473,148,100,223,471,2,0,BUKIT TEMBAKAU ,UNDI BIASA
25,139/26/01,SEKOLAH KEBANGSAAN BUKIT TEMBAKAU,3.0,454,147,107,195,449,5,0,BUKIT TEMBAKAU ,UNDI BIASA
25,139/26/01,SEKOLAH KEBANGSAAN BUKIT TEMBAKAU,4.0,423,144,100,171,415,8,0,BUKIT TEMBAKAU ,UNDI BIASA
26,139/26/02,SEKOLAH KEBANGSAAN DATUK HAJI BAGINDA,1.0,303,34,75,185,294,9,0,UMBAI ,UNDI BIASA
26,139/26/02,SEKOLAH KEBANGSAAN DATUK HAJI BAGINDA,2.0,539,98,148,278,524,15,0,UMBAI ,UNDI BIASA
26,139/26/02,SEKOLAH KEBANGSAAN DATUK HAJI BAGINDA,3.0,502,152,121,229,502,0,0,UMBAI ,UNDI BIASA
26,139/26/02,SEKOLAH KEBANGSAAN DATUK HAJI BAGINDA,4.0,476,148,113,206,467,9,0,UMBAI ,UNDI BIASA
27,139/26/03,SEKOLAH JENIS KEBANGSAAN (CINA) KUANG HWA,1.0,309,67,55,182,304,5,0,ANJUNG BATU ,UNDI BIASA
27,139/26/03,SEKOLAH JENIS KEBANGSAAN (CINA) KUANG HWA,2.0,612,240,133,233,606,6,0,ANJUNG BATU ,UNDI BIASA
27,139/26/03,SEKOLAH JENIS KEBANGSAAN (CINA) KUANG HWA,3.0,580,241,147,188,576,3,1,ANJUNG BATU ,UNDI BIASA
27,139/26/03,SEKOLAH JENIS KEBANGSAAN (CINA) KUANG HWA,4.0,577,239,141,195,575,2,0,ANJUNG BATU ,UNDI BIASA
28,139/26/04,SEKOLAH MENENGAH ARAB ASSAIYIDAH KHADIJAH,1.0,301,79,41,172,292,9,0,SERKAM DARAT ,UNDI BIASA
28,139/26/04,SEKOLAH MENENGAH ARAB ASSAIYIDAH KHADIJAH,2.0,650,222,157,263,642,4,4,SERKAM DARAT ,UNDI BIASA
28,139/26/04,SEKOLAH MENENGAH ARAB ASSAIYIDAH KHADIJAH,3.0,611,253,128,226,607,4,0,SERKAM DARAT ,UNDI BIASA
28,139/26/04,SEKOLAH MENENGAH ARAB ASSAIYIDAH KHADIJAH,4.0,587,235,152,197,584,3,0,SERKAM DARAT ,UNDI BIASA
29,139/26/05,SEKOLAH KEBANGSAAN PULAI,1.0,305,43,67,191,301,4,0,PULAI ,UNDI BIASA
29,139/26/05,SEKOLAH KEBANGSAAN PULAI,2.0,584,97,198,285,580,4,0,PULAI ,UNDI BIASA
29,139/26/05,SEKOLAH KEBANGSAAN PULAI,3.0,541,161,147,231,539,2,0,PULAI ,UNDI BIASA
29,139/26/05,SEKOLAH KEBANGSAAN PULAI,4.0,531,170,148,209,527,4,0,PULAI ,UNDI BIASA
30,139/26/06,SEKOLAH KEBANGSAAN SERKAM,1.0,288,48,88,139,275,13,0,SERKAM PANTAI ,UNDI BIASA
30,139/26/06,SEKOLAH KEBANGSAAN SERKAM,2.0,476,80,212,178,470,5,1,SERKAM PANTAI ,UNDI BIASA
30,139/26/06,SEKOLAH KEBANGSAAN SERKAM,3.0,448,103,189,155,447,1,0,SERKAM PANTAI ,UNDI BIASA
30,139/26/06,SEKOLAH KEBANGSAAN SERKAM,4.0,414,111,177,125,413,1,0,SERKAM PANTAI ,UNDI BIASA
31,139/26/07,SEKOLAH KEBANGSAAN TEDONG,1.0,302,37,21,232,290,12,0,TEDONG ,UNDI BIASA
31,139/26/07,SEKOLAH KEBANGSAAN TEDONG,2.0,621,114,80,422,616,5,0,TEDONG ,UNDI BIASA
31,139/26/07,SEKOLAH KEBANGSAAN TEDONG,3.0,596,167,90,336,593,3,0,TEDONG ,UNDI BIASA
31,139/26/07,SEKOLAH KEBANGSAAN TEDONG,4.0,591,202,56,326,584,6,1,TEDONG ,UNDI BIASA
32,139/27/01,SEKOLAH JENIS KEBANGSAAN (CINA) JASIN LALANG,1.0,311,154,17,127,298,13,0,AYER MERBAU ,UNDI BIASA
32,139/27/01,SEKOLAH JENIS KEBANGSAAN (CINA) JASIN LALANG,2.0,331,181,38,109,328,3,0,AYER MERBAU ,UNDI BIASA
32,139/27/01,SEKOLAH JENIS KEBANGSAAN (CINA) JASIN LALANG,3.0,300,180,29,82,291,9,0,AYER MERBAU ,UNDI BIASA
33,139/27/02,SEK. REN. AGAMA (JAIM) KAMPUNG AYER MERBAU,1.0,294,120,15,147,282,12,0,JASIN LALANG ,UNDI BIASA
33,139/27/02,SEK. REN. AGAMA (JAIM) KAMPUNG AYER MERBAU,2.0,518,265,44,206,515,3,0,JASIN LALANG ,UNDI BIASA
34,139/27/03,SEKOLAH KEBANGSAAN MERLIMAU 2,1.0,300,141,16,137,294,6,0,MERLIMAU UTARA ,UNDI BIASA
34,139/27/03,SEKOLAH KEBANGSAAN MERLIMAU 2,2.0,406,186,32,184,402,4,0,MERLIMAU UTARA ,UNDI BIASA
35,139/27/04,SEKOLAH KEBANGSAAN MERLIMAU 1,1.0,298,123,18,150,291,7,0,MERLIMAU PASIR ,UNDI BIASA
35,139/27/04,SEKOLAH KEBANGSAAN MERLIMAU 1,2.0,501,253,50,193,496,4,1,MERLIMAU PASIR ,UNDI BIASA
