Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO' SRI MOHD JOHARI BIN BAHARUM,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO' AMIRUDDIN HAMZAH,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) NORHAFIZA BINTI FADZIL,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
9,006/05/06,"SEKOLAH JENIS KEBANGSAAN (CINA) YIT MIN, CHANGLUN",3.0,588,129,342,114,585,3,0,PEKAN BARU CHANGLUN ,UNDI BIASA
9,006/05/06,"SEKOLAH JENIS KEBANGSAAN (CINA) YIT MIN, CHANGLUN",4.0,563,101,354,104,559,4,0,PEKAN BARU CHANGLUN ,UNDI BIASA
9,006/05/06,"SEKOLAH JENIS KEBANGSAAN (CINA) YIT MIN, CHANGLUN",5.0,535,81,324,128,533,2,0,PEKAN BARU CHANGLUN ,UNDI BIASA
10,006/05/07,"SEKOLAH JENIS KEBANGSAAN (TAMIL) CHANGLUN, CHANGLUN",1.0,260,54,174,27,255,5,0,PEKAN LAMA CHANGLUN ,UNDI BIASA
11,006/05/08,"SEKOLAH KEBANGSAAN BANDAR BARU SINTOK, SINTOK",1.0,282,99,102,70,271,11,0,SINTOK ,UNDI BIASA
11,006/05/08,"SEKOLAH KEBANGSAAN BANDAR BARU SINTOK, SINTOK",2.0,448,138,185,118,441,7,0,SINTOK ,UNDI BIASA
11,006/05/08,"SEKOLAH KEBANGSAAN BANDAR BARU SINTOK, SINTOK",3.0,389,102,185,101,388,1,0,SINTOK ,UNDI BIASA
11,006/05/08,"SEKOLAH KEBANGSAAN BANDAR BARU SINTOK, SINTOK",4.0,388,68,180,139,387,1,0,SINTOK ,UNDI BIASA
12,006/05/09,"SEKOLAH MENENGAH KEBANGSAAN CHANGLUN, CHANGLUN",1.0,277,131,64,61,256,21,0,KAMPUNG DARAT ,UNDI BIASA
12,006/05/09,"SEKOLAH MENENGAH KEBANGSAAN CHANGLUN, CHANGLUN",2.0,501,182,186,111,479,22,0,KAMPUNG DARAT ,UNDI BIASA
12,006/05/09,"SEKOLAH MENENGAH KEBANGSAAN CHANGLUN, CHANGLUN",3.0,444,128,165,148,441,3,0,KAMPUNG DARAT ,UNDI BIASA
12,006/05/09,"SEKOLAH MENENGAH KEBANGSAAN CHANGLUN, CHANGLUN",4.0,417,75,223,117,415,2,0,KAMPUNG DARAT ,UNDI BIASA
13,006/05/10,"SEKOLAH MENENGAH KEBANGSAAN HOSBA, CHANGLUN",1.0,301,151,26,113,290,11,0,KUBANG PASU ,UNDI BIASA
13,006/05/10,"SEKOLAH MENENGAH KEBANGSAAN HOSBA, CHANGLUN",2.0,474,132,254,85,471,3,0,KUBANG PASU ,UNDI BIASA
14,006/05/11,"SEKOLAH KEBANGSAAN GUAR NAPAI, KODIANG",1.0,451,171,213,60,444,7,0,GUAR NAPAI ,UNDI BIASA
15,006/05/12,"SEKOLAH KEBANGSAAN HOSBA, JITRA",1.0,301,125,121,48,294,7,0,HUSBA ,UNDI BIASA
15,006/05/12,"SEKOLAH KEBANGSAAN HOSBA, JITRA",2.0,449,121,246,78,445,3,1,HUSBA ,UNDI BIASA
16,006/05/13,"SEKOLAH KEBANGSAAN HOSBA, JITRA",3.0,350,116,102,49,267,4,79,KAMPUNG NAPOH ,UNDI BIASA
16,006/05/13,"SEKOLAH KEBANGSAAN HOSBA, JITRA",4.0,545,199,252,84,535,10,0,KAMPUNG NAPOH ,UNDI BIASA
16,006/05/13,"SEKOLAH KEBANGSAAN HOSBA, JITRA",5.0,464,119,230,110,459,4,1,KAMPUNG NAPOH ,UNDI BIASA
17,006/05/14,PERTUBUHAN PELADANG KAWASAN ASUN,1.0,296,118,80,91,289,7,0,BINJAL ,UNDI BIASA
17,006/05/14,PERTUBUHAN PELADANG KAWASAN ASUN,2.0,430,141,162,120,423,7,0,BINJAL ,UNDI BIASA
17,006/05/14,PERTUBUHAN PELADANG KAWASAN ASUN,3.0,404,77,177,142,396,8,0,BINJAL ,UNDI BIASA
18,006/05/15,"SEKOLAH KEBANGSAAN GELONG, JITRA",1.0,308,115,155,34,304,4,0,KAMPUNG BEMBAN ,UNDI BIASA
18,006/05/15,"SEKOLAH KEBANGSAAN GELONG, JITRA",2.0,503,108,281,109,498,5,0,KAMPUNG BEMBAN ,UNDI BIASA
19,006/05/16,"SEKOLAH MENENGAH KEBANGSAAN PULAU NYIOR, JITRA",1.0,295,125,86,77,288,7,0,PULAU PISANG ,UNDI BIASA
19,006/05/16,"SEKOLAH MENENGAH KEBANGSAAN PULAU NYIOR, JITRA",2.0,445,130,201,110,441,4,0,PULAU PISANG ,UNDI BIASA
19,006/05/16,"SEKOLAH MENENGAH KEBANGSAAN PULAU NYIOR, JITRA",3.0,406,85,197,118,400,6,0,PULAU PISANG ,UNDI BIASA
20,006/05/17,"SEKOLAH KEBANGSAAN TUNJANG, JITRA",1.0,273,83,159,24,266,7,0,PEKAN TUNJANG ,UNDI BIASA
20,006/05/17,"SEKOLAH KEBANGSAAN TUNJANG, JITRA",2.0,429,100,283,38,421,8,0,PEKAN TUNJANG ,UNDI BIASA
20,006/05/17,"SEKOLAH KEBANGSAAN TUNJANG, JITRA",3.0,382,83,245,52,380,2,0,PEKAN TUNJANG ,UNDI BIASA
21,006/05/18,"SEKOLAH KEBANGSAAN HAKIM TEH, PULAU TIMBUL",1.0,257,88,95,62,245,12,0,PULAU TIMBOL ,UNDI BIASA
21,006/05/18,"SEKOLAH KEBANGSAAN HAKIM TEH, PULAU TIMBUL",2.0,593,170,269,147,586,6,1,PULAU TIMBOL ,UNDI BIASA
21,006/05/18,"SEKOLAH KEBANGSAAN HAKIM TEH, PULAU TIMBUL",3.0,550,119,257,173,549,1,0,PULAU TIMBOL ,UNDI BIASA
22,006/05/19,BANGUNAN PERSATUAN PELADANG (MADA) D-11 TUNJANG,1.0,293,73,61,145,279,14,0,PADANG LIMAU ,UNDI BIASA
22,006/05/19,BANGUNAN PERSATUAN PELADANG (MADA) D-11 TUNJANG,2.0,419,83,142,188,413,6,0,PADANG LIMAU ,UNDI BIASA
22,006/05/19,BANGUNAN PERSATUAN PELADANG (MADA) D-11 TUNJANG,3.0,386,62,153,168,383,3,0,PADANG LIMAU ,UNDI BIASA
23,006/05/20,"SEKOLAH KEBANGSAAN PULAU NYIOR, JITRA",1.0,283,118,90,67,275,8,0,PULAU NYIOR ,UNDI BIASA
23,006/05/20,"SEKOLAH KEBANGSAAN PULAU NYIOR, JITRA",2.0,547,167,282,96,545,2,0,PULAU NYIOR ,UNDI BIASA
23,006/05/20,"SEKOLAH KEBANGSAAN PULAU NYIOR, JITRA",3.0,500,111,265,122,498,2,0,PULAU NYIOR ,UNDI BIASA
24,006/05/21,"SEKOLAH MENENGAH KEBANGSAAN PULAU NYIOR, JITRA",4.0,301,106,132,61,299,2,0,KAMPUNG PULAU KETAM ,UNDI BIASA
24,006/05/21,"SEKOLAH MENENGAH KEBANGSAAN PULAU NYIOR, JITRA",5.0,431,115,225,91,431,0,0,KAMPUNG PULAU KETAM ,UNDI BIASA
25,006/05/22,"SEKOLAH JENIS KEBANGSAAN. (CINA) HWA MIN, TUNJANG",1.0,289,97,70,108,275,14,0,GELONG RAMBAI ,UNDI BIASA
25,006/05/22,"SEKOLAH JENIS KEBANGSAAN. (CINA) HWA MIN, TUNJANG",2.0,339,103,115,116,334,5,0,GELONG RAMBAI ,UNDI BIASA
25,006/05/22,"SEKOLAH JENIS KEBANGSAAN. (CINA) HWA MIN, TUNJANG",3.0,318,67,136,108,311,7,0,GELONG RAMBAI ,UNDI BIASA
26,006/06/01,"SEKOLAH JENIS KEBANGSAAN (TAMIL) PAYA KEMUNTING, JITRA",1.0,284,96,131,47,274,10,0,PAYA KEMUNTING ,UNDI BIASA
26,006/06/01,"SEKOLAH JENIS KEBANGSAAN (TAMIL) PAYA KEMUNTING, JITRA",2.0,580,168,290,115,573,7,0,PAYA KEMUNTING ,UNDI BIASA
26,006/06/01,"SEKOLAH JENIS KEBANGSAAN (TAMIL) PAYA KEMUNTING, JITRA",3.0,478,90,281,104,475,3,0,PAYA KEMUNTING ,UNDI BIASA
27,006/06/02,"SEKOLAH KEBANGSAAN BINJAL, JITRA",1.0,294,126,81,79,286,8,0,KAMPUNG KULUANG ,UNDI BIASA
27,006/06/02,"SEKOLAH KEBANGSAAN BINJAL, JITRA",2.0,314,87,130,90,307,7,0,KAMPUNG KULUANG ,UNDI BIASA
27,006/06/02,"SEKOLAH KEBANGSAAN BINJAL, JITRA",3.0,281,53,125,102,280,1,0,KAMPUNG KULUANG ,UNDI BIASA
28,006/06/03,"SEKOLAH KEBANGSAAN MALAU, JITRA",1.0,311,130,96,70,296,15,0,MALAU ,UNDI BIASA
28,006/06/03,"SEKOLAH KEBANGSAAN MALAU, JITRA",2.0,318,107,138,68,313,5,0,MALAU ,UNDI BIASA
28,006/06/03,"SEKOLAH KEBANGSAAN MALAU, JITRA",3.0,310,83,161,60,304,6,0,MALAU ,UNDI BIASA
29,006/06/04,"SEKOLAH KEBANGSAAN MALAU, JITRA",4.0,311,147,103,57,307,4,0,PADANG PANJANG ,UNDI BIASA
29,006/06/04,"SEKOLAH KEBANGSAAN MALAU, JITRA",5.0,480,159,201,117,477,3,0,PADANG PANJANG ,UNDI BIASA
29,006/06/04,"SEKOLAH KEBANGSAAN MALAU, JITRA",6.0,427,93,218,112,423,4,0,PADANG PANJANG ,UNDI BIASA
30,006/06/05,"SEKOLAH KEBANGSAAN PENGHULU HJ DARUS, WANG TEPUS",1.0,317,158,85,68,311,6,0,WANG TEPUS ,UNDI BIASA
30,006/06/05,"SEKOLAH KEBANGSAAN PENGHULU HJ DARUS, WANG TEPUS",2.0,395,147,161,83,391,4,0,WANG TEPUS ,UNDI BIASA
30,006/06/05,"SEKOLAH KEBANGSAAN PENGHULU HJ DARUS, WANG TEPUS",3.0,352,93,188,69,350,2,0,WANG TEPUS ,UNDI BIASA
31,006/06/06,"SEKOLAH KEBANGSAAN JITRA, JITRA",1.0,268,70,169,21,260,8,0,TAMAN JITRA JAYA ,UNDI BIASA
31,006/06/06,"SEKOLAH KEBANGSAAN JITRA, JITRA",2.0,585,85,434,60,579,6,0,TAMAN JITRA JAYA ,UNDI BIASA
31,006/06/06,"SEKOLAH KEBANGSAAN JITRA, JITRA",3.0,506,55,379,68,502,4,0,TAMAN JITRA JAYA ,UNDI BIASA
32,006/06/07,"SEKOLAH JENIS KEBANGSAAN (CINA) CHUNG HWA, JITRA",1.0,278,84,141,52,277,1,0,TAMAN RASA SAYANG ,UNDI BIASA
32,006/06/07,"SEKOLAH JENIS KEBANGSAAN (CINA) CHUNG HWA, JITRA",2.0,461,80,312,68,460,1,0,TAMAN RASA SAYANG ,UNDI BIASA
32,006/06/07,"SEKOLAH JENIS KEBANGSAAN (CINA) CHUNG HWA, JITRA",3.0,428,72,282,74,428,0,0,TAMAN RASA SAYANG ,UNDI BIASA
33,006/06/08,"SEKOLAH KEBANGSAAN SULTAN AHMAD TAJUDDIN, JITRA",1.0,277,103,147,24,274,3,0,TAMAN PASU ,UNDI BIASA
33,006/06/08,"SEKOLAH KEBANGSAAN SULTAN AHMAD TAJUDDIN, JITRA",2.0,506,122,334,45,501,5,0,TAMAN PASU ,UNDI BIASA
33,006/06/08,"SEKOLAH KEBANGSAAN SULTAN AHMAD TAJUDDIN, JITRA",3.0,471,99,295,75,469,2,0,TAMAN PASU ,UNDI BIASA
33,006/06/08,"SEKOLAH KEBANGSAAN SULTAN AHMAD TAJUDDIN, JITRA",4.0,454,83,297,72,452,2,0,TAMAN PASU ,UNDI BIASA
33,006/06/08,"SEKOLAH KEBANGSAAN SULTAN AHMAD TAJUDDIN, JITRA",5.0,468,54,345,67,466,2,0,TAMAN PASU ,UNDI BIASA
34,006/06/09,"SEKOLAH KEBANGSAAN JITRA 3, JITRA",1.0,267,102,131,34,267,0,0,KAMPUNG TELOK NIBONG ,UNDI BIASA
34,006/06/09,"SEKOLAH KEBANGSAAN JITRA 3, JITRA",2.0,542,111,333,91,535,7,0,KAMPUNG TELOK NIBONG ,UNDI BIASA
34,006/06/09,"SEKOLAH KEBANGSAAN JITRA 3, JITRA",3.0,496,124,272,99,495,1,0,KAMPUNG TELOK NIBONG ,UNDI BIASA
34,006/06/09,"SEKOLAH KEBANGSAAN JITRA 3, JITRA",4.0,451,64,302,85,451,0,0,KAMPUNG TELOK NIBONG ,UNDI BIASA
34,006/06/09,"SEKOLAH KEBANGSAAN JITRA 3, JITRA",5.0,474,49,302,121,472,2,0,KAMPUNG TELOK NIBONG ,UNDI BIASA
35,006/06/10,"SEKOLAH MENENGAH KEBANGSAAN PAYA KEMUNTING, JITRA",1.0,269,100,129,37,266,3,0,KAMPUNG BATU 13 ,UNDI BIASA
35,006/06/10,"SEKOLAH MENENGAH KEBANGSAAN PAYA KEMUNTING, JITRA",2.0,504,104,318,80,502,2,0,KAMPUNG BATU 13 ,UNDI BIASA
36,006/06/11,"SEKOLAH MENENGAH KEBANGSAAN JITRA, JITRA",1.0,290,80,178,30,288,2,0,TAMAN JITRA ,UNDI BIASA
36,006/06/11,"SEKOLAH MENENGAH KEBANGSAAN JITRA, JITRA",2.0,496,81,350,58,489,6,1,TAMAN JITRA ,UNDI BIASA
36,006/06/11,"SEKOLAH MENENGAH KEBANGSAAN JITRA, JITRA",3.0,466,57,345,62,464,2,0,TAMAN JITRA ,UNDI BIASA
36,006/06/11,"SEKOLAH MENENGAH KEBANGSAAN JITRA, JITRA",4.0,450,35,333,80,448,2,0,TAMAN JITRA ,UNDI BIASA
37,006/06/12,"SEKOLAH KEBANGSAAN BANDAR BARU DARULAMAN, JITRA",1.0,285,108,126,47,281,4,0,PANTAI HALBAN ,UNDI BIASA
37,006/06/12,"SEKOLAH KEBANGSAAN BANDAR BARU DARULAMAN, JITRA",2.0,518,135,304,79,518,0,0,PANTAI HALBAN ,UNDI BIASA
37,006/06/12,"SEKOLAH KEBANGSAAN BANDAR BARU DARULAMAN, JITRA",3.0,499,87,341,67,495,4,0,PANTAI HALBAN ,UNDI BIASA
37,006/06/12,"SEKOLAH KEBANGSAAN BANDAR BARU DARULAMAN, JITRA",4.0,434,65,313,56,434,0,0,PANTAI HALBAN ,UNDI BIASA
37,006/06/12,"SEKOLAH KEBANGSAAN BANDAR BARU DARULAMAN, JITRA",5.0,438,52,310,76,438,0,0,PANTAI HALBAN ,UNDI BIASA
37,006/06/12,"SEKOLAH KEBANGSAAN BANDAR BARU DARULAMAN, JITRA",6.0,472,45,338,86,469,3,0,PANTAI HALBAN ,UNDI BIASA
38,006/06/13,"SEKOLAH KEBANGSAAN JITRA 2, JITRA",1.0,260,164,55,39,258,2,0,KAMPUNG TOK KESOP ,UNDI BIASA
38,006/06/13,"SEKOLAH KEBANGSAAN JITRA 2, JITRA",2.0,459,99,292,67,458,1,0,KAMPUNG TOK KESOP ,UNDI BIASA
38,006/06/13,"SEKOLAH KEBANGSAAN JITRA 2, JITRA",3.0,423,56,264,102,422,1,0,KAMPUNG TOK KESOP ,UNDI BIASA
39,006/06/14,"SEKOLAH MENENGAH KEBANGSAAN TANJUNG PAUH, JITRA",1.0,247,85,106,52,243,4,0,TANAH MERAH ,UNDI BIASA
39,006/06/14,"SEKOLAH MENENGAH KEBANGSAAN TANJUNG PAUH, JITRA",2.0,601,164,277,155,596,5,0,TANAH MERAH ,UNDI BIASA
39,006/06/14,"SEKOLAH MENENGAH KEBANGSAAN TANJUNG PAUH, JITRA",3.0,551,94,280,176,550,1,0,TANAH MERAH ,UNDI BIASA
39,006/06/14,"SEKOLAH MENENGAH KEBANGSAAN TANJUNG PAUH, JITRA",4.0,529,88,241,197,526,3,0,TANAH MERAH ,UNDI BIASA
40,006/06/15,"SEKOLAH KEBANGSAAN TELOK MALEK, JITRA",1.0,306,128,91,81,300,6,0,KAMPUNG TELOK MALIK ,UNDI BIASA
40,006/06/15,"SEKOLAH KEBANGSAAN TELOK MALEK, JITRA",2.0,485,136,192,155,483,2,0,KAMPUNG TELOK MALIK ,UNDI BIASA
40,006/06/15,"SEKOLAH KEBANGSAAN TELOK MALEK, JITRA",3.0,447,126,193,128,447,0,0,KAMPUNG TELOK MALIK ,UNDI BIASA
41,006/06/16,"SEKOLAH KEBANGSAAN PADANG PEKAN, JITRA",1.0,306,115,83,104,302,4,0,KAMPUNG NAGA ,UNDI BIASA
41,006/06/16,"SEKOLAH KEBANGSAAN PADANG PEKAN, JITRA",2.0,598,151,254,188,593,5,0,KAMPUNG NAGA ,UNDI BIASA
41,006/06/16,"SEKOLAH KEBANGSAAN PADANG PEKAN, JITRA",3.0,519,122,227,166,515,4,0,KAMPUNG NAGA ,UNDI BIASA
42,006/06/17,"SEKOLAH MENENGAH SULTAN ABDUL HALIM, JITRA",1.0,350,90,107,107,304,4,42,LUBUK KAWAH ,UNDI BIASA
42,006/06/17,"SEKOLAH MENENGAH SULTAN ABDUL HALIM, JITRA",2.0,341,73,127,141,341,0,0,LUBUK KAWAH ,UNDI BIASA
42,006/06/17,"SEKOLAH MENENGAH SULTAN ABDUL HALIM, JITRA",3.0,334,49,158,126,333,1,0,LUBUK KAWAH ,UNDI BIASA
43,006/06/18,"SEKOLAH MENENGAH KEBANGSAAN BANDAR BARU DARULAMAN, JITRA",1.0,284,92,132,58,282,2,0,TAMAN MAHSURI ,UNDI BIASA
43,006/06/18,"SEKOLAH MENENGAH KEBANGSAAN BANDAR BARU DARULAMAN, JITRA",2.0,515,117,287,107,511,4,0,TAMAN MAHSURI ,UNDI BIASA
43,006/06/18,"SEKOLAH MENENGAH KEBANGSAAN BANDAR BARU DARULAMAN, JITRA",3.0,446,72,278,96,446,0,0,TAMAN MAHSURI ,UNDI BIASA
43,006/06/18,"SEKOLAH MENENGAH KEBANGSAAN BANDAR BARU DARULAMAN, JITRA",4.0,434,65,313,56,434,0,0,TAMAN MAHSURI ,UNDI BIASA
43,006/06/18,"SEKOLAH MENENGAH KEBANGSAAN BANDAR BARU DARULAMAN, JITRA",5.0,473,55,290,128,473,0,0,TAMAN MAHSURI ,UNDI BIASA
44,006/06/19,"SEKOLAH MENENGAH KEBANGSAAN TUNKU ANUM TUNKU ABDUL RAHMAN, JITRA",1.0,310,109,116,78,303,7,0,ALOR RAMBAI ,UNDI BIASA
44,006/06/19,"SEKOLAH MENENGAH KEBANGSAAN TUNKU ANUM TUNKU ABDUL RAHMAN, JITRA",2.0,467,92,257,114,463,4,0,ALOR RAMBAI ,UNDI BIASA
44,006/06/19,"SEKOLAH MENENGAH KEBANGSAAN TUNKU ANUM TUNKU ABDUL RAHMAN, JITRA",3.0,426,80,229,115,424,2,0,ALOR RAMBAI ,UNDI BIASA
45,006/06/20,"SEKOLAH KEBANGSAAN SERI BANAI, JITRA",1.0,290,109,84,79,272,18,0,LUBOK BATU ,UNDI BIASA
45,006/06/20,"SEKOLAH KEBANGSAAN SERI BANAI, JITRA",2.0,547,183,242,117,542,5,0,LUBOK BATU ,UNDI BIASA
45,006/06/20,"SEKOLAH KEBANGSAAN SERI BANAI, JITRA",3.0,513,96,278,139,513,0,0,LUBOK BATU ,UNDI BIASA
45,006/06/20,"SEKOLAH KEBANGSAAN SERI BANAI, JITRA",4.0,466,72,252,137,461,5,0,LUBOK BATU ,UNDI BIASA
45,006/06/20,"SEKOLAH KEBANGSAAN SERI BANAI, JITRA",5.0,453,64,278,109,451,2,0,LUBOK BATU ,UNDI BIASA
46,006/06/21,"SEKOLAH KEBANGSAAN BUKIT TINGGI, KEPALA BATAS",1.0,301,127,112,55,294,7,0,BUKIT TINGGI ,UNDI BIASA
46,006/06/21,"SEKOLAH KEBANGSAAN BUKIT TINGGI, KEPALA BATAS",2.0,492,127,249,114,490,2,0,BUKIT TINGGI ,UNDI BIASA
46,006/06/21,"SEKOLAH KEBANGSAAN BUKIT TINGGI, KEPALA BATAS",3.0,462,95,257,109,461,1,0,BUKIT TINGGI ,UNDI BIASA
47,006/06/22,"SEKOLAH KEBANGSAAN KEPALA BATAS, KEPALA BATAS",1.0,274,91,122,58,271,3,0,KEPALA BATAS ,UNDI BIASA
47,006/06/22,"SEKOLAH KEBANGSAAN KEPALA BATAS, KEPALA BATAS",2.0,548,137,259,144,540,7,1,KEPALA BATAS ,UNDI BIASA
47,006/06/22,"SEKOLAH KEBANGSAAN KEPALA BATAS, KEPALA BATAS",3.0,482,65,242,173,480,2,0,KEPALA BATAS ,UNDI BIASA
