Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) NOR SAIDI BIN NANYAN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) MAZLAN BIN AHMAD,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) MOHAMAD RATU B. MANSOR.,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) MOHD FIRDAUS BIN AHMAD,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
1,UNDI POS,,,381,129,58,1,91,279,58,44,UNDI POS,UNDI POS
2,004/02/00,"PUSAT LATIHAN POLIS (PULAPOL), PANTAI CHENANG",1.0,359,263,31,0,45,339,20,0,UNDI AWAL ,UNDI AWAL
2,004/02/00,"DEWAN TUN RAHAH, TENTERA LAUT DIRAJA MALAYSIA",1.0,391,122,128,0,133,383,8,0,UNDI AWAL ,UNDI AWAL
3,004/02/01,"SEKOLAH KEBANGSAAN SERI NEGERI, LANGKAWI",1.0,268,83,52,0,125,260,8,0,BENDANG BARU ,UNDI BIASA
3,004/02/01,"SEKOLAH KEBANGSAAN SERI NEGERI, LANGKAWI",2.0,335,76,47,2,209,334,1,0,BENDANG BARU ,UNDI BIASA
3,004/02/01,"SEKOLAH KEBANGSAAN SERI NEGERI, LANGKAWI",3.0,290,60,69,1,157,287,3,0,BENDANG BARU ,UNDI BIASA
4,004/02/02,"SEKOLAH MENENGAH KEBANGSAAN KEDAWANG, LANGKAWI",1.0,304,159,64,0,79,302,2,0,KAMPUNG GELAM ,UNDI BIASA
4,004/02/02,"SEKOLAH MENENGAH KEBANGSAAN KEDAWANG, LANGKAWI",2.0,370,107,119,2,139,367,3,0,KAMPUNG GELAM ,UNDI BIASA
4,004/02/02,"SEKOLAH MENENGAH KEBANGSAAN KEDAWANG, LANGKAWI",3.0,331,102,89,0,138,329,2,0,KAMPUNG GELAM ,UNDI BIASA
5,004/02/03,"SEKOLAH KEBANGSAAN KEDAWANG, LANGKAWI",1.0,310,141,44,2,117,304,6,0,KEDAWANG ,UNDI BIASA
5,004/02/03,"SEKOLAH KEBANGSAAN KEDAWANG, LANGKAWI",2.0,396,139,72,1,180,392,4,0,KEDAWANG ,UNDI BIASA
5,004/02/03,"SEKOLAH KEBANGSAAN KEDAWANG, LANGKAWI",3.0,361,93,81,1,184,359,2,0,KEDAWANG ,UNDI BIASA
6,004/02/04,"LANGKAWI LANGKAWI TOURISM ACADEMY @ KOLEJ KOMUNITI LANGKAWI, JALAN PANTAI CHENANG,",1.0,297,129,67,1,87,284,13,0,PANTAI CHENANG ,UNDI BIASA
6,004/02/04,"LANGKAWI LANGKAWI TOURISM ACADEMY @ KOLEJ KOMUNITI LANGKAWI, JALAN PANTAI CHENANG,",2.0,503,108,183,0,208,499,4,0,PANTAI CHENANG ,UNDI BIASA
6,004/02/04,"LANGKAWI LANGKAWI TOURISM ACADEMY @ KOLEJ KOMUNITI LANGKAWI, JALAN PANTAI CHENANG,",3.0,460,106,147,1,204,458,2,0,PANTAI CHENANG ,UNDI BIASA
7,004/02/05,"SEKOLAH KEBANGSAAN TEMONYONG, LANGKAWI",1.0,312,151,59,1,85,296,16,0,TEMONYONG ,UNDI BIASA
7,004/02/05,"SEKOLAH KEBANGSAAN TEMONYONG, LANGKAWI",2.0,361,123,106,0,128,357,4,0,TEMONYONG ,UNDI BIASA
7,004/02/05,"SEKOLAH KEBANGSAAN TEMONYONG, LANGKAWI",3.0,321,80,101,1,136,318,3,0,TEMONYONG ,UNDI BIASA
8,004/02/06,"SEKOLAH KEBANGSAAN BAYAS, LANGKAWI",1.0,288,112,47,1,121,281,7,0,KAMPUNG BAYAS ,UNDI BIASA
8,004/02/06,"SEKOLAH KEBANGSAAN BAYAS, LANGKAWI",2.0,363,108,89,0,161,358,5,0,KAMPUNG BAYAS ,UNDI BIASA
8,004/02/06,"SEKOLAH KEBANGSAAN BAYAS, LANGKAWI",3.0,329,78,89,0,161,328,1,0,KAMPUNG BAYAS ,UNDI BIASA
9,004/02/07,KOLEJ VOKASIONAL PULAU LANGKAWI,1.0,285,91,16,0,165,272,13,0,SUNGAI MENGHULU ,UNDI BIASA
9,004/02/07,KOLEJ VOKASIONAL PULAU LANGKAWI,2.0,482,109,26,2,339,476,6,0,SUNGAI MENGHULU ,UNDI BIASA
9,004/02/07,KOLEJ VOKASIONAL PULAU LANGKAWI,3.0,462,78,34,2,347,461,1,0,SUNGAI MENGHULU ,UNDI BIASA
9,004/02/07,KOLEJ VOKASIONAL PULAU LANGKAWI,4.0,433,77,34,2,319,432,1,0,SUNGAI MENGHULU ,UNDI BIASA
9,004/02/07,KOLEJ VOKASIONAL PULAU LANGKAWI,5.0,438,82,35,0,318,435,3,0,SUNGAI MENGHULU ,UNDI BIASA
10,004/02/08,"SEKOLAH KEBANGSAAN KELIBANG, LANGKAWI",1.0,279,91,20,4,143,258,21,0,KELIBANG ,UNDI BIASA
10,004/02/08,"SEKOLAH KEBANGSAAN KELIBANG, LANGKAWI",2.0,539,177,56,0,302,535,4,0,KELIBANG ,UNDI BIASA
10,004/02/08,"SEKOLAH KEBANGSAAN KELIBANG, LANGKAWI",3.0,501,153,67,4,267,491,10,0,KELIBANG ,UNDI BIASA
10,004/02/08,"SEKOLAH KEBANGSAAN KELIBANG, LANGKAWI",4.0,485,168,63,1,247,479,6,0,KELIBANG ,UNDI BIASA
11,004/02/09,"SEKOLAH MENENGAH KEBANGSAAN MAHSURI, LANGKAWI",1.0,279,103,11,1,158,273,6,0,DUNDONG ,UNDI BIASA
11,004/02/09,"SEKOLAH MENENGAH KEBANGSAAN MAHSURI, LANGKAWI",2.0,496,134,49,2,310,495,1,0,DUNDONG ,UNDI BIASA
11,004/02/09,"SEKOLAH MENENGAH KEBANGSAAN MAHSURI, LANGKAWI",3.0,423,112,65,0,245,422,1,0,DUNDONG ,UNDI BIASA
12,004/02/10,"SEKOLAH KEBANGSAAN SELAT BAGAN NYIOR, LANGKAWI",1.0,334,220,16,5,87,328,6,0,PULAU DAYANG BUNTING ,UNDI BIASA
13,004/02/11,"SEKOLAH KEBANGSAAN LUBUK CHEMPEDAK, LANGKAWI",1.0,400,259,12,16,103,390,10,0,LUBOK CHEMPEDAK ,UNDI BIASA
14,004/02/12,"SEKOLAH KEBANGSAAN PULAU TUBA, LANGKAWI",1.0,319,206,6,0,100,312,7,0,KAMPUNG TUBA ,UNDI BIASA
14,004/02/12,"SEKOLAH KEBANGSAAN PULAU TUBA, LANGKAWI",2.0,616,293,27,10,279,609,6,1,KAMPUNG TUBA ,UNDI BIASA
15,004/02/13,"SEKOLAH KEBANGSAAN LANGKAWI, LANGKAWI",1.0,246,90,35,1,118,244,2,0,KUAH ,UNDI BIASA
15,004/02/13,"SEKOLAH KEBANGSAAN LANGKAWI, LANGKAWI",2.0,514,148,71,2,284,505,9,0,KUAH ,UNDI BIASA
15,004/02/13,"SEKOLAH KEBANGSAAN LANGKAWI, LANGKAWI",3.0,516,99,94,7,314,514,2,0,KUAH ,UNDI BIASA
15,004/02/13,"SEKOLAH KEBANGSAAN LANGKAWI, LANGKAWI",4.0,475,96,92,3,283,474,0,1,KUAH ,UNDI BIASA
15,004/02/13,"SEKOLAH KEBANGSAAN LANGKAWI, LANGKAWI",5.0,461,110,71,2,276,459,2,0,KUAH ,UNDI BIASA
16,004/02/14,"SEKOLAH KEBANGSAAN BAYAS, LANGKAWI",4.0,269,124,13,1,91,229,40,0,KAMPUNG BUKIT MALUT ,UNDI BIASA
16,004/02/14,"SEKOLAH KEBANGSAAN BAYAS, LANGKAWI",5.0,362,173,6,3,167,349,13,0,KAMPUNG BUKIT MALUT ,UNDI BIASA
16,004/02/14,"SEKOLAH KEBANGSAAN BAYAS, LANGKAWI",6.0,326,162,24,3,126,315,11,0,KAMPUNG BUKIT MALUT ,UNDI BIASA
