Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi(A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DATUK SERI TAKIYUDDIN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DR HAFIDZAH,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) HJ. ROSMADI ISMAIL,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) ANDY TAN @ AWANG,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) PROF. DATO DR CHE MUSA CHE OMAR,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) IZAT BUKHARY,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi(D)
1,UNDI POS,,,2183,878,340,545,2,10,2,1777,123,283
2,UNDI AWAL 021/09/00,TASKA IBU PEJABAT POLIS KONTINJEN KELANTAN,1,392,158,21,207,0,1,1,388,4,0
2,UNDI AWAL 021/09/00,TASKA IBU PEJABAT POLIS KONTINJEN KELANTAN,2,387,169,15,198,0,3,0,385,2,0
3,WAKAF MEK ZAINAB 021/08/01,SEKOLAH KEBANGSAAN TENGKU INDERA PETRA,1,268,137,63,60,2,2,0,264,4,0
3,WAKAF MEK ZAINAB 021/08/01,SEKOLAH KEBANGSAAN TENGKU INDERA PETRA,2,324,163,81,73,1,2,1,321,3,0
3,WAKAF MEK ZAINAB 021/08/01,SEKOLAH KEBANGSAAN TENGKU INDERA PETRA,3,480,254,105,110,2,1,0,472,8,0
3,WAKAF MEK ZAINAB 021/08/01,SEKOLAH KEBANGSAAN TENGKU INDERA PETRA,4,386,211,92,80,0,2,1,386,0,0
3,WAKAF MEK ZAINAB 021/08/01,SEKOLAH KEBANGSAAN TENGKU INDERA PETRA,5,389,221,76,84,0,5,1,387,2,0
3,WAKAF MEK ZAINAB 021/08/01,SEKOLAH KEBANGSAAN TENGKU INDERA PETRA,6,392,199,93,91,1,3,2,389,3,0
3,WAKAF MEK ZAINAB 021/08/01,SEKOLAH KEBANGSAAN TENGKU INDERA PETRA,7,376,225,88,59,1,1,1,375,1,0
3,WAKAF MEK ZAINAB 021/08/01,SEKOLAH KEBANGSAAN TENGKU INDERA PETRA,8,418,238,97,76,2,2,1,416,2,0
3,WAKAF MEK ZAINAB 021/08/01,SEKOLAH KEBANGSAAN TENGKU INDERA PETRA,9,479,289,99,81,0,6,0,475,4,0
4,TANJONG CHAT 021/08/02,SEKOLAH KEBANGSAAN PADANG GARONG 2,1,291,144,70,68,1,6,0,289,2,0
4,TANJONG CHAT 021/08/02,SEKOLAH KEBANGSAAN PADANG GARONG 2,2,311,147,87,75,0,0,0,309,2,0
4,TANJONG CHAT 021/08/02,SEKOLAH KEBANGSAAN PADANG GARONG 2,3,308,147,87,64,2,4,0,304,4,0
"HELAIAN MATA (SCORE SHEET)                                                        (BORANG SPR 760 Pin. 1/99) BAHAGIAN PILIHAN RAYA NEGERI: P.021 KOTA BHARU
JUMLAH PEMILIH: 115,450                                                                                                                                                                                             MUKASURAT: 2/12",TANJONG CHAT 021/08/02,SEKOLAH KEBANGSAAN PADANG GARONG 2,3,308,147,87,64,2,4,0,304,4,0
Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),"Jumlah kertas undi yang patut berada di dalam peti undi
(A)","Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding
(B)",87,64,2,4,0,304,Bilangan kertas undi yang ditolak (C),"Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi
(D)"
Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),"Jumlah kertas undi yang patut berada di dalam peti undi
(A)",DATUK SERI TAKIYUDDIN,DR HAFIDZAH,HJ. ROSMADI ISMAIL,ANDY TAN @ AWANG,PROF. DATO DR CHE MUSA CHE OMAR,IZAT BUKHARY,Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),"Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi
(D)"
5,SUNGAI KELADI 021/08/03,SEKOLAH MENENGAH KEBANGSAAN PUTERA,1,320,201,39,74,1,1,0,316,4,0
5,SUNGAI KELADI 021/08/03,SEKOLAH MENENGAH KEBANGSAAN PUTERA,2,358,199,50,103,0,1,0,353,5,0
5,SUNGAI KELADI 021/08/03,SEKOLAH MENENGAH KEBANGSAAN PUTERA,3,333,212,34,83,0,3,0,332,1,0
5,SUNGAI KELADI 021/08/03,SEKOLAH MENENGAH KEBANGSAAN PUTERA,4,403,229,55,117,1,0,0,402,1,0
6,KOK PASIR 021/08/04,SEKOLAH MENENGAH KEBANGSAAN TANJUNG MAS,1,280,151,62,61,1,2,0,277,3,0
6,KOK PASIR 021/08/04,SEKOLAH MENENGAH KEBANGSAAN TANJUNG MAS,2,341,182,101,53,0,2,0,338,3,0
6,KOK PASIR 021/08/04,SEKOLAH MENENGAH KEBANGSAAN TANJUNG MAS,3,491,302,92,93,0,2,0,489,2,0
6,KOK PASIR 021/08/04,SEKOLAH MENENGAH KEBANGSAAN TANJUNG MAS,4,412,238,86,82,0,5,0,411,1,0
6,KOK PASIR 021/08/04,SEKOLAH MENENGAH KEBANGSAAN TANJUNG MAS,5,393,243,79,70,0,1,0,393,0,0
6,KOK PASIR 021/08/04,SEKOLAH MENENGAH KEBANGSAAN TANJUNG MAS,6,431,264,105,56,0,4,0,429,2,0
6,KOK PASIR 021/08/04,SEKOLAH MENENGAH KEBANGSAAN TANJUNG MAS,7,509,316,95,91,0,3,2,507,2,0
"HELAIAN MATA (SCORE SHEET)                                                        (BORANG SPR 760 Pin. 1/99) BAHAGIAN PILIHAN RAYA NEGERI: P.021 KOTA BHARU
JUMLAH PEMILIH: 115,450                                                                                                                                                                                             MUKASURAT: 3/12",KOK PASIR 021/08/04,SEKOLAH MENENGAH KEBANGSAAN TANJUNG MAS,7,509,316,95,91,0,3,2,507,2,0
