UNIQUE CODE,STATE,BALLOT TYPE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,POLLING DISTRICT CODE,POLLING DISTRICT NAME,POLLING CENTRE,VOTING CHANNEL NUMBER,TOTAL BALLOTS ISSUED,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN VOTE,PH (1),PH (1) CANDIDATE,PH (1) CANDIDATE SEX,PH (1) CANDIDATE AGE,PH (1) VOTE,PH (2),PH (2) CANDIDATE,PH (2) CANDIDATE SEX,PH (2) CANDIDATE AGE,PH (2) VOTE,PAS,PAS CANDIDATE,PAS CANDIDATE SEX,PAS CANDIDATE AGE,PAS VOTE,STAR,STAR CANDIDATE,STAR CANDIDATE SEX,STAR CANDIDATE AGE,STAR VOTE,PBDSB,PBDSB CANDIDATE,PBDSB CANDIDATE SEX,PBDSB CANDIDATE AGE,PBDSB VOTE,INDEPENDENT 1,INDEPENDENT 1 CANDIDATE,INDEPENDENT 1 CANDIDATE SEX,INDEPENDENT 1 CANDIDATE AGE,INDEPENDENT 1 VOTE,INDEPENDENT 2,INDEPENDENT 2 CANDIDATE,INDEPENDENT 2 CANDIDATE SEX,INDEPENDENT 2 CANDIDATE AGE,INDEPENDENT 2 VOTE,TOTAL VALID VOTES,TOTAL REJECTED VOTES,TOTAL UNRETURNED BALLOTS,CHECKER (VALID VOTE),CHECKER (TOTAL VOTE ISSUED)
P.206_N.42_206/42/POS_1,SARAWAK,POSTAL VOTE,P.206,TANJONG MANIS,N.42,SEMOP,206/42/POS,UNDI POS,UNDI POS,1,78,PBB,ABDULLAH SAIDOL,MALE,50,46,PAN,FADILLAH SABALI,MALE,35,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,8,23,,
P.206_N.42_206/42/01_1,SARAWAK,ORDINARY VOTE,P.206,TANJONG MANIS,N.42,SEMOP,206/42/01,PALOH,SEK. KEB. KPG. SEBAKO,1,133,PBB,ABDULLAH SAIDOL,MALE,50,126,PAN,FADILLAH SABALI,MALE,35,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130,3,0,,
P.206_N.42_206/42/01_1,SARAWAK,ORDINARY VOTE,P.206,TANJONG MANIS,N.42,SEMOP,206/42/01,PALOH,SURAU KPG. SEDI,1,46,PBB,ABDULLAH SAIDOL,MALE,50,34,PAN,FADILLAH SABALI,MALE,35,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,3,0,,
P.206_N.42_206/42/01_1,SARAWAK,ORDINARY VOTE,P.206,TANJONG MANIS,N.42,SEMOP,206/42/01,PALOH,SEK. KEB. O.K.M. PAKERI PALOH,1,141,PBB,ABDULLAH SAIDOL,MALE,50,132,PAN,FADILLAH SABALI,MALE,35,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141,0,0,,
P.206_N.42_206/42/01_2,SARAWAK,ORDINARY VOTE,P.206,TANJONG MANIS,N.42,SEMOP,206/42/01,PALOH,SEK. KEB. O.K.M. PAKERI PALOH,2,163,PBB,ABDULLAH SAIDOL,MALE,50,151,PAN,FADILLAH SABALI,MALE,35,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163,0,0,,
P.206_N.42_206/42/01_1,SARAWAK,ORDINARY VOTE,P.206,TANJONG MANIS,N.42,SEMOP,206/42/01,PALOH,"RH. PANJANG JAWING, BERANGAN PALOH",1,123,PBB,ABDULLAH SAIDOL,MALE,50,122,PAN,FADILLAH SABALI,MALE,35,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122,1,0,,
P.206_N.42_206/42/01_1,SARAWAK,ORDINARY VOTE,P.206,TANJONG MANIS,N.42,SEMOP,206/42/01,PALOH,TADIKA KEMAS KPG. KEDANG,1,93,PBB,ABDULLAH SAIDOL,MALE,50,83,PAN,FADILLAH SABALI,MALE,35,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,3,0,,
P.206_N.42_206/42/02_1,SARAWAK,ORDINARY VOTE,P.206,TANJONG MANIS,N.42,SEMOP,206/42/02,MUPONG,SEK. KEB. MUPONG,1,219,PBB,ABDULLAH SAIDOL,MALE,50,193,PAN,FADILLAH SABALI,MALE,35,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210,9,0,,
P.206_N.42_206/42/02_1,SARAWAK,ORDINARY VOTE,P.206,TANJONG MANIS,N.42,SEMOP,206/42/02,MUPONG,SEK. KEB. MUPONG ULIN,1,68,PBB,ABDULLAH SAIDOL,MALE,50,63,PAN,FADILLAH SABALI,MALE,35,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,2,0,,
P.206_N.42_206/42/03_1,SARAWAK,ORDINARY VOTE,P.206,TANJONG MANIS,N.42,SEMOP,206/42/03,SEMOP,SEK. KEB. KPG. SERDENG,1,161,PBB,ABDULLAH SAIDOL,MALE,50,155,PAN,FADILLAH SABALI,MALE,35,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160,1,0,,
