Bil,KODDM,NAMADM,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah Kertas Undi Yang Patut Berada Di Dalam Peti Undi (A),Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :ABDULLAH BIN SAMINAN,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :CIKGU KIPRAWI BIN SUHAILI,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :DATO' DR. JUANDA BIN JAYA,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :Jumlah Undian Oleh Pemilih,Bilangan Kertas Undi Yang Ditolak (C),Jumlah Kertas Undi Yang Dikeluarkan Kepada Pengundi Tetapi Tidak Dimasukkan Ke Dalam Peti Undi(D)
1,,UNDI POS,UNDI POS,1,128,11,1,88,100,1,27
2,207/44/01,KUALA MATU,SEK. KEB. BRUAN MAPAL,1,78,30,5,43,78,0,0
2,207/44/01,KUALA MATU,SEK. KEB. KUALA MATU,1,263,66,9,182,257,6,0
2,207/44/01,KUALA MATU,SEK. KEB. KUALA MATU,2,246,69,6,164,239,7,0
2,207/44/01,KUALA MATU,SEK. KEB. KUALA MATU,3,236,69,2,162,233,3,0
2,207/44/01,KUALA MATU,SEK. KEB. KPG. PERGAU,1,417,36,16,347,399,18,0
3,207/44/02,SOK,SEK. KEB. KPG. SOK,1,189,27,7,151,185,4,0
4,207/44/03,MATU,"PERPUSTAKAAN MAJLIS DAERAH MATU-DARO, MATU",1,103,9,0,92,101,2,0
5,207/44/04,SEKAAN BESAR,BANGUNAN PUSAT SUMBER JKKK KPG. TRENG,1,238,42,6,186,234,4,0
5,207/44/04,SEKAAN BESAR,SEK. KEB. ORANG KAYA SELAIR KPG. SEKAAN,1,318,63,11,236,310,8,0
6,207/44/05,JEMORENG,SEK. KEB. ORANG KAYA SERGUNIM JEMORENG,1,245,65,17,157,239,6,0
6,207/44/05,JEMORENG,SEK. KEB. ORANG KAYA SERGUNIM JEMORENG,2,401,84,36,275,395,5,1
7,207/44/06,BAWANG,SEK. KEB. SEKAAN KECHIL,1,171,22,1,146,169,2,0
7,207/44/06,BAWANG,SEK. KEB. BAWANG TIAN,1,231,68,5,152,225,6,0
7,207/44/06,BAWANG,SEK. KEB. BAWANG TIAN,2,399,90,5,290,385,14,0
8,207/44/07,TIAN,TADIKA KEMAS KPG. TIAN,1,250,71,11,163,245,5,0
8,207/44/07,TIAN,TADIKA KEMAS KPG. TIAN,2,449,167,8,261,436,13,0
8,207/44/07,TIAN,TADIKA KEMAS KPG. TIAN,3,406,117,2,282,401,5,0
8,207/44/07,TIAN,TADIKA KEMAS KPG. TIAN,4,396,104,8,279,391,3,2
9,207/44/08,BEKUMAH,SEK. KEB. KEBUAW,1,308,24,8,266,298,10,0
10,207/44/09,ILAS,SEK. KEB. SG. ILAS,1,109,57,2,49,108,1,0
11,207/44/10,IGAN,SEK. KEB. KPG. IGAN,1,283,1,4,275,280,3,0
11,207/44/10,IGAN,SEK. KEB. KPG. IGAN,2,351,2,4,342,348,3,0
11,207/44/10,IGAN,SEK. KEB. KPG. IGAN,3,304,1,10,289,300,4,0
11,207/44/10,IGAN,SEK. KEB. KPG. IGAN,4,210,0,3,207,210,0,0
JUMLAH,,,,25,6729,1295,187,5084,6566,133,30
