Bil,KODDM,NAMADM,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah Kertas Undi Yang Patut Berada Di Dalam Peti Undi (A),Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :SNOWDAN LAWAN,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :ENTUSA ANAK IMAM,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :POK ANAK UNGKUT,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :NICHOLAS MUJAH ANAK ASON,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :Jumlah Undian Oleh Pemilih,Bilangan Kertas Undi Yang Ditolak (C),Jumlah Kertas Undi Yang Dikeluarkan Kepada Pengundi Tetapi Tidak Dimasukkan Ke Dalam Peti Undi(D)
1,,UNDI POS,UNDI POS,1,17,14,1,0,1,16,1,0
2,202/30/00,UNDI AWAL,"BILIK MESYUARAT, BAHAGIAN SIASATAN JENAYAH NARKOTIK IPD SRI AMAN",1,3,1,1,0,1,3,0,0
3,202/30/01,ISU,BALAI RAYA KPG. KESINDU SIMUNJAN,1,171,89,65,3,13,170,1,0
3,202/30/01,ISU,RH. SUNTAT GALUNG KPG. SEBANGKOI JAYA SIMUNJAN,1,258,186,42,3,22,253,5,0
3,202/30/01,ISU,BALAI RAYA SABAL KRUIN,1,225,141,59,5,18,223,2,0
3,202/30/01,ISU,SEK. KEB. SG. PINANG,1,188,120,52,3,9,184,4,0
3,202/30/01,ISU,SEK. KEB. GAWANG EMPILI,1,219,109,31,3,74,217,2,0
3,202/30/01,ISU,SEK. KEB. NYELITAK,1,195,134,59,0,2,195,0,0
3,202/30/01,ISU,SEK. KEB. TELAGUS/JEROK,1,348,240,85,4,19,348,0,0
3,202/30/01,ISU,SABAL NURSERY CENTRE,1,153,87,50,4,10,151,2,0
4,202/30/02,BALAI RINGIN,SEK. KEB. SEMADA,1,113,60,32,3,15,110,3,0
4,202/30/02,BALAI RINGIN,BALAI RAYA KPG. ENSEBANG KUARI,1,315,194,106,2,12,314,1,0
4,202/30/02,BALAI RINGIN,SEK. KEB. BALAI RINGIN,1,248,180,46,3,18,247,1,0
4,202/30/02,BALAI RINGIN,SEK. KEB. BALAI RINGIN,2,412,324,47,6,34,411,1,0
4,202/30/02,BALAI RINGIN,RH. RENTAB AK GASAN MELIKIN SG. PANGGIL,1,288,142,45,0,95,282,6,0
4,202/30/02,BALAI RINGIN,RH. ANING ANAK MELINTANG ENSEBANG PELAI,1,251,96,90,2,56,244,7,0
4,202/30/02,BALAI RINGIN,BALAI RAYA TANAH MAWANG,1,185,77,67,5,35,184,1,0
5,202/30/03,RUAN,DEWAN SERBAGUNA KPG. KEPIT BUKIT PUNDA SIMUNJAN,1,155,81,61,3,10,155,0,0
5,202/30/03,RUAN,"RH. JEPIT, KPG. SPAOH RABA, SIMUNJAN",1,167,101,55,0,8,164,3,0
5,202/30/03,RUAN,DEWAN SRI KUMANG SEK. KEB. PADANG PEDALAI,1,309,143,132,3,27,305,4,0
6,202/30/04,KEDUMPAI,RH. ENTERUS KPG. SEGA,1,137,46,80,1,10,137,0,0
6,202/30/04,KEDUMPAI,SEK. KEB. KEDUMPAI,1,178,99,53,3,20,175,3,0
6,202/30/04,KEDUMPAI,RH. KIOT PENDAWAN,1,64,33,27,1,1,62,2,0
6,202/30/04,KEDUMPAI,SEK. KEB. TUBA,1,168,88,74,2,1,165,3,0
6,202/30/04,KEDUMPAI,SEK. KEB. MENTU ULU SEBUYAU,1,169,80,86,0,2,168,1,0
6,202/30/04,KEDUMPAI,RH. MENARI IPOH,1,58,20,34,0,4,58,0,0
6,202/30/04,KEDUMPAI,RH. MENJAT SEMAWA ILI,1,83,66,16,1,0,83,0,0
6,202/30/04,KEDUMPAI,SEK. KEB. MUDING,1,225,105,112,0,7,224,1,0
7,202/30/05,UBAH,RH. NGULU EMPALING A,1,77,71,6,0,0,77,0,0
7,202/30/05,UBAH,RH. JAWAN TEKUYONG B,1,61,35,10,0,11,56,5,0
7,202/30/05,UBAH,SEK. KEB. JAONG,1,235,123,107,1,3,234,1,0
7,202/30/05,UBAH,SEK. KEB. ABOK,1,310,152,98,8,47,305,5,0
7,202/30/05,UBAH,SEK. KEB. APING,1,310,169,96,4,39,308,2,0
7,202/30/05,UBAH,RH. LANGIE ANAK TAWIE SEBEMBAN,1,114,77,34,0,3,114,0,0
7,202/30/05,UBAH,SEK. KEB. ST. LEO GAYAU,1,214,121,84,1,6,212,2,0
8,202/30/06,PANTU,TADIKA KEMAS RAPAK,1,221,130,79,3,5,217,4,0
8,202/30/06,PANTU,RH. HEAROLD SELANTEK ILI PANTU,1,242,107,109,3,18,237,5,0
8,202/30/06,PANTU,SEK. JENIS KEB. CHUNG HUA PANTU,1,215,102,92,2,17,213,2,0
8,202/30/06,PANTU,SEK. KEB. PANTU,1,209,123,53,5,23,204,5,0
9,202/30/07,KERANGGAS,SEK. KEB. KERANGGAS PANTU,1,160,124,29,2,4,159,1,0
9,202/30/07,KERANGGAS,PRA-SEKOLAH KPG. SAPAK,1,124,88,34,1,0,123,1,0
JUMLAH,,,,41,7794,4478,2439,90,700,7707,87,0
