Bil,KODDM,NAMADM,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah Kertas Undi Yang Patut Berada Di Dalam Peti Undi (A),Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :DATO SRI MICHAEL MANYIN ANAK JAWONG,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :ALEX SABEN,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :Jumlah Undian Oleh Pemilih,Bilangan Kertas Undi Yang Ditolak (C),Jumlah Kertas Undi Yang Dikeluarkan Kepada Pengundi Tetapi Tidak Dimasukkan Ke Dalam Peti Undi(D)
1,,UNDI POS,UNDI POS,1,109,71,3,74,1,34
2,199/21/00,UNDI AWAL,"DEWAN MUTIARA TEBEDU, BALAI POLIS TEBEDU",1,14,14,0,14,0,0
3,199/21/01,BENTANG,SEK. KEB. ALL ST. PLAMAN NYABET,1,184,147,36,183,1,0
3,199/21/01,BENTANG,SEK. KEB. ST. JOHN TAEE,1,266,207,56,263,3,0
3,199/21/01,BENTANG,SEK. KEB. ST. JOHN TAEE,2,400,297,100,397,3,0
3,199/21/01,BENTANG,SEK. KEB. PARUN SUAN,1,248,187,49,236,12,0
3,199/21/01,BENTANG,SEK. KEB. PARUN SUAN,2,325,278,46,324,1,0
4,199/21/02,LANCHANG,SEK. KEB. ST. MATHEW LANCHANG,1,382,337,42,379,3,0
4,199/21/02,LANCHANG,SEK. KEB. ST. DOMINIC PICHIN,1,306,270,26,296,10,0
4,199/21/02,LANCHANG,SEK. KEB. ST. DOMINIC PICHIN,2,321,301,20,321,0,0
4,199/21/02,LANCHANG,SEK. KEB. ST. DOMINIC PICHIN,3,281,271,10,281,0,0
5,199/21/03,TEBEDU,SEK. KEB. TEPOI,1,186,125,55,180,6,0
5,199/21/03,TEBEDU,SEK. KEB. TEMONG,1,272,232,35,267,5,0
5,199/21/03,TEBEDU,SEK. KEB. TEMONG,2,398,338,57,395,3,0
5,199/21/03,TEBEDU,SEK. KEB. ENTUBUH,1,244,219,17,236,7,1
5,199/21/03,TEBEDU,SEK. KEB. SEJIJAK,1,199,190,7,197,2,0
5,199/21/03,TEBEDU,SEK. KEB. TEBEDU,1,271,230,33,263,8,0
5,199/21/03,TEBEDU,SEK. KEB. TEBEDU,2,402,355,44,399,3,0
5,199/21/03,TEBEDU,SEK. KEB. SUNGAN,1,164,153,5,158,6,0
5,199/21/03,TEBEDU,SEK. KEB. TEMA,1,270,224,42,266,4,0
5,199/21/03,TEBEDU,SEK. KEB. SG. SEMARAN,1,459,404,51,455,4,0
6,199/21/04,AMO,SEK. KEB. GAHAT MAWANG,1,276,254,17,271,5,0
6,199/21/04,AMO,BANGUNAN KELAS TADIKA BIDAK,1,266,230,29,259,7,0
6,199/21/04,AMO,SEK. KEB. RETOH,1,178,170,4,174,4,0
6,199/21/04,AMO,SEK. KEB. MAWANG TAUP,1,148,143,2,145,2,1
6,199/21/04,AMO,BALAI RAYA KUJANG SAIN,1,132,102,30,132,0,0
6,199/21/04,AMO,BALAI RAYA KPG. KUJANG MAWANG,1,140,132,7,139,1,0
6,199/21/04,AMO,SEK. KEB. KUJANG MAWANG,1,94,84,7,91,3,0
6,199/21/04,AMO,SEK. KEB. TESU,1,229,190,28,218,11,0
6,199/21/04,AMO,BALAI RAYA KPG. DAHA SEROBAN,1,191,118,65,183,8,0
6,199/21/04,AMO,BALAI RAYA KPG. DAHA KISAU,1,232,140,87,227,5,0
7,199/21/05,MENGARAT,SEK. KEB. LOBANG BATU,1,254,204,46,250,4,0
7,199/21/05,MENGARAT,SEK. KEB. LOBANG BATU,2,455,374,75,449,6,0
7,199/21/05,MENGARAT,SEK. KEB. KRUSEN,1,405,366,33,399,6,0
JUMLAH,,,,34,8701,7357,1164,8521,144,36
