Bil,KODDM,NAMADM,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah Kertas Undi Yang Patut Berada Di Dalam Peti Undi (A),Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :WONG SOON KOH,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :WONG SING WEI,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :WATSON BANGAU ANAK JOHNATHAN RENANG,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :STANLEY CHIEW SUNG NGIE,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :BENG KOR,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :Jumlah Undian Oleh Pemilih,Bilangan Kertas Undi Yang Ditolak (C),Jumlah Kertas Undi Yang Dikeluarkan Kepada Pengundi Tetapi Tidak Dimasukkan Ke Dalam Peti Undi(D)
1,,UNDI POS,UNDI POS,1,132,103,0,2,2,0,107,5,20
2,212/53/00,UNDI AWAL,"RUANG B, WISMA PENGAMAN, IPD SIBU",1,3,3,0,0,0,0,3,0,0
3,212/53/01,RASSAU,SEK. KEB. SG. RASSAU,1,484,248,5,34,171,1,459,25,0
3,212/53/01,RASSAU,RH. LIMBANG SG. SEBEDIL,1,255,246,0,1,5,0,252,3,0
3,212/53/01,RASSAU,SEK. KEB. NG. TUTUS,1,369,226,0,17,123,0,366,3,0
3,212/53/01,RASSAU,SEK. KEB. SG. PASAI,1,353,257,2,27,58,4,348,5,0
3,212/53/01,RASSAU,SEK. KEB. SG. PASAI,2,485,390,1,29,55,0,475,10,0
3,212/53/01,RASSAU,SEK. KEB. SG. PINANG,1,290,244,0,11,32,1,288,2,0
3,212/53/01,RASSAU,SEK. KEB. KPG. BUNGAN,1,321,225,1,27,62,2,317,4,0
3,212/53/01,RASSAU,SEK. KEB. KPG. BUNGAN,2,338,250,1,24,52,4,331,7,0
4,212/53/02,PENASU,SEK. KEB. RANTAU PANJANG,1,327,232,1,23,58,2,316,11,0
4,212/53/02,PENASU,SEK. KEB. RANTAU PANJANG,2,365,283,2,14,62,1,362,3,0
4,212/53/02,PENASU,SEK. KEB. TANJUNG PENASU,1,308,216,4,25,57,2,304,4,0
4,212/53/02,PENASU,SEK. KEB. TANJUNG PENASU,2,553,409,1,49,86,5,550,3,0
4,212/53/02,PENASU,SEK. KEB. SG. AUP,1,304,183,4,18,95,2,302,2,0
4,212/53/02,PENASU,SEK. KEB. SG. AUP,2,509,357,4,21,119,6,507,2,0
5,212/53/03,BAWANG ASSAN,SRDC INDOOR BADMINTON COURT BAWANG ASSAN,1,296,192,3,66,33,0,294,2,0
5,212/53/03,BAWANG ASSAN,SRDC INDOOR BADMINTON COURT BAWANG ASSAN,2,296,223,1,42,26,1,293,3,0
5,212/53/03,BAWANG ASSAN,PERPUSTAKAAN AWAM BAWANG ASSAN,1,427,308,1,76,34,1,420,7,0
5,212/53/03,BAWANG ASSAN,SEK. KEB. TANJUNG BEKAKAP,1,327,259,1,11,49,0,320,7,0
5,212/53/03,BAWANG ASSAN,SEK. KEB. TANJUNG BEKAKAP,2,510,439,2,8,50,3,502,8,0
5,212/53/03,BAWANG ASSAN,SEK. JENIS KEB. BOI ING LEBAAN,1,165,96,0,1,66,0,163,2,0
6,212/53/04,KUNYIT,SEK. JENIS KEB. CHAU SU,1,185,122,0,0,63,0,185,0,0
6,212/53/04,KUNYIT,SEK. JENIS KEB. KAI NANG SEBERANG ENSURAI,1,98,44,1,1,52,0,98,0,0
7,212/53/05,MA`AW,SEK. MEN. KEB. CHUNG CHENG SG. MA`AW,1,274,185,1,0,86,1,273,1,0
7,212/53/05,MA`AW,SEK. MEN. KEB. CHUNG CHENG SG. MA`AW,2,458,257,1,0,198,1,457,1,0
8,212/53/06,SELALO,SEK. KEB. KAMPONG BANYOK,1,228,163,1,0,61,0,225,3,0
9,212/53/07,DASSAN,SEK. JENIS KEB. DO NANG,1,245,137,1,0,107,0,245,0,0
9,212/53/07,DASSAN,SEK. MEN. KEB. KWONG HUA SADIT,1,271,169,2,1,95,1,268,2,1
9,212/53/07,DASSAN,SEK. MEN. KEB. KWONG HUA SADIT,2,382,179,3,0,196,2,380,2,0
10,212/53/08,ENSURAI,SEK. JENIS KEB. KENG NANG,1,116,79,4,1,31,0,115,1,0
11,212/53/09,LAN,SEK. JENIS KEB. (C) UNG NANG BUKIT LAN,1,249,139,0,1,106,1,247,2,0
11,212/53/09,LAN,SEK. JENIS KEB. (C) UNG NANG BUKIT LAN,2,252,121,3,1,126,0,251,1,0
12,212/53/10,ENGKILO,SEK. JENIS KEB. TING SING,1,278,152,4,2,118,1,277,1,0
12,212/53/10,ENGKILO,SEK. JENIS KEB. TING SING,2,443,234,6,4,196,1,441,2,0
12,212/53/10,ENGKILO,SEK. JENIS KEB. TING SING,3,420,204,6,6,200,2,418,2,0
