Bil,KODDM,NAMADM,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah Kertas Undi Yang Patut Berada Di Dalam Peti Undi (A),Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :SIH HUA TONG,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :LINA SOO,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :SEE CHEE HOW,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :Jumlah Undian Oleh Pemilih,Bilangan Kertas Undi Yang Ditolak (C),Jumlah Kertas Undi Yang Dikeluarkan Kepada Pengundi Tetapi Tidak Dimasukkan Ke Dalam Peti Undi(D)
1,,UNDI POS,UNDI POS,1,140,81,1,12,94,6,40
2,195/11/00,UNDI AWAL,"RUANG E, DEWAN BADMINTON, KOMPLEKS PERUMAHAN POLIS TABUAN
JAYA",1,54,52,1,1,54,0,0
3,195/11/01,PISANG,SEK. JENIS KEB. ST. PAUL GREEN ROAD,1,115,53,1,60,114,1,0
3,195/11/01,PISANG,SEK. JENIS KEB. ST. PAUL GREEN ROAD,2,231,64,4,162,230,1,0
3,195/11/01,PISANG,SEK. JENIS KEB. ST. PAUL GREEN ROAD,3,239,62,2,174,238,1,0
4,195/11/02,BATU LINTANG,SEK. MEN. KEB. BATU LINTANG,1,173,79,3,91,173,0,0
4,195/11/02,BATU LINTANG,SEK. MEN. KEB. BATU LINTANG,2,382,124,4,253,381,1,0
4,195/11/02,BATU LINTANG,SEK. MEN. KEB. BATU LINTANG,3,372,102,6,264,372,0,0
4,195/11/02,BATU LINTANG,SEK. MEN. KEB. BATU LINTANG,4,360,126,3,231,360,0,0
4,195/11/02,BATU LINTANG,SEK. KEB. JLN. ONG TIANG SWEE,1,188,73,2,111,186,2,0
4,195/11/02,BATU LINTANG,SEK. KEB. JLN. ONG TIANG SWEE,2,409,126,5,275,406,3,0
4,195/11/02,BATU LINTANG,SEK. KEB. JLN. ONG TIANG SWEE,3,383,109,3,266,378,5,0
4,195/11/02,BATU LINTANG,SEK. KEB. JLN. ONG TIANG SWEE,4,360,85,11,261,357,3,0
4,195/11/02,BATU LINTANG,"ST. JOHN AMBULANCE HEADQUARTERS BUILDING LORONG LAKSAMANA
CHENG HO NO.8",1,175,83,10,81,174,1,0
4,195/11/02,BATU LINTANG,ST. JOHN AMBULANCE HEADQUARTERS BUILDING LORONG LAKSAMANA CHENG HO NO.8,2,297,90,6,200,296,1,0
4,195/11/02,BATU LINTANG,"ST. JOHN AMBULANCE HEADQUARTERS BUILDING LORONG LAKSAMANA
CHENG HO NO.8",3,280,92,4,184,280,0,0
5,195/11/03,STAR GARDEN,SEK. MEN. KEB. GREEN ROAD,1,186,89,1,96,186,0,0
5,195/11/03,STAR GARDEN,SEK. MEN. KEB. GREEN ROAD,2,404,177,2,222,401,3,0
5,195/11/03,STAR GARDEN,SEK. MEN. KEB. GREEN ROAD,3,358,118,4,235,357,1,0
5,195/11/03,STAR GARDEN,SEK. MEN. KEB. GREEN ROAD,4,344,102,8,230,340,4,0
6,195/11/04,POH KWONG PARK,DEWAN MASYARAKAT SG. MAONG,1,226,132,4,87,223,3,0
6,195/11/04,POH KWONG PARK,DEWAN MASYARAKAT SG. MAONG,2,384,209,4,170,383,1,0
6,195/11/04,POH KWONG PARK,DEWAN MASYARAKAT SG. MAONG,3,368,124,9,233,366,2,0
6,195/11/04,POH KWONG PARK,DEWAN MASYARAKAT SG. MAONG,4,382,138,7,233,378,3,1
6,195/11/04,POH KWONG PARK,DEWAN MASYARAKAT SG. MAONG,5,355,115,8,231,354,1,0
6,195/11/04,POH KWONG PARK,DEWAN MASYARAKAT SG. MAONG,6,332,85,4,242,331,1,0
7,195/11/05,SKY GARDEN,SEK. KEB. GREEN ROAD,1,215,108,3,101,212,3,0
7,195/11/05,SKY GARDEN,SEK. KEB. GREEN ROAD,2,307,100,6,201,307,0,0
7,195/11/05,SKY GARDEN,SEK. KEB. GREEN ROAD,3,282,79,5,197,281,1,0
8,195/11/06,BUKIT KENNY,RH. KELAB MAKSAK,1,421,125,7,286,418,3,0
9,195/11/07,TABUAN DAYAK,TABIKA PERPADUAN TABUAN DAYAK (KHEMAH),1,222,136,1,80,217,5,0
9,195/11/07,TABUAN DAYAK,TABIKA PERPADUAN TABUAN DAYAK (KHEMAH),2,295,162,2,127,291,4,0
9,195/11/07,TABUAN DAYAK,TABIKA PERPADUAN TABUAN DAYAK (KHEMAH),3,267,123,7,135,265,2,0
10,195/11/08,TABUAN JAYA,SEK. KEB. TABUAN JAYA LORONG 2A1 JLN. URAT MATA,1,193,86,5,98,189,4,0
10,195/11/08,TABUAN JAYA,SEK. KEB. TABUAN JAYA LORONG 2A1 JLN. URAT MATA,2,441,181,12,246,439,2,0
10,195/11/08,TABUAN JAYA,SEK. KEB. TABUAN JAYA LORONG 2A1 JLN. URAT MATA,3,426,157,8,260,425,1,0
10,195/11/08,TABUAN JAYA,SEK. KEB. TABUAN JAYA LORONG 2A1 JLN. URAT MATA,4,407,149,8,248,405,2,0
10,195/11/08,TABUAN JAYA,SEK. KEB. TABUAN JAYA LORONG 2A1 JLN. URAT MATA,5,421,157,9,250,416,5,0
10,195/11/08,TABUAN JAYA,SEK. KEB. TABUAN JAYA LORONG 2A1 JLN. URAT MATA,6,407,121,7,279,407,0,0
10,195/11/08,TABUAN JAYA,SEK. KEB. TABUAN JAYA LORONG 2A1 JLN. URAT MATA,7,413,112,7,294,413,0,0
10,195/11/08,TABUAN JAYA,SEK. KEB. TABUAN JAYA LORONG 2A1 JLN. URAT MATA,8,382,103,14,261,378,4,0
10,195/11/08,TABUAN JAYA,SEK. KEB. TABUAN JAYA LORONG 2A1 JLN. URAT MATA,9,378,120,10,244,374,4,0
10,195/11/08,TABUAN JAYA,SEK. KEB. TABUAN JAYA LORONG 2A1 JLN. URAT MATA,10,329,100,9,220,329,0,0
10,195/11/08,TABUAN JAYA,SEK. KEB. TABUAN JAYA LORONG 2A1 JLN. URAT MATA,11,340,78,5,255,338,2,0
11,195/11/09,TABUAN LARU,SEK. MEN. KEB. TABUAN JAYA,1,258,117,8,128,253,5,0
11,195/11/09,TABUAN LARU,SEK. MEN. KEB. TABUAN JAYA,2,405,163,10,231,404,1,0
11,195/11/09,TABUAN LARU,SEK. MEN. KEB. TABUAN JAYA,3,410,162,13,234,409,1,0
11,195/11/09,TABUAN LARU,SEK. MEN. KEB. TABUAN JAYA,4,369,145,6,217,368,1,0
11,195/11/09,TABUAN LARU,SEK. MEN. KEB. TABUAN JAYA,5,334,107,12,215,334,0,0
12,195/11/10,MAONG,SEK. KEB. SG. MAONG HILIR,1,226,102,1,121,224,2,0
12,195/11/10,MAONG,SEK. KEB. SG. MAONG HILIR,2,403,147,12,244,403,0,0
12,195/11/10,MAONG,SEK. KEB. SG. MAONG HILIR,3,344,105,9,226,340,4,0
13,195/11/11,NANAS - PISANG,SEK. KEB. COMBINED JLN. NANAS BARAT,1,201,100,5,95,200,1,0
13,195/11/11,NANAS - PISANG,SEK. KEB. COMBINED JLN. NANAS BARAT,2,260,108,2,145,255,5,0
13,195/11/11,NANAS - PISANG,SEK. KEB. COMBINED JLN. NANAS BARAT,3,249,77,4,167,248,1,0
13,195/11/11,NANAS - PISANG,SEK. KEB. COMBINED JLN. NANAS BARAT,4,270,92,5,172,269,1,0
13,195/11/11,NANAS - PISANG,SEK. KEB. COMBINED JLN. NANAS BARAT,5,241,61,2,176,239,2,0
