Bil,KODDM,NAMADM,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah Kertas Undi Yang Patut Berada Di Dalam Peti Undi (A),Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :SOPIAN BIN JULAIHI,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :ASBOR BIN ABDULLAH,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :LEN TALIF SALLEH,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :Jumlah Undian Oleh Pemilih,Bilangan Kertas Undi Yang Ditolak (C),Jumlah Kertas Undi Yang Dikeluarkan Kepada Pengundi Tetapi Tidak Dimasukkan Ke Dalam Peti Undi(D)
1,,UNDI POS,UNDI POS,1,91,0,0,52,52,3,36
2,206/41/00,UNDI AWAL,"RUANG B, DEWAN SERBAGUNA IPD SARIKEI",1,6,0,0,6,6,0,0
3,206/41/01,SELALANG,SEK. KEB. MANDOR ARIS KPG. SELALANG,1,233,12,2,219,233,0,0
3,206/41/01,SELALANG,SEK. KEB. MANDOR ARIS KPG. SELALANG,2,212,19,3,187,209,3,0
4,206/41/02,BELAWAI,SEK. KEB. STALUN,1,165,4,1,159,164,1,0
4,206/41/02,BELAWAI,SEK. KEB. ABANG GESA,1,225,24,11,183,218,6,1
4,206/41/02,BELAWAI,SEK. KEB. ABANG GESA,2,405,43,15,346,404,1,0
4,206/41/02,BELAWAI,SEK. KEB. ABANG GESA,3,367,61,10,290,361,6,0
4,206/41/02,BELAWAI,SEK. KEB. ABANG GESA,4,321,68,9,236,313,8,0
5,206/41/03,RAJANG,SEK. KEB. SEBAYANG,1,255,14,5,232,251,4,0
5,206/41/03,RAJANG,SEK. KEB. ABANG GALAU,1,218,9,7,195,211,7,0
5,206/41/03,RAJANG,SEK. KEB. ABANG GALAU,2,213,25,5,182,212,1,0
5,206/41/03,RAJANG,SEK. KEB. ABANG GALAU,3,190,27,1,157,185,5,0
5,206/41/03,RAJANG,SEK. KEB. ABANG BUYUK KPG. JERIJEH,1,214,8,2,192,202,12,0
5,206/41/03,RAJANG,SEK. KEB. ABANG BUYUK KPG. JERIJEH,2,243,26,2,212,240,3,0
6,206/41/04,SARI,SEK. KEB. JAWA SG. KERUBONG SELALANG,1,411,59,11,331,401,10,0
6,206/41/04,SARI,SEK. KEB. ADIN SARE,1,253,40,23,180,243,10,0
6,206/41/04,SARI,SEK. KEB. ADIN SARE,2,256,30,13,211,254,2,0
6,206/41/04,SARI,SEK. KEB. ADIN SARE,3,221,25,7,167,199,22,0
6,206/41/04,SARI,SEK. KEB. BUKIT KINYAU,1,159,12,0,147,159,0,0
6,206/41/04,SARI,SEK. KEB. SENTEBU,1,159,15,2,138,155,4,0
6,206/41/04,SARI,SEK. KEB. ST. ANDREW SARE,1,275,28,7,235,270,5,0
7,206/41/05,SEBERANG,SEK. KEB. MUARA PAYANG SARIKEI,1,109,1,4,101,106,3,0
7,206/41/05,SEBERANG,SEK. KEB. ABANG HAJI MATAHIR SARIKEI,1,236,7,2,225,234,2,0
7,206/41/05,SEBERANG,SEK. KEB. ABANG HAJI MATAHIR SARIKEI,2,466,9,1,444,454,12,0
7,206/41/05,SEBERANG,SEK. KEB. ABANG HAJI MATAHIR SARIKEI,3,330,22,3,301,326,4,0
7,206/41/05,SEBERANG,SEK. KEB. AGAMA KPG. BARU SEBERANG SARIKEI,1,262,11,1,245,257,5,0
7,206/41/05,SEBERANG,SEK. KEB. AGAMA KPG. BARU SEBERANG SARIKEI,2,325,12,1,307,320,5,0
7,206/41/05,SEBERANG,SEK. KEB. AGAMA KPG. BARU SEBERANG SARIKEI,3,316,38,3,267,308,8,0
8,206/41/06,NANGA LEPA,RH. GABRIEL,1,91,0,2,88,90,1,0
JUMLAH,,,,30,7227,649,153,6235,7037,153,37
