Bil,KODDM,NAMADM,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah Kertas Undi Yang Patut Berada Di Dalam Peti Undi (A),Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :DR HAJI ABDUL RAHMAN JUNAIDI,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :ZAINAL ABIDIN YEPNI,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :Jumlah Undian Oleh Pemilih,Bilangan Kertas Undi Yang Ditolak (C),Jumlah Kertas Undi Yang Dikeluarkan Kepada Pengundi Tetapi Tidak Dimasukkan Ke Dalam Peti Undi(D)
1,,UNDI POS,UNDI POS,1,170,108,3,111,6,53
2,193/04/00,UNDI AWAL,"RUANG A, DEWAN BADMINTON , KOMPLEKS POLIS TABUAN
JAYA",1,22,21,1,22,0,0
3,193/04/01,TELAGA AIR,SEK. KEB. TELAGA AIR,1,225,179,29,208,17,0
3,193/04/01,TELAGA AIR,SEK. KEB. TELAGA AIR,2,483,407,72,479,4,0
3,193/04/01,TELAGA AIR,DEWAN SELANG LAUT,1,250,220,24,244,6,0
4,193/04/02,SALAK,SEK. KEB. KPG. SALAK,1,343,307,34,341,2,0
5,193/04/03,TEMENGGONG,SEK. KEB. KPG. TEMENGGONG,1,354,323,25,348,6,0
6,193/04/04,JAYA BAKTI,SURAU KPG. JAYA BAKTI,1,185,125,58,183,2,0
7,193/04/05,SANTUBONG,SEK. KEB. SANTUBONG,1,254,199,49,248,6,0
7,193/04/05,SANTUBONG,SEK. KEB. SANTUBONG,2,409,315,89,404,5,0
8,193/04/06,BUNTAL,DEWAN SERBAGUNA SG. LUMUT,1,283,256,25,281,2,0
8,193/04/06,BUNTAL,SEK. KEB. KPG. BUNTAL,1,278,245,27,272,6,0
8,193/04/06,BUNTAL,SEK. KEB. KPG. BUNTAL,2,454,394,54,448,6,0
8,193/04/06,BUNTAL,SEK. KEB. KPG. BUNTAL,3,366,329,29,358,8,0
9,193/04/07,RAMPANGI,SEK. KEB. RAMPANGI,1,303,263,31,294,9,0
9,193/04/07,RAMPANGI,SEK. KEB. RAMPANGI,2,388,336,50,386,2,0
9,193/04/07,RAMPANGI,SEK. KEB. RAMPANGI,3,332,293,36,329,2,1
9,193/04/07,RAMPANGI,SEK. KEB. BANDAR SAMARIANG,1,268,241,26,267,1,0
9,193/04/07,RAMPANGI,SEK. KEB. BANDAR SAMARIANG,2,363,314,45,359,4,0
9,193/04/07,RAMPANGI,SEK. KEB. BANDAR SAMARIANG,3,267,234,30,264,3,0
10,193/04/08,SEJINJANG,SEK. KEB. PASIR PANDAK,1,264,217,41,258,6,0
10,193/04/08,SEJINJANG,SEK. KEB. PASIR PANDAK,2,291,232,56,288,3,0
11,193/04/09,ASTANA,SEK. KEB. KPG. GERSIK,1,220,193,22,215,5,0
11,193/04/09,ASTANA,SEK. KEB. KPG. GERSIK,2,428,343,77,420,8,0
11,193/04/09,ASTANA,SEK. KEB. KPG. GERSIK,3,401,312,80,392,9,0
11,193/04/09,ASTANA,SEK. KEB. KPG. GERSIK,4,323,265,55,320,3,0
11,193/04/09,ASTANA,DEWAN SERBAGUNA PANGLIMA SEMAN LAMA,1,249,195,51,246,3,0
11,193/04/09,ASTANA,DEWAN SERBAGUNA PANGLIMA SEMAN LAMA,2,273,214,56,270,3,0
11,193/04/09,ASTANA,DEWAN SERBAGUNA PANGLIMA SEMAN LAMA,3,241,187,51,238,3,0
12,193/04/10,DEMAK BARU,SEK. MEN. KEB. TUN ABANG HAJI OPENG,1,290,243,42,285,5,0
13,193/04/11,SEMARANG,SEK. KEB. PULO,1,476,414,57,471,5,0
13,193/04/11,SEMARANG,SEK. AGAMA AL FALAH AL ISLAMIYYAH KPG. PULO,1,266,228,27,255,11,0
13,193/04/11,SEMARANG,SEK. AGAMA AL FALAH AL ISLAMIYYAH KPG. PULO,2,465,375,78,453,12,0
13,193/04/11,SEMARANG,SEK. AGAMA AL FALAH AL ISLAMIYYAH KPG. PULO,3,414,367,42,409,5,0
14,193/04/12,BINTAWA,SEK. KEB. MATU BARU,1,256,235,13,248,8,0
14,193/04/12,BINTAWA,SEK. KEB. MATU BARU,2,450,410,36,446,4,0
14,193/04/12,BINTAWA,SEK. KEB. MATU BARU,3,450,394,50,444,6,0
14,193/04/12,BINTAWA,SEK. KEB. MATU BARU,4,399,361,28,389,10,0
14,193/04/12,BINTAWA,SEK. KEB. MATU BARU,5,375,333,36,369,6,0
14,193/04/12,BINTAWA,SEK. KEB. MATU BARU,6,323,291,23,314,9,0
JUMLAH,,,,40,12851,10918,1658,12576,221,54
