Bil,KODDM,NAMADM,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah Kertas Undi Yang Patut Berada Di Dalam Peti Undi (A),Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :BARU BIAN,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :WILLIE LIAU,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :Jumlah Undian Oleh Pemilih,Bilangan Kertas Undi Yang Ditolak (C),Jumlah Kertas Undi Yang Dikeluarkan Kepada Pengundi Tetapi Tidak Dimasukkan Ke Dalam Peti Undi(D)
1,,UNDI POS,UNDI POS,1,27,1,10,11,0,16
2,222/81/01,SEMADOH,SEK. KEB. LG. SEMADOH,1,254,179,71,250,4,0
2,222/81/01,SEMADOH,SEK. KEB. LG. SEMADOH,2,265,225,39,264,1,0
3,222/81/02,BERIWAN,DEWAN KPG. PURU SIA,1,104,57,46,103,1,0
3,222/81/02,BERIWAN,SEK. KEB. PURU SIA,1,114,85,26,111,3,0
4,222/81/03,MALIGAN,SEK. KEB. LG. SEBANGAN,1,406,220,181,401,5,0
5,222/81/04,TRUSAN,DEWAN MASYARAKAT TRUSAN,1,202,111,91,202,0,0
6,222/81/05,SUKANG,SEK. KEB. LG. SUKANG,1,380,230,148,378,2,0
7,222/81/06,LUPENG,SEK. KEB. LG. LUPENG,1,150,121,25,146,4,0
8,222/81/07,BA`KELALAN,SEK. KEB. BA`KELALAN,1,183,67,115,182,1,0
8,222/81/07,BA`KELALAN,SEK. KEB. BA`KELALAN,2,178,75,103,178,0,0
9,222/81/08,TEMAROP,DEWAN MASYARAKAT LG. TEMAROP,1,159,107,52,159,0,0
10,222/81/09,SUANG,BALAI RAYA LG. TUKON,1,283,143,139,282,1,0
11,222/81/10,TALIS,PUSAT KEBUDAYAAN LUN BAWANG KPG. LG. TUAN,1,195,53,142,195,0,0
12,222/81/11,LAPADAN,SEK. KEB. TANG LAPADAN,1,164,85,79,164,0,0
13,222/81/12,TENGOA,SEK. KEB. LG. TENGOA,1,170,81,88,169,1,0
14,222/81/13,TUMA,SEK. KEB. LG. TUMA LAWAS,1,275,162,111,273,2,0
14,222/81/13,TUMA,SEK. KEB. LG. TUMA LAWAS,2,235,152,83,235,0,0
14,222/81/13,TUMA,SEK. KEB. LG. TUMA LAWAS,3,147,89,57,146,1,0
15,222/81/14,PENGALEH,DEWAN MASYARAKAT KPG. LG. PENGALEH,1,207,156,51,207,0,0
16,222/81/15,SIANG,SEK. KEB. SIANG-SIANG LAWAS,1,296,183,111,294,2,0
17,222/81/16,PANGI,SEK. KEB. BATU LIMA,1,204,49,152,201,3,0
18,222/81/17,BATU TIGA,PUSAT LATIHAN ISLAM SARAWAK,1,81,37,44,81,0,0
19,222/81/18,LAMPAKI,BALAI RAYA KPG. UNDOP,1,167,55,109,164,3,0
20,222/81/19,MUNCU,BALAI RAYA KPG. MUNCU MERAPOK,1,192,54,137,191,1,0
21,222/81/20,RANCHANGAN,SEK. KEB. KPG. LINTANG TRUSAN,1,191,81,110,191,0,0
JUMLAH,,,,26,5229,2858,2320,5178,35,16
