Bil,KODDM,NAMADM,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah Kertas Undi Yang Patut Berada Di Dalam Peti Undi (A),Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :FADILLAH SABALI,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :ABDULLAH SAIDOL,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :Jumlah Undian Oleh Pemilih,Bilangan Kertas Undi Yang Ditolak (C),Jumlah Kertas Undi Yang Dikeluarkan Kepada Pengundi Tetapi Tidak Dimasukkan Ke Dalam Peti Undi(D)
1,,UNDI POS,UNDI POS,1,78,1,46,47,8,23
2,206/42/01,PALOH,SEK. KEB. KPG. SEBAKO,1,133,4,126,130,3,0
2,206/42/01,PALOH,SURAU KPG. SEDI,1,46,9,34,43,3,0
2,206/42/01,PALOH,SEK. KEB. O.K.M. PAKERI PALOH,1,141,9,132,141,0,0
2,206/42/01,PALOH,SEK. KEB. O.K.M. PAKERI PALOH,2,163,12,151,163,0,0
2,206/42/01,PALOH,"RH. PANJANG JAWING, BERANGAN PALOH",1,123,0,122,122,1,0
2,206/42/01,PALOH,TADIKA KEMAS KPG. KEDANG,1,93,7,83,90,3,0
3,206/42/02,MUPONG,SEK. KEB. MUPONG,1,219,17,193,210,9,0
3,206/42/02,MUPONG,SEK. KEB. MUPONG ULIN,1,68,3,63,66,2,0
4,206/42/03,SEMOP,SEK. KEB. KPG. SERDENG,1,161,5,155,160,1,0
4,206/42/03,SEMOP,SEK. KEB. TELOK GELAM,1,153,11,139,150,3,0
4,206/42/03,SEMOP,SEK. KEB. KPG. BEKAKONG,1,159,14,144,158,1,0
4,206/42/03,SEMOP,SEK. KEB. KPG. SEMOP,1,227,30,187,217,10,0
4,206/42/03,SEMOP,SEK. KEB. KPG. SEMOP,2,223,39,179,218,5,0
5,206/42/04,SAAI,SEK. KEB. KPG. KUT,1,114,2,106,108,6,0
5,206/42/04,SAAI,SEK. KEB. MOHAMAD REDEH KPG. SAIE,1,145,15,128,143,2,0
6,206/42/05,TEKAJONG,SEK. KEB. PENIBONG,1,215,20,195,215,0,0
6,206/42/05,TEKAJONG,SEK. KEB. KPG. BETANAK,1,447,74,358,432,14,1
6,206/42/05,TEKAJONG,SEK. KEB. SALAH KECIL,1,163,20,140,160,3,0
6,206/42/05,TEKAJONG,SEK. KEB. KPG. PENIPAH,1,366,143,216,359,7,0
6,206/42/05,TEKAJONG,SEK. KEB. KPG. TEKAJONG,1,214,62,147,209,5,0
6,206/42/05,TEKAJONG,SEK. KEB. KPG. TEKAJONG,2,153,59,89,148,5,0
7,206/42/06,BRUIT,SEK. KEB. KPG. BRUIT,1,224,50,171,221,3,0
7,206/42/06,BRUIT,SEK. KEB. KPG. BRUIT,2,201,47,152,199,2,0
7,206/42/06,BRUIT,SEK. KEB. KPG. BRUIT,3,154,53,95,148,6,0
8,206/42/07,BUNUT,SEK. KEB. SELIDAP,1,282,22,256,278,4,0
8,206/42/07,BUNUT,SEK. JENIS KEB. MING SHING SG. SIAN,1,62,23,38,61,1,0
8,206/42/07,BUNUT,SEK. KEB. SG. SIAN,1,225,16,205,221,4,0
8,206/42/07,BUNUT,SEK. KEB. TANJONG BUNDONG,1,162,3,155,158,4,0
9,206/42/08,BINTANGOR,SEK. KEB. ABANG AMIN BINTANGOR,1,249,14,223,237,12,0
9,206/42/08,BINTANGOR,SEK. KEB. ABANG AMIN BINTANGOR,2,373,24,346,370,3,0
9,206/42/08,BINTANGOR,SEK. KEB. ABANG AMIN BINTANGOR,3,330,38,287,325,5,0
9,206/42/08,BINTANGOR,SEK. KEB. ABANG AMIN BINTANGOR,4,265,32,229,261,4,0
JUMLAH,,,,33,6331,878,5290,6168,139,24
