Bil,KODDM,NAMADM,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah Kertas Undi Yang Patut Berada Di Dalam Peti Undi (A),Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :FATIMAH BINTI ABDULLAH,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :SIM ENG HUA,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :Jumlah Undian Oleh Pemilih,Bilangan Kertas Undi Yang Ditolak (C),Jumlah Kertas Undi Yang Dikeluarkan Kepada Pengundi Tetapi Tidak Dimasukkan Ke Dalam Peti Undi(D)
1,,UNDI POS,UNDI POS,1,103,51,4,55,3,45
2,213/56/00,UNDI AWAL,"BILIK MESYUARAT, IPD DALAT",1,52,48,4,52,0,0
3,213/56/01,TANAM,SEK. KEB. KPG. TANAM DALAT,1,263,219,37,256,7,0
3,213/56/01,TANAM,SEK. KEB. KPG. TANAM DALAT,2,453,387,61,448,5,0
4,213/56/02,DALAT,SEK. JENIS KEB. CHIN HUA DALAT,1,226,183,42,225,1,0
4,213/56/02,DALAT,SEK. JENIS KEB. CHIN HUA DALAT,2,326,230,92,322,4,0
5,213/56/03,KUT,SEK. KEB. KUT TENGAH,1,175,163,10,173,2,0
6,213/56/04,BALAN,SEK. KEB. KPG. BALAN,1,300,274,23,297,3,0
7,213/56/05,UD,SEK. KEB. KPG. SG. UD,1,261,230,19,249,12,0
7,213/56/05,UD,SEK. KEB. KPG. SG. UD,2,474,432,33,465,9,0
7,213/56/05,UD,SEK. KEB. KPG. SG. UD,3,407,325,75,400,7,0
8,213/56/06,BARU DALAT,BALAI RAYA KPG. BARU DALAT,1,291,250,35,285,6,0
9,213/56/07,SUNGAI DALAM,BALAI RAYA SG. DALAM DALAT,1,178,166,10,176,2,0
10,213/56/08,KLID,SEK. KEB. KPG. KLID,1,157,146,7,153,4,0
11,213/56/09,KEKAN,BALAI RAYA KPG. KEKAN DALAT,1,419,348,64,412,7,0
12,213/56/10,MEDONG,SEK. KEB. ST. JOHN MEDONG,1,279,240,27,267,11,1
12,213/56/10,MEDONG,SEK. KEB. ST. JOHN MEDONG,2,474,424,42,466,8,0
12,213/56/10,MEDONG,SEK. KEB. ST. JOHN MEDONG,3,362,313,47,360,2,0
13,213/56/11,KUT MUARA,BALAI RAYA KUT MUARA,1,283,254,18,272,11,0
13,213/56/11,KUT MUARA,BALAI RAYA KUT MUARA,2,263,248,13,261,2,0
14,213/56/12,NARUB,SEK. JENIS KEB. SAN-SAN NARUB DALAT,1,82,74,6,80,2,0
15,213/56/13,OYA,SEK. KEB. DATU PENGIRAN MOHAMMAD OYA,1,273,257,5,262,11,0
15,213/56/13,OYA,SEK. KEB. DATU PENGIRAN MOHAMMAD OYA,2,442,418,21,439,3,0
15,213/56/13,OYA,SEK. KEB. DATU PENGIRAN MOHAMMAD OYA,3,394,370,21,391,3,0
16,213/56/14,TERUS,SEK. KEB. KPG. BAKONG / TERUS,1,439,406,22,428,11,0
17,213/56/15,TEH OYA,SEK. KEB. KPG. TEH DALAT,1,261,232,25,257,4,0
18,213/56/16,SENAU,SEK. KEB. KPG. SENAU,1,443,419,14,433,10,0
JUMLAH,,,,27,8080,7107,777,7884,150,46
