Bil,KODDM,NAMADM,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah Kertas Undi Yang Patut Berada Di Dalam Peti Undi (A),Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :HAZLAND BIN ABG HIPNI,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :FIDZUAN ZAIDI,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :Jumlah Undian Oleh Pemilih,Bilangan Kertas Undi Yang Ditolak (C),Jumlah Kertas Undi Yang Dikeluarkan Kepada Pengundi Tetapi Tidak Dimasukkan Ke Dalam Peti Undi(D)
1,,UNDI POS,UNDI POS,1,98,50,1,51,3,44
2,193/05/00,UNDI AWAL,"RUANG B, DEWAN BADMINTON , KOMPLEKS POLIS TABUAN
JAYA",1,1,1,0,1,0,0
3,193/05/01,TANJONG EMBANG,SEK. KEB. BERADEK,1,283,213,63,276,7,0
3,193/05/01,TANJONG EMBANG,SEK. KEB. BERADEK,2,425,277,139,416,9,0
4,193/05/02,MUARA TEBAS,SEK. KEB. MUARA TEBAS,1,251,224,22,246,5,0
4,193/05/02,MUARA TEBAS,SEK. KEB. MUARA TEBAS,2,282,254,22,276,6,0
4,193/05/02,MUARA TEBAS,SEK. KEB. MUARA TEBAS,3,234,201,31,232,2,0
5,193/05/03,GEOBILT,SEK. KEB. GEOBILT,1,481,404,73,477,4,0
6,193/05/04,BAKO,SEK. KEB. BAKO,1,227,210,12,222,5,0
6,193/05/04,BAKO,SEK. KEB. BAKO,2,339,298,37,335,4,0
6,193/05/04,BAKO,SEK. KEB. BAKO,3,330,286,42,328,2,0
6,193/05/04,BAKO,SEK. KEB. BAKO,4,284,251,32,283,1,0
6,193/05/04,BAKO,DEWAN HIJRAH 2008,1,422,394,25,419,3,0
7,193/05/05,SEJINGKAT,SEK. KEB. SEJINGKAT,1,259,230,26,256,3,0
7,193/05/05,SEJINGKAT,SEK. KEB. SEJINGKAT,2,292,244,45,289,3,0
7,193/05/05,SEJINGKAT,SEK. KEB. SEJINGKAT,3,268,234,26,260,8,0
7,193/05/05,SEJINGKAT,TADIKA KEMAS TAMAN SEPAKAT JAYA,1,110,96,13,109,1,0
8,193/05/06,SENARI,SEK. KEB. SENARI,1,407,331,66,397,10,0
9,193/05/07,TANJONG BAKO,SEK. KEB. KPG. TANJONG BAKO,1,429,364,64,428,1,0
10,193/05/08,PINGGAN JAYA,SEK. KEB. MUHIBBAH (SEBERANG PENDING),1,404,369,23,392,12,0
11,193/05/09,TABUAN MELAYU,SEK. KEB. TABUAN HILIR,1,223,208,12,220,3,0
11,193/05/09,TABUAN MELAYU,SEK. KEB. TABUAN HILIR,2,423,389,29,418,5,0
11,193/05/09,TABUAN MELAYU,SEK. KEB. TABUAN HILIR,3,416,394,20,414,2,0
11,193/05/09,TABUAN MELAYU,SEK. KEB. TABUAN HILIR,4,426,381,37,418,8,0
11,193/05/09,TABUAN MELAYU,SEK. KEB. TABUAN HILIR,5,391,359,30,389,2,0
11,193/05/09,TABUAN MELAYU,SEK. KEB. TABUAN HILIR,6,360,326,29,355,5,0
11,193/05/09,TABUAN MELAYU,SEK. KEB. TABUAN HILIR,7,331,299,24,323,8,0
11,193/05/09,TABUAN MELAYU,SEK. KEB. TABUAN HILIR,8,341,318,22,340,1,0
12,193/05/10,MUARA TABUAN,SEK. KEB. TABUAN,1,203,87,116,203,0,0
13,193/05/11,TABUAN HULU,BALAI RAYA KPG. TABUAN HULU HJ DRAHMAN,1,218,193,16,209,9,0
13,193/05/11,TABUAN HULU,BALAI RAYA KPG. TABUAN HULU HJ DRAHMAN,2,373,335,31,366,7,0
13,193/05/11,TABUAN HULU,BALAI RAYA KPG. TABUAN HULU HJ DRAHMAN,3,348,319,29,348,0,0
JUMLAH,,,,32,9879,8539,1157,9696,139,44
