Bil,KODDM,NAMADM,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah Kertas Undi Yang Patut Berada Di Dalam Peti Undi (A),Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :DATO' IDRIS BUANG,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :HJ. ABANG ABDUL HALIL BIN ABANG NAILI,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :ZULKIPLI BIN RAMZI,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :Jumlah Undian Oleh Pemilih,Bilangan Kertas Undi Yang Ditolak (C),Jumlah Kertas Undi Yang Dikeluarkan Kepada Pengundi Tetapi Tidak Dimasukkan Ke Dalam Peti Undi(D)
1,,UNDI POS,UNDI POS,1,105,41,0,4,45,2,58
2,197/16/00,UNDI AWAL,"RUANG B, DEWAN SERBAGUNA IPD KOTA SAMARAHAN",1,127,122,2,2,126,1,0
2,197/16/00,UNDI AWAL,BILIK SEMINAR NO. 25 KOLEJ KENANGA UNIMAS,1,76,64,2,10,76,0,0
3,197/16/01,EMPILA,BILIK GERAKAN ERT KPG. NAKONG,1,114,97,3,14,114,0,0
3,197/16/01,EMPILA,SEK. KEB. KPG. MANG,1,344,241,7,91,339,5,0
3,197/16/01,EMPILA,SEK. KEB. KPG. MELAYU,1,512,424,26,55,505,7,0
3,197/16/01,EMPILA,DEWAN SERBAGUNA KPG. BANGKA SEMONG,1,164,140,4,18,162,2,0
3,197/16/01,EMPILA,DEWAN KPG. NAIE,1,106,86,13,6,105,1,0
3,197/16/01,EMPILA,SURAU KPG. NAIE BARU,1,102,92,1,8,101,1,0
3,197/16/01,EMPILA,TADIKA KEMAS KPG. SG. MATA,1,305,221,9,62,292,12,1
3,197/16/01,EMPILA,DEWAN KPG. EMPILA,1,322,229,14,65,308,14,0
3,197/16/01,EMPILA,DEWAN KPG. EMPILA,2,305,201,1,96,298,7,0
3,197/16/01,EMPILA,SEK. KEB. KPG. NIUP,1,322,248,17,53,318,4,0
3,197/16/01,EMPILA,DEWAN SERBAGUNA KPG. TANJUNG PARANG,1,289,242,7,26,275,14,0
3,197/16/01,EMPILA,BALAI RAYA KPG. SEMAWANG,1,129,95,6,24,125,4,0
3,197/16/01,EMPILA,SEK. KEB. TANJUNG TUANG,1,243,161,4,76,241,2,0
4,197/16/02,TANJU,SEK. JENIS KEB. CHUNG HUA BELIONG,1,65,48,13,3,64,1,0
5,197/16/03,BATU BLAT,SEK. KEB. KPG. BARU,1,285,241,11,27,279,6,0
5,197/16/03,BATU BLAT,SEK. KEB. KPG. BARU,2,531,408,33,76,517,14,0
