Bil,KODDM,NAMADM,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah Kertas Undi Yang Patut Berada Di Dalam Peti Undi (A),Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :ALLAN SIDEN GRAMONG,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :GEORGE NGUK FA CHEN,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :SEMAWI ANAK PAONG,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :Jumlah Undian Oleh Pemilih,Bilangan Kertas Undi Yang Ditolak (C),Jumlah Kertas Undi Yang Dikeluarkan Kepada Pengundi Tetapi Tidak Dimasukkan Ke Dalam Peti Undi(D)
1,,UNDI POS,UNDI POS,1,129,86,1,9,96,15,18
2,210/50/00,UNDI AWAL,RUMAH PERKEP IBU PEJABAT POLIS DAERAH KANOWIT,1,60,58,1,1,60,0,0
3,210/50/01,LUKUT,SEK. JENIS KEB. CHIH MONG,1,153,87,49,13,149,4,0
3,210/50/01,LUKUT,SEK. JENIS KEB. SHING HUA LUKUT,1,352,184,157,5,346,6,0
4,210/50/02,KANOWIT,SEK. JENIS KEB. YEE TING KANOWIT,1,219,105,88,23,216,3,0
4,210/50/02,KANOWIT,SEK. JENIS KEB. YEE TING KANOWIT,2,430,223,142,65,430,0,0
4,210/50/02,KANOWIT,SEK. JENIS KEB. YEE TING KANOWIT,3,409,193,153,61,407,2,0
4,210/50/02,KANOWIT,SEK. JENIS KEB. YEE TING KANOWIT,4,340,146,131,55,332,8,0
4,210/50/02,KANOWIT,TADIKA TAMAN MUHIBBAH,1,194,126,39,26,191,3,0
5,210/50/03,MAJAU,SEK. MEN. KEB. KANOWIT,1,437,254,68,101,423,14,0
5,210/50/03,MAJAU,SEK. KEB. ULU RANAN,1,372,228,23,113,364,7,1
5,210/50/03,MAJAU,SEK. KEB. MAJAU,1,298,211,55,25,291,7,0
5,210/50/03,MAJAU,SEK. KEB. BATU LUKING,1,329,226,77,17,320,9,0
6,210/50/04,PERANAN,RH. ALI RANTAU ENSURAI POI,1,238,148,24,59,231,7,0
6,210/50/04,PERANAN,SEK. KEB. NG. POI,1,238,113,85,33,231,7,0
7,210/50/05,POI,RH. BALAI ULU SG. POI,1,66,46,8,12,66,0,0
7,210/50/05,POI,SEK. KEB. NG. MENALUN,1,149,51,23,73,147,2,0
7,210/50/05,POI,RH. GAMANG ULU MENUAN POI,1,28,24,0,4,28,0,0
7,210/50/05,POI,SEK. KEB. ULU POI SEBANGKAT,1,194,81,16,96,193,1,0
8,210/50/06,BUKONG,SEK. KEB. NG. JAGOI,1,355,272,14,55,341,14,0
8,210/50/06,BUKONG,"RH. STEPHEN JOK, NG. GEREMAI",1,125,69,14,41,124,1,0
8,210/50/06,BUKONG,SEK. KEB. NG. LIPUS,1,337,241,34,58,333,4,0
8,210/50/06,BUKONG,SEK. KEB. RANTAU KEMIDING,1,322,238,26,57,321,1,0
9,210/50/07,LATONG,RH. LAJANG ULU MACHAN KANOWIT,1,111,30,0,81,111,0,0
9,210/50/07,LATONG,SEK. KEB. ULU MACHAN NG. MANGGUT,1,199,103,1,95,199,0,0
9,210/50/07,LATONG,SEK. KEB. NG. MACHAN,1,285,178,20,81,279,6,0
9,210/50/07,LATONG,SEK. KEB. NG. MACHAN,2,382,233,27,115,375,6,1
9,210/50/07,LATONG,SEK. KEB. NG. MACHAN,3,319,176,25,105,306,13,0
9,210/50/07,LATONG,"RH. SELAN INKIAT, MAONG KANOWIT",1,235,176,18,38,232,3,0
9,210/50/07,LATONG,RH. JELANI NANGA LESIH,1,201,131,18,50,199,2,0
9,210/50/07,LATONG,RH. SAWANG SIMPANG MACHAN,1,198,113,44,31,188,10,0
JUMLAH,,,,31,7704,4550,1381,1598,7529,155,20
