Bil,KODDM,NAMADM,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah Kertas Undi Yang Patut Berada Di Dalam Peti Undi (A),Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :RANUM ANAK MINA,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :NIPONI ANAK UNDEK,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :PATRICK ANEK UREN,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :FRANCIS TERON KADAP,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :Jumlah Undian Oleh Pemilih,Bilangan Kertas Undi Yang Ditolak (C),Jumlah Kertas Undi Yang Dikeluarkan Kepada Pengundi Tetapi Tidak Dimasukkan Ke Dalam Peti Undi(D)
1,,UNDI POS,UNDI POS,1,98,56,2,0,3,61,1,36
2,192/01/00,UNDI AWAL,"RUANG A, DEWAN POLIS IBU PEJABAT POLIS DAERAH, LUNDU",1,3,2,0,0,1,3,0,0
3,192/01/01,SEBIRIS,SEK. KEB. SEBIRIS,1,282,142,123,9,6,280,2,0
4,192/01/02,JANGKAR,SEK. KEB. JANGKAR,1,506,282,121,30,70,503,3,0
5,192/01/03,SEBANDI,SEK. KEB. SEBANDI,1,215,90,72,3,48,213,2,0
6,192/01/04,TEMAGA,SEK. KEB. PAON/TEMAGA,1,408,290,99,10,8,407,1,0
7,192/01/05,STUNGKOR,SEK. KEB. STUNGKOR,1,303,114,38,85,57,294,6,3
8,192/01/06,OPAR,SEK. KEB. OPAR,1,272,180,29,16,41,266,5,1
8,192/01/06,OPAR,SEK. KEB. OPAR,2,424,295,39,27,62,423,1,0
9,192/01/07,SERAYAN,SEK. KEB. SERAYAN/KERANJI,1,469,231,152,43,42,468,1,0
10,192/01/08,RUKAM,SEK. KEB. HOLY NAME KPG. RUKAM,1,289,152,100,19,14,285,4,0
11,192/01/09,SEMBAWANG,BALAI RAYA PERUNDANG,1,304,137,116,20,29,302,2,0
12,192/01/10,KANDAIE,BALAI RAYA KPG. KANDAIE,1,179,85,42,31,20,178,1,0
13,192/01/11,PASIR TENGAH,SEK. KEB. PASIR TENGAH,1,134,53,55,21,5,134,0,0
14,192/01/12,SEDAING,BALAI RAYA KPG. OPEK,1,60,28,18,14,0,60,0,0
15,192/01/13,BIAWAK,SEK. KEB. BIAWAK,1,223,130,75,6,11,222,1,0
16,192/01/14,SENIBONG,SEK. KEB. SENIBONG,1,307,153,77,21,53,304,3,0
17,192/01/15,SEBAKO,SEK. KEB. SEBAKO,1,384,231,90,19,41,381,3,0
18,192/01/16,RASO,BALAI RAYA RASO I,1,104,44,42,2,15,103,1,0
19,192/01/17,RASO II,BALAI RAYA RASO II,1,174,89,26,14,45,174,0,0
20,192/01/18,BOKAH,SEK. KEB. BOKAH,1,251,111,75,32,33,251,0,0
21,192/01/19,STOM MUDA,BALAI RAYA KPG. STOM MUDA,1,182,75,16,1,88,180,2,0
22,192/01/20,SELAMPIT,SEK. KEB. SELAMPIT,1,289,134,63,11,76,284,5,0
22,192/01/20,SELAMPIT,SEK. KEB. SELAMPIT,2,242,129,50,3,60,242,0,0
23,192/01/21,JUGAN,BALAI RAYA KPG. JUGAN,1,492,230,27,19,208,484,7,1
24,192/01/22,STENGGANG,SEK. KEB. ST.TERESA,1,282,64,15,40,161,280,2,0
24,192/01/22,STENGGANG,SEK. KEB. ST.TERESA,2,287,69,10,17,188,284,3,0
24,192/01/22,STENGGANG,SEK. KEB. ST.TERESA,3,256,69,11,11,164,255,1,0
JUMLAH,,,,28,7419,3665,1583,524,1549,7321,57,41
