Bil,KODDM,NAMADM,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah Kertas Undi Yang Patut Berada Di Dalam Peti Undi (A),Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :ABANG GOM,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :DATUK ABD KARIM RAHMAN HAMZAH,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :Jumlah Undian Oleh Pemilih,Bilangan Kertas Undi Yang Ditolak (C),Jumlah Kertas Undi Yang Dikeluarkan Kepada Pengundi Tetapi Tidak Dimasukkan Ke Dalam Peti Undi(D)
1,,UNDI POS,UNDI POS,1,44,1,28,29,0,15
2,197/15/00,UNDI AWAL,"RUANG A, DEWAN SERBAGUNA IPD KOTA SAMARAHAN",1,18,0,18,18,0,0
3,197/15/01,BELIONG,SEK. KEB. BELIONG,1,299,51,246,297,2,0
4,197/15/02,TANJUNG APONG,SEK. KEB. TANJUNG APONG,1,299,46,247,293,6,0
4,197/15/02,TANJUNG APONG,DEWAN JPG. SRI TAJO,1,155,11,142,153,2,0
5,197/15/03,TAMBIRAT,SEK. MEN KEB HAJAH LAILA TAIB,1,257,26,215,241,16,0
5,197/15/03,TAMBIRAT,SEK. MEN KEB HAJAH LAILA TAIB,2,352,69,281,350,2,0
5,197/15/03,TAMBIRAT,SEK. MEN KEB HAJAH LAILA TAIB,3,350,68,277,345,5,0
5,197/15/03,TAMBIRAT,SEK. MEN KEB HAJAH LAILA TAIB,4,298,57,238,295,3,0
6,197/15/04,TAMBEY,SEK. KEB. TAMBEY,1,329,28,297,325,4,0
7,197/15/05,SUI,BANGSAL SEMENTARA KPG. SUI,1,54,17,36,53,1,0
8,197/15/06,SAMBIR,SEK. KEB. SAMBIR,1,271,74,195,269,2,0
8,197/15/06,SAMBIR,SEK. KEB. SAMBIR,2,317,136,176,312,5,0
9,197/15/07,SEBANDI MATANG,SEK. KEB. SEBANDI MATANG,1,417,80,330,410,7,0
10,197/15/08,SEBANDI ULU,SEK. KEB. SEBANDI ULU,1,385,87,298,385,0,0
11,197/15/09,SUBI,SEK. JENIS KEB. CHUNG HUA SAMBIR,1,52,8,43,51,1,0
12,197/15/10,MOYAN,SEK. KEB. MOYAN LAUT,1,285,68,211,279,6,0
12,197/15/10,MOYAN,SEK. KEB. MOYAN LAUT,2,332,124,203,327,5,0
12,197/15/10,MOYAN,SEK. KEB. MOYAN LAUT,3,295,105,188,293,2,0
13,197/15/11,REBA,SEK. KEB. REBA,1,401,157,238,395,6,0
14,197/15/12,MOYAN ULU,DEWAN KPG. MOYAN ULU,1,128,33,93,126,2,0
15,197/15/13,MOYAN LEDANG,DEWAN KPG. MOYAN LEDANG,1,166,12,152,164,2,0
16,197/15/14,SERPAN,SEK. KEB. SERPAN,1,305,77,224,301,4,0
16,197/15/14,SERPAN,SEK. KEB. SERPAN,2,302,76,225,301,1,0
17,197/15/15,SERPAN ULU,DEWAN KPG SERPAN ULU,1,130,43,87,130,0,0
18,197/15/16,ASAJAYA,SEK. KEB. ASAJAYA ULU ,1,253,79,172,251,2,0
18,197/15/16,ASAJAYA,SEK. KEB. ASAJAYA ULU ,2,367,128,237,365,2,0
18,197/15/16,ASAJAYA,SEK. KEB. ASAJAYA ULU ,3,353,145,203,348,5,0
19,197/15/17,ASAJAYA LAUT,SEK. KEB. ASAJAYA LAUT,1,284,54,227,281,2,1
19,197/15/17,ASAJAYA LAUT,SEK. KEB. ASAJAYA LAUT,2,280,80,196,276,4,0
20,197/15/18,TEBUN,SEK. KEB. SAMPUN TEBUN,1,195,47,148,195,0,0
21,197/15/19,SAMPUN,BALAI RAYA SAMUN GERUNGGANG,1,398,98,292,390,8,0
JUMLAH,,,,32,8371,2085,6163,8248,107,16
