Bil,KODDM,NAMADM,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah Kertas Undi Yang Patut Berada Di Dalam Peti Undi (A),Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :DR. ALI ANAK PUJI,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :SIMON ANAK JOSEPH,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :IR. CHRISTOPHER GIRA,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :Jumlah Undian Oleh Pemilih,Bilangan Kertas Undi Yang Ditolak (C),Jumlah Kertas Undi Yang Dikeluarkan Kepada Pengundi Tetapi Tidak Dimasukkan Ke Dalam Peti Undi(D)
1,,UNDI POS,UNDI POS,1,57,11,1,32,44,3,10
2,214/59/00,UNDI AWAL,DEWAN PERKEP BALAI POLIS SELANGAU,1,11,4,0,7,11,0,0
3,214/59/01,SIONG,SEK. KEB. ULU SIONG,1,269,101,20,142,263,6,0
3,214/59/01,SIONG,SEK. MEN. KEB. LUAR BANDAR BATU 21 JLN. OYA SIBU,1,450,163,17,265,445,5,0
3,214/59/01,SIONG,RH. SRI KENANGAN BATU 13 JLN. OYA-SIBU,1,186,59,13,113,185,1,0
3,214/59/01,SIONG,SEK. KEB. SIONG TENGAH,1,278,108,0,169,277,1,0
3,214/59/01,SIONG,SEK. KEB. SG. SIONG,1,261,99,6,155,260,1,0
4,214/59/02,TAMIN,"RH. LANTING, NG. IGU",1,291,223,7,61,291,0,0
4,214/59/02,TAMIN,SEK. KEB. BATU 36 JLN. ULU OYA,1,510,196,24,285,505,5,0
4,214/59/02,TAMIN,"ST. MARK`S SCHOOL, NG. TAMIN",1,302,84,5,205,294,8,0
4,214/59/02,TAMIN,SEK. KEB. NG. TAJAM,1,381,97,15,267,379,2,0
5,214/59/03,SEKUAU,SEK. KEB. PENGHULU IMBAN OPS EMPURU SEKUAU,1,287,72,20,190,282,5,0
5,214/59/03,SEKUAU,SEK. KEB. PENGHULU IMBAN OPS EMPURU SEKUAU,2,395,99,26,264,389,6,0
5,214/59/03,SEKUAU,TADIKA KEMAS STAPANG,1,530,186,34,302,522,8,0
5,214/59/03,SEKUAU,RH. LANTING ANAK BUDA,1,376,118,29,224,371,5,0
5,214/59/03,SEKUAU,BALAI RAYA SEKUAU,1,300,87,18,193,298,2,0
5,214/59/03,SEKUAU,BALAI RAYA SEKUAU,2,260,66,11,181,258,2,0
5,214/59/03,SEKUAU,SEK. KEB. SG. PAKOH NG. SELABI,1,316,85,62,167,314,2,0
5,214/59/03,SEKUAU,RH. TUJOH BEJAIT ULU OYA,1,199,37,23,134,194,5,0
6,214/59/04,SELANGAU,SEK. KEB. SG. ARAU ULU MUKAH,1,115,2,29,81,112,3,0
6,214/59/04,SELANGAU,RH. TEGONG ULU SELANGAU,1,130,51,6,69,126,4,0
6,214/59/04,SELANGAU,SEK. KEB. NG. KUA,1,404,183,54,161,398,6,0
6,214/59/04,SELANGAU,"RH. PENGARAH, NG. SELABI",1,154,26,36,91,153,1,0
6,214/59/04,SELANGAU,SEK. JENIS KEB. TONG AH SELANGAU BAZAAR,1,238,70,23,135,228,10,0
6,214/59/04,SELANGAU,SEK. JENIS KEB. TONG AH SELANGAU BAZAAR,2,528,168,62,294,524,4,0
6,214/59/04,SELANGAU,SEK. JENIS KEB. TONG AH SELANGAU BAZAAR,3,536,196,41,295,532,4,0
6,214/59/04,SELANGAU,SEK. JENIS KEB. TONG AH SELANGAU BAZAAR,4,514,195,51,263,509,5,0
6,214/59/04,SELANGAU,SEK. JENIS KEB. TONG AH SELANGAU BAZAAR,5,456,166,31,253,450,6,0
6,214/59/04,SELANGAU,"RH. NANGAI, SG. BASAI ALIT MUKAH",1,205,68,49,88,205,0,0
6,214/59/04,SELANGAU,RH. JUDAN AK JARAU SG. KUA BATU 43 JLN. SIBU/BINTULU,1,240,96,16,125,237,3,0
7,214/59/05,LEMAI,SEK. KEB. SG. BULOH,1,275,126,24,122,272,3,0
7,214/59/05,LEMAI,SEK. KEB. SG. BULOH,2,304,155,26,115,296,8,0
7,214/59/05,LEMAI,SEK. KEB. SG. SEPIRING BATU 62 JLN. SIBU/TATAU,1,520,215,36,234,485,35,0
7,214/59/05,LEMAI,SEK. KEB. KUALA LEMAI,1,109,46,8,54,108,1,0
7,214/59/05,LEMAI,SEK. MEN. KEB. ULU BALINGIAN,1,278,117,39,119,275,3,0
7,214/59/05,LEMAI,SEK. MEN. KEB. ULU BALINGIAN,2,319,131,37,148,316,3,0
7,214/59/05,LEMAI,SEK. KEB. SG. KEMENA,1,275,117,27,128,272,3,0
7,214/59/05,LEMAI,SEK. KEB. KUALA PELUGAU,1,249,122,28,99,249,0,0
JUMLAH,,,,38,11508,4145,954,6230,11329,169,10
