Bil,KODDM,NAMADM,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah Kertas Undi Yang Patut Berada Di Dalam Peti Undi (A),Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :MATHEW SILEK,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :STANLEY AJANG BATOK,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :CHUKPAI UGON,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :ABUN SUI ANYIT,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :Jumlah Undian Oleh Pemilih,Bilangan Kertas Undi Yang Ditolak (C),Jumlah Kertas Undi Yang Dikeluarkan Kepada Pengundi Tetapi Tidak Dimasukkan Ke Dalam Peti Undi(D)
1,,UNDI POS,UNDI POS,1,75,2,3,44,3,52,4,19
2,216/66/01,LONG MURUM,RH. PENEMPATAN SEMULA LONG LUAR,1,197,4,0,61,132,197,0,0
2,216/66/01,LONG MURUM,RH. PANJANG LG. PERAN,1,86,1,0,37,41,79,7,0
2,216/66/01,LONG MURUM,RH. PANJANG LONG WAT PELIRAN,1,99,1,0,97,1,99,0,0
2,216/66/01,LONG MURUM,RH. PANJANG LG. LIDAM,1,40,1,2,29,7,39,1,0
2,216/66/01,LONG MURUM,SEK. KEB. LUSONG LAKU,1,160,8,80,55,1,144,16,0
2,216/66/01,LONG MURUM,RH. PANJANG LG. TANYIT,1,98,13,7,68,10,98,0,0
3,216/66/02,ASAP,SEK. KEB. LG. URUN,1,264,10,8,176,61,255,9,0
3,216/66/02,ASAP,UMA SPING LG. KOYAN,1,182,20,21,89,48,178,4,0
3,216/66/02,ASAP,UMA KULIT DAERAH KECIL ASAP,1,372,111,30,182,42,365,7,0
3,216/66/02,ASAP,UMA BELOR DAERAH KECIL ASAP,1,144,65,30,44,3,142,2,0
3,216/66/02,ASAP,UMA DARO DAERAH KECIL ASAP,1,147,4,58,71,12,145,2,0
3,216/66/02,ASAP,UMA KELAP DAERAH KECIL ASAP,1,173,11,29,104,28,172,1,0
3,216/66/02,ASAP,UMA LAHANAN DAERAH KECIL ASAP,1,149,6,135,4,2,147,2,0
3,216/66/02,ASAP,UMA NYAVING DAERAH KECIL ASAP,1,137,35,66,25,4,130,7,0
3,216/66/02,ASAP,UMA BAWANG DAERAH KECIL ASAP,1,253,28,75,121,24,248,5,0
3,216/66/02,ASAP,UMA BAKAH DAERAH KECIL ASAP,1,473,59,6,392,11,468,5,0
3,216/66/02,ASAP,UMA BALUI UKAP DAERAH KECIL ASAP,1,86,5,61,15,5,86,0,0
3,216/66/02,ASAP,UMA LESONG DAERAH KECIL ASAP,1,231,64,84,67,14,229,2,0
3,216/66/02,ASAP,UMA UKIT DAERAH KECIL ASAP,1,151,10,8,103,24,145,6,0
3,216/66/02,ASAP,UMA JUMAN DAERAH KECIL ASAP,1,251,28,81,93,37,239,12,0
3,216/66/02,ASAP,UMA BADANG DAERAH KECIL ASAP,1,281,9,17,105,146,277,3,1
3,216/66/02,ASAP,UMA BADANG DAERAH KECIL ASAP,2,295,12,11,129,143,295,0,0
4,216/66/03,TUBAU,SEK. KEB. BUKIT BALAI TUBAU,1,251,19,44,135,45,243,8,0
4,216/66/03,TUBAU,SEK. KEB. BUKIT BALAI TUBAU,2,370,28,65,191,72,356,14,0
4,216/66/03,TUBAU,SEK. KEB. BUKIT BALAI TUBAU,3,348,25,29,212,77,343,5,0
4,216/66/03,TUBAU,TADIKA KEMAS RH. BALLRULLY,1,264,33,31,180,5,249,15,0
4,216/66/03,TUBAU,TADIKA KEMAS RH. BALLRULLY,2,276,25,31,199,10,265,11,0
4,216/66/03,TUBAU,RH. JERANDING ULU JELALONG,1,69,24,1,35,9,69,0,0
4,216/66/03,TUBAU,RH. JULAIHI NG. SAU,1,108,6,13,73,14,106,2,0
4,216/66/03,TUBAU,SEK. KEB. KUALA KEBULU,1,189,20,3,129,34,186,3,0
JUMLAH,,,,31,6219,687,1029,3265,1065,6046,153,20
