Bil,KODDM,NAMADM,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah Kertas Undi Yang Patut Berada Di Dalam Peti Undi (A),Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :MONG ANAK DAGANG,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :JUBRI ANAK ATAK,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :Jumlah Undian Oleh Pemilih,Bilangan Kertas Undi Yang Ditolak (C),Jumlah Kertas Undi Yang Dikeluarkan Kepada Pengundi Tetapi Tidak Dimasukkan Ke Dalam Peti Undi(D)
1,,UNDI POS,UNDI POS,1,134,109,4,113,6,15
2,202/31/00,UNDI AWAL,SEK. KEB. TEMUDOK SRI AMAN,1,25,24,1,25,0,0
2,202/31/00,UNDI AWAL,"DEWAN MAKAN 13 RAMD, KEM PAKIT",1,291,250,32,282,9,0
2,202/31/00,UNDI AWAL,"DEWAN MAKAN 13 RAMD, KEM PAKIT",2,413,371,30,401,12,0
3,202/31/01,BANTING,BALAI RAYA BANTING,1,144,130,14,144,0,0
3,202/31/01,BANTING,BALAI RAYA BANTING,2,117,98,17,115,2,0
3,202/31/01,BANTING,SEK. KEB. ENGKERANJI LINGGA,1,201,166,31,197,3,1
3,202/31/01,BANTING,RH. EDWARD MAMUT LANGGIR LINGGA,1,44,36,8,44,0,0
3,202/31/01,BANTING,RH. JACK ENGKEREPOK LINGGA,1,50,49,0,49,1,0
4,202/31/02,KARA,"RH. GUANG, KARA PANTU",1,359,295,56,351,8,0
4,202/31/02,KARA,"DEWAN SRI HIKMAH, KPG. PUNGGU MAWANG",1,296,278,16,294,2,0
4,202/31/02,KARA,RH. FRANCIS DOBLIN AK BETOL SELANJAN ANGKONG,1,70,68,2,70,0,0
4,202/31/02,KARA,SEK. KEB. SELANJAN SEBEMBAN,1,238,218,16,234,4,0
4,202/31/02,KARA,RH. JOHNNY AK GURA ENCHIAP BARU,1,49,49,0,49,0,0
4,202/31/02,KARA,SEK. KEB. ST. MARTIN LACHAU,1,313,266,41,307,6,0
4,202/31/02,KARA,RH. TANGGU KUBAU ILI,1,72,58,14,72,0,0
4,202/31/02,KARA,SEK. JENIS KEB. CHUNG HUA BANGKONG,1,188,146,39,185,3,0
5,202/31/03,MELUGU,DEWAN MASYARAKAT GUA,1,183,160,22,182,1,0
5,202/31/03,MELUGU,RH. JAWAN PANGGIL,1,203,129,72,201,2,0
5,202/31/03,MELUGU,BALAI RAYA RH. ANYAI ENTULANG,1,305,264,40,304,1,0
5,202/31/03,MELUGU,TEMUDOK AGRICULTURE STATION,1,146,111,33,144,2,0
6,202/31/04,KLAUH,"RH. KEDENI, BATU BESAI",1,148,106,38,144,4,0
6,202/31/04,KLAUH,BALAI RAYA RH. BERIKU PAKIT,1,266,231,29,260,6,0
6,202/31/04,KLAUH,SEK. KEB. SELEPONG,1,310,257,46,303,7,0
6,202/31/04,KLAUH,SEK. MEN. KEB. MELUGU,1,287,225,52,277,10,0
6,202/31/04,KLAUH,SEK. MEN. KEB. MELUGU,2,297,221,68,289,8,0
6,202/31/04,KLAUH,RH. JUMAT PO AI ENGGAT,1,195,161,33,194,1,0
7,202/31/05,BUKIT BALAU,SEK. KEB. BAKONG,1,269,245,16,261,7,1
7,202/31/05,BUKIT BALAU,SEK. KEB. BAKONG,2,244,217,24,241,3,0
7,202/31/05,BUKIT BALAU,RH. LANGAU ANAK SELUMBANG JONGKONG PANJAI,1,54,54,0,54,0,0
7,202/31/05,BUKIT BALAU,RH. RESA AK GAYAU EMPELANJAU ASAL BAKONG,1,37,31,4,35,2,0
7,202/31/05,BUKIT BALAU,SEK. KEB. TANJONG BIJAT,1,269,244,19,263,6,0
7,202/31/05,BUKIT BALAU,SEK. KEB. TANJONG BIJAT,2,330,283,38,321,9,0
JUMLAH,,,,33,6547,5550,855,6405,125,17
