Bil,KODDM,NAMADM,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah Kertas Undi Yang Patut Berada Di Dalam Peti Undi (A),Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :LIU THIAN LEONG,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :DR. SIM KUI HIAN,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :CHIEW WANG SEE,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :Jumlah Undian Oleh Pemilih,Bilangan Kertas Undi Yang Ditolak (C),Jumlah Kertas Undi Yang Dikeluarkan Kepada Pengundi Tetapi Tidak Dimasukkan Ke Dalam Peti Undi(D)
1,,UNDI POS,UNDI POS,1,423,3,338,12,353,16,54
2,196/14/00,UNDI AWAL,"RUANG A, DEWAN MINDA ,JLN. LAPANGAN TERBANG",1,128,2,120,6,128,0,0
2,196/14/00,UNDI AWAL,DEWAN PAHLAWAN IBU PEJABAT BRIGED SARAWAK,1,288,3,273,5,281,7,0
2,196/14/00,UNDI AWAL,DEWAN PAHLAWAN IBU PEJABAT BRIGED SARAWAK,2,314,3,297,10,310,4,0
3,196/14/01,RPR BATU KAWAH,SEK. KEB. RPR BATU KAWAH,1,98,1,37,60,98,0,0
4,196/14/02,KAWAH,SEK. JENIS KEB. CHUNG HUA BATU KAWA,1,259,17,130,109,256,3,0
4,196/14/02,KAWAH,SEK. JENIS KEB. CHUNG HUA BATU KAWA,2,506,39,222,241,502,4,0
4,196/14/02,KAWAH,SEK. JENIS KEB. CHUNG HUA BATU KAWA,3,468,45,186,230,461,7,0
5,196/14/03,STAPOK,SEK. KEB. RANTAU PANJANG,1,289,64,208,14,286,3,0
5,196/14/03,STAPOK,SEK. JENIS KEB. CHUNG HUA STAPOK,1,237,11,130,91,232,5,0
5,196/14/03,STAPOK,SEK. JENIS KEB. CHUNG HUA STAPOK,2,501,16,252,231,499,2,0
5,196/14/03,STAPOK,SEK. JENIS KEB. CHUNG HUA STAPOK,3,480,14,193,272,479,1,0
5,196/14/03,STAPOK,SEK. JENIS KEB. CHUNG HUA STAPOK,4,445,23,160,261,444,0,1
5,196/14/03,STAPOK,SEK. JENIS KEB. CHUNG HUA STAPOK,5,394,24,140,230,394,0,0
5,196/14/03,STAPOK,SEK. JENIS KEB. CHUNG HUA STAPOK,6,367,24,136,206,366,1,0
5,196/14/03,STAPOK,SEK. JENIS KEB. CHUNG HUA STAPOK,7,370,21,132,216,369,1,0
5,196/14/03,STAPOK,"BALAI RAYA KPG.DESA WIRA LOT, LORONG 20",1,296,48,170,71,289,7,0
5,196/14/03,STAPOK,"BALAI RAYA KPG.DESA WIRA LOT, LORONG 20",2,514,110,251,139,500,14,0
5,196/14/03,STAPOK,"BALAI RAYA KPG.DESA WIRA LOT, LORONG 20",3,415,48,217,148,413,2,0
5,196/14/03,STAPOK,"BALAI RAYA KPG.DESA WIRA LOT, LORONG 20",4,394,68,191,133,392,2,0
5,196/14/03,STAPOK,SEK. KEB. STAPOK,1,358,52,268,38,358,0,0
5,196/14/03,STAPOK,DEWAN PERPADUAN RPR BATU KAWA,1,278,37,193,48,278,0,0
5,196/14/03,STAPOK,DEWAN PERPADUAN RPR BATU KAWA,2,464,74,270,113,457,7,0
5,196/14/03,STAPOK,DEWAN PERPADUAN RPR BATU KAWA,3,403,36,218,140,394,9,0
5,196/14/03,STAPOK,DEWAN PERPADUAN RPR BATU KAWA,4,387,46,229,110,385,2,0
5,196/14/03,STAPOK,DEWAN PERPADUAN RPR BATU KAWA,5,351,38,196,116,350,1,0
5,196/14/03,STAPOK,DEWAN KPG. SINAR BUDI BARU,1,368,54,289,15,358,10,0
6,196/14/04,SIN SAN TU,SEK. JENIS KEB. CHUNG HUA SIN SAN TU,1,236,11,121,100,232,4,0
6,196/14/04,SIN SAN TU,SEK. JENIS KEB. CHUNG HUA SIN SAN TU,2,381,14,168,195,377,4,0
6,196/14/04,SIN SAN TU,SEK. JENIS KEB. CHUNG HUA SIN SAN TU,3,375,36,132,204,372,3,0
6,196/14/04,SIN SAN TU,SEK. JENIS KEB. CHUNG HUA SIN SAN TU,4,328,25,108,192,325,3,0
7,196/14/05,KIM CHU SHIN,SEK. JENIS KEB. CHUNG HUA KIM CHOO SENG,1,255,23,136,89,248,7,0
7,196/14/05,KIM CHU SHIN,SEK. JENIS KEB. CHUNG HUA KIM CHOO SENG,2,352,40,161,148,349,3,0
7,196/14/05,KIM CHU SHIN,SEK. JENIS KEB. CHUNG HUA KIM CHOO SENG,3,320,39,142,136,317,3,0
JUMLAH,,,,34,12042,1109,6414,4329,11852,135,55
