Bil,KODDM,NAMADM,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah Kertas Undi Yang Patut Berada Di Dalam Peti Undi (A),Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :ABDUL WAHAB AZIZ,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :JEMAT PANJANG,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :Jumlah Undian Oleh Pemilih,Bilangan Kertas Undi Yang Ditolak (C),Jumlah Kertas Undi Yang Dikeluarkan Kepada Pengundi Tetapi Tidak Dimasukkan Ke Dalam Peti Undi(D)
1,,UNDI POS,UNDI POS,1,59,31,2,33,2,24
2,205/38/00,UNDI AWAL,RUMAH SRI KRIAN IPD SARATOK,1,90,83,2,85,5,0
3,205/38/01,PELUNGA,SEK. KEB. NYIAR,1,220,126,88,214,6,0
3,205/38/01,PELUNGA,RH. RAMPING SG. METONG ROBAN,1,158,95,63,158,0,0
3,205/38/01,PELUNGA,"RH. SITI JUBAIDAH ANAK LANCHANG, SG. ENGKABANG",1,161,83,77,160,1,0
3,205/38/01,PELUNGA,SEK. MEN. KEB. KALAKA ROBAN,1,393,325,59,384,9,0
4,205/38/02,PERPAT,SEK. KEB. LUBOK NIBONG,1,128,106,21,127,1,0
4,205/38/02,PERPAT,SEK. KEB. PALOH,1,83,62,19,81,2,0
4,205/38/02,PERPAT,SEK. KEB. PERPAT,1,300,272,24,296,4,0
5,205/38/03,KABA,SEK. KEB. HAJI BOLLAH KABA,1,228,197,28,225,3,0
5,205/38/03,KABA,SEK. KEB. KUPANG,1,426,237,179,416,10,0
5,205/38/03,KABA,SEK. JENIS KEB. MIN SYN SARATOK,1,294,259,32,291,3,0
5,205/38/03,KABA,SEK. JENIS KEB. MIN SYN SARATOK,2,403,354,43,397,6,0
5,205/38/03,KABA,SEK. JENIS KEB. MIN SYN SARATOK,3,348,293,52,345,3,0
6,205/38/04,SARATOK,SEK. KEB. ABANG ABDUL RAHMAN SARATOK,1,232,194,37,231,1,0
6,205/38/04,SARATOK,SEK. KEB. ABANG ABDUL RAHMAN SARATOK,2,491,369,117,486,5,0
6,205/38/04,SARATOK,SEK. KEB. ABANG ABDUL RAHMAN SARATOK,3,447,334,107,441,6,0
6,205/38/04,SARATOK,SEK. KEB. ABANG ABDUL RAHMAN SARATOK,4,370,276,89,365,5,0
7,205/38/05,TENGALAT,SEK. KEB. ENTEBU,1,229,133,90,223,6,0
8,205/38/06,SENYAWAN,SEK. KEB. SG. ANTU,1,187,159,24,183,4,0
JUMLAH,,,,20,5247,3988,1153,5141,82,24
