Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) ABD. GHANI BIN AHMAD,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) OTHMAN BIN AZIZ,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) MUKHRIZ MAHATHIR,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
1,UNDI POS,,1,925,183,225,304,712,58,155,UNDI POS,UNDI POS
2,005/03/00,"BILIK PERKEP, BALAI POLIS AYER HITAM",1,26,4,14,7,25,1,0,UNDI AWAL,UNDI AWAL
3,005/04/00,"BILIK PERKEP, BALAI POLIS AYER HITAM",1,22,1,16,5,22,0,0,UNDI AWAL,UNDI AWAL
4,005/03/01,"SEKOLAH MENENGAH KEBANGSAAN TUNKU BENDAHARA, KODIANG",1,301,76,105,102,283,18,0,KAMPUNG BAHAGIA,UNDI BIASA
4,005/03/01,"SEKOLAH MENENGAH KEBANGSAAN TUNKU BENDAHARA, KODIANG",2,348,87,101,157,345,3,0,KAMPUNG BAHAGIA,UNDI BIASA
4,005/03/01,"SEKOLAH MENENGAH KEBANGSAAN TUNKU BENDAHARA, KODIANG",3,323,97,65,159,321,2,0,KAMPUNG BAHAGIA,UNDI BIASA
5,005/03/02,"SEKOLAH JENIS KEBANGSAAN (CINA) PEI MIN, PADANG SERA",1,317,28,148,131,307,10,0,KAMPUNG PERING,UNDI BIASA
5,005/03/02,"SEKOLAH JENIS KEBANGSAAN (CINA) PEI MIN, PADANG SERA",2,320,24,99,192,315,5,0,KAMPUNG PERING,UNDI BIASA
6,005/03/03,"SEKOLAH KEBANGSAAN KODIANG (BARU), KODIANG",1,308,13,137,149,299,9,0,KAMPUNG KANDIS,UNDI BIASA
6,005/03/03,"SEKOLAH KEBANGSAAN KODIANG (BARU), KODIANG",2,309,25,95,183,303,5,1,KAMPUNG KANDIS,UNDI BIASA
6,005/03/03,"SEKOLAH KEBANGSAAN KODIANG (BARU), KODIANG",3,294,29,63,198,290,4,0,KAMPUNG KANDIS,UNDI BIASA
7,005/03/04,"SEKOLAH KEBANGSAAN KODIANG (LAMA), KODIANG",1,256,52,94,103,249,7,0,PEKAN KODIANG,UNDI BIASA
7,005/03/04,"SEKOLAH KEBANGSAAN KODIANG (LAMA), KODIANG",2,501,94,140,263,497,4,0,PEKAN KODIANG,UNDI BIASA
7,005/03/04,"SEKOLAH KEBANGSAAN KODIANG (LAMA), KODIANG",3,473,119,82,271,472,1,0,PEKAN KODIANG,UNDI BIASA
7,005/03/04,"SEKOLAH KEBANGSAAN KODIANG (LAMA), KODIANG",4,441,125,69,246,440,1,0,PEKAN KODIANG,UNDI BIASA
8,005/03/05,"SEKOLAH KEBANGSAAN TUNKU BENDAHARA, KODIANG",1,263,81,101,75,257,6,0,KAMPUNG KODIANG,UNDI BIASA
8,005/03/05,"SEKOLAH KEBANGSAAN TUNKU BENDAHARA, KODIANG",2,490,110,175,193,478,12,0,KAMPUNG KODIANG,UNDI BIASA
8,005/03/05,"SEKOLAH KEBANGSAAN TUNKU BENDAHARA, KODIANG",3,460,128,133,197,458,2,0,KAMPUNG KODIANG,UNDI BIASA
8,005/03/05,"SEKOLAH KEBANGSAAN TUNKU BENDAHARA, KODIANG",4,415,102,94,218,414,1,0,KAMPUNG KODIANG,UNDI BIASA
8,005/03/05,"SEKOLAH KEBANGSAAN TUNKU BENDAHARA, KODIANG",5,411,107,81,220,408,3,0,KAMPUNG KODIANG,UNDI BIASA
9,005/03/06,"SEKOLAH JENIS KEBANGSAAN (CINA) PEI MIN, PADANG SERA",3,316,35,141,128,304,12,0,KAMPUNG SIPUTEH,UNDI BIASA
9,005/03/06,"SEKOLAH JENIS KEBANGSAAN (CINA) PEI MIN, PADANG SERA",4,542,88,172,281,541,1,0,KAMPUNG SIPUTEH,UNDI BIASA
10,005/03/07,"SEKOLAH KEBANGSAAN MEGAT DEWA, KODIANG",1,278,99,75,96,270,8,0,MEGAT DEWA,UNDI BIASA
10,005/03/07,"SEKOLAH KEBANGSAAN MEGAT DEWA, KODIANG",2,555,167,131,251,549,6,0,MEGAT DEWA,UNDI BIASA
10,005/03/07,"SEKOLAH KEBANGSAAN MEGAT DEWA, KODIANG",3,470,173,71,221,465,5,0,MEGAT DEWA,UNDI BIASA
11,005/03/08,"SEKOLAH KEBANGSAAN DATO' SYED NAHAR, KODIANG",1,257,89,74,83,246,11,0,BUKIT HANTU,UNDI BIASA
11,005/03/08,"SEKOLAH KEBANGSAAN DATO' SYED NAHAR, KODIANG",2,454,151,133,156,440,14,0,BUKIT HANTU,UNDI BIASA
11,005/03/08,"SEKOLAH KEBANGSAAN DATO' SYED NAHAR, KODIANG",3,439,151,100,186,437,2,0,BUKIT HANTU,UNDI BIASA
11,005/03/08,"SEKOLAH KEBANGSAAN DATO' SYED NAHAR, KODIANG",4,428,170,66,187,423,5,0,BUKIT HANTU,UNDI BIASA
12,005/03/09,"SEKOLAH KEBANGSAAN DATO' SYED NAHAR, KODIANG",5,295,171,46,71,288,7,0,MESJID PAYA,UNDI BIASA
12,005/03/09,"SEKOLAH KEBANGSAAN DATO' SYED NAHAR, KODIANG",6,559,297,74,186,557,2,0,MESJID PAYA,UNDI BIASA
13,005/03/10,"PERTUBUHAN PELADANG KAWASAN B-2 SANGLANG BATU 4, JALAN SANGLANG",1,293,120,93,66,279,14,0,BATU 4 JALAN SANGLANG,UNDI BIASA
13,005/03/10,"PERTUBUHAN PELADANG KAWASAN B-2 SANGLANG BATU 4, JALAN SANGLANG",2,456,145,129,176,450,6,0,BATU 4 JALAN SANGLANG,UNDI BIASA
13,005/03/10,"PERTUBUHAN PELADANG KAWASAN B-2 SANGLANG BATU 4, JALAN SANGLANG",3,421,122,101,194,417,4,0,BATU 4 JALAN SANGLANG,UNDI BIASA
14,005/03/11,"SEKOLAH KEBANGSAAN MANGGOL BONGOR, MEGAT DEWA",1,300,121,109,64,294,6,0,MANGGOL,UNDI BIASA
14,005/03/11,"SEKOLAH KEBANGSAAN MANGGOL BONGOR, MEGAT DEWA",2,425,176,98,148,422,3,0,MANGGOL,UNDI BIASA
14,005/03/11,"SEKOLAH KEBANGSAAN MANGGOL BONGOR, MEGAT DEWA",3,405,166,63,174,403,2,0,MANGGOL,UNDI BIASA
