Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO' SRI LIOW TIONG LAI,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) BALASUBRAMANIAM A/L NACHIAPPAN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) WONG TACK,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
1,UNDI POS,,1,956,450,107,104,661,135,160,UNDI POS,UNDI POS
2,089/33/00,KELAB POLIS IBU PEJABAT POLIS DAERAH BENTONG,1,286,252,17,15,284,2,0,UNDI AWAL,UNDI AWAL
2,089/33/00,DEWAN SYARAHAN KOMPENI C 25 RAMD,1,329,220,75,26,321,8,0,UNDI AWAL,UNDI AWAL
2,089/33/00,DEWAN SYARAHAN KOMPENI C 25 RAMD,2,288,210,60,17,287,1,0,UNDI AWAL,UNDI AWAL
3,089/34/00,DEWAN KOMPLEKS SUKAN KEM MEMPAGA,1,369,225,86,51,362,7,0,UNDI AWAL,UNDI AWAL
3,089/34/00,BILIK MAKLUMAT BALAI POLIS BUKIT TINGGI,1,34,33,0,0,33,1,0,UNDI AWAL,UNDI AWAL
4,089/35/00,BILIK MAKLUMAT BALAI POLIS KARAK,1,23,22,0,0,22,1,0,UNDI AWAL,UNDI AWAL
5,089/36/00,RUMAH REHAT BALAI POLIS MANCHIS,1,35,32,0,0,32,3,0,UNDI AWAL,UNDI AWAL
6,089/33/01,SMK LKTP LURAH BILUT,1,258,160,28,64,252,6,0,FELDA LURAH BILUT,UNDI BIASA
6,089/33/01,SMK LKTP LURAH BILUT,2,446,218,58,165,441,4,1,FELDA LURAH BILUT,UNDI BIASA
6,089/33/01,SMK LKTP LURAH BILUT,3,428,195,77,154,426,2,0,FELDA LURAH BILUT,UNDI BIASA
6,089/33/01,SMK LKTP LURAH BILUT,4,412,165,68,171,404,8,0,FELDA LURAH BILUT,UNDI BIASA
6,089/33/01,SMK LKTP LURAH BILUT,5,404,162,76,166,404,0,0,FELDA LURAH BILUT,UNDI BIASA
7,089/33/02,SK LEBU,1,301,219,52,25,296,5,0,KAMPUNG LEBU,UNDI BIASA
7,089/33/02,SK LEBU,2,386,211,110,63,384,2,0,KAMPUNG LEBU,UNDI BIASA
8,089/33/03,SK SULAIMAN,1,263,121,0,137,258,5,0,BANDAR BENTONG,UNDI BIASA
8,089/33/03,SK SULAIMAN,2,585,227,7,350,584,1,0,BANDAR BENTONG,UNDI BIASA
8,089/33/03,SK SULAIMAN,3,594,153,16,424,593,1,0,BANDAR BENTONG,UNDI BIASA
8,089/33/03,SK SULAIMAN,4,569,126,29,413,568,1,0,BANDAR BENTONG,UNDI BIASA
9,089/33/04,SJK(C) KHAI MUN PAGI,1,278,136,6,130,272,6,0,KEMANSUR,UNDI BIASA
9,089/33/04,SJK(C) KHAI MUN PAGI,2,502,168,9,322,499,3,0,KEMANSUR,UNDI BIASA
9,089/33/04,SJK(C) KHAI MUN PAGI,3,498,146,11,340,497,1,0,KEMANSUR,UNDI BIASA
9,089/33/04,SJK(C) KHAI MUN PAGI,4,501,107,4,384,495,6,0,KEMANSUR,UNDI BIASA
9,089/33/04,SJK(C) KHAI MUN PAGI,5,479,79,5,395,479,0,0,KEMANSUR,UNDI BIASA
9,089/33/04,SJK(C) KHAI MUN PAGI,6,472,75,14,381,470,2,0,KEMANSUR,UNDI BIASA
9,089/33/04,SJK(C) KHAI MUN PAGI,7,484,82,26,374,482,2,0,KEMANSUR,UNDI BIASA
10,089/33/05,SJK(T) BENTONG,1,267,92,7,166,265,2,0,CHAMANG,UNDI BIASA
10,089/33/05,SJK(T) BENTONG,2,514,141,8,362,511,3,0,CHAMANG,UNDI BIASA
10,089/33/05,SJK(T) BENTONG,3,498,80,14,404,498,0,0,CHAMANG,UNDI BIASA
11,089/33/06,SJK(C) KHAI MUN REPAS,1,287,127,8,147,282,5,0,REPAS,UNDI BIASA
11,089/33/06,SJK(C) KHAI MUN REPAS,2,484,156,21,305,482,2,0,REPAS,UNDI BIASA
